ADHD-HC,ADHD,ANX-HC,ANX,ASD-HC,ASD,BIP-HC,BIP,DEM-HC,DEM,MCI-HC,MCI,MDD-HC,MDD,MS-HC,MS,SCZ-HC,SCZ,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.696969696969697
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.393939393939394
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.09090909090909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.787878787878787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.484848484848484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.181818181818182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.878787878787879
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.575757575757576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.272727272727273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.969696969696969
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001926040061633282,0.0,0.0,0.0,-11.363636363636363
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001926040061633282,0.0,0.0,0.0,-11.06060606060606
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003852080123266564,0.0,0.0,0.0,-10.757575757575758
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005778120184899846,0.0,0.0,0.0,-10.454545454545453
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007704160246533128,0.0,0.0,0.0,-10.151515151515152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000963020030816641,0.0,0.0,0.0,-9.848484848484848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013482280431432975,0.0,0.0,0.0,-9.545454545454545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025038520801232665,0.0,0.0,0.0,-9.242424242424242
0.0,0.0,0.0,0.0,0.0,0.0,0.00018355359765051394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004044684129429892,0.0,0.0,0.0,-8.93939393939394
0.0,0.0,0.0,0.0,0.0,0.0,0.0003671071953010279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006741140215716487,0.00046948356807511736,0.0,0.0,-8.636363636363637
0.0,0.0,0.0,0.0,0.0,0.0,0.0005506607929515419,0.0001905850962454736,0.0,0.0,0.0,0.0,0.0,0.0,0.010978428351309707,0.0007042253521126761,0.0,0.0,-8.333333333333332
0.0,0.0,0.0,0.0,0.0,0.0,0.0005506607929515419,0.0003811701924909472,0.00019860973187686197,0.0,0.0,0.0,0.0,0.0,0.016178736517719568,0.0011737089201877935,0.0,0.0,-8.030303030303031
0.0,0.0,0.0,0.0,0.0,0.0,0.0009177679882525697,0.0005717552887364208,0.00019860973187686197,0.0,0.0,0.0,0.0,0.0,0.02234206471494607,0.0014084507042253522,0.0003619254433586681,0.0,-7.727272727272727
0.0,0.0,0.0,0.0,0.0,0.0,0.0016519823788546256,0.000952925481227368,0.00019860973187686197,0.0,0.00038677238445175013,0.0,0.0,0.0,0.031201848998459167,0.002112676056338028,0.0009048136083966703,0.00019316206297083252,-7.424242424242424
0.0,0.0,0.0,0.0,0.0,0.0,0.003120411160058737,0.0015246807699637887,0.00039721946375372393,0.0,0.0007735447689035003,0.0,0.0002021018593371059,0.0,0.04352850539291217,0.003051643192488263,0.0016286644951140066,0.0005794861889124976,-7.121212121212121
0.0,0.0,0.0,0.0,0.0,0.0,0.0056901615271659324,0.0026681913474366306,0.0009930486593843098,0.0,0.0011603171533552505,0.00020968756552736424,0.0004042037186742118,0.0,0.06105546995377504,0.004225352112676056,0.0027144408251900108,0.0009658103148541626,-6.818181818181818
0.0,0.0,0.0,0.0,0.0,0.0001840264998159735,0.009177679882525698,0.00476462740613684,0.0017874875868917578,0.0,0.0017404757300328757,0.0004193751310547285,0.0004042037186742118,0.0,0.08359013867488443,0.005868544600938967,0.004524068041983352,0.0013521344407958276,-6.515151515151516
0.0,0.0,0.0,0.0,0.0,0.0001840264998159735,0.013766519823788546,0.0072422336573279966,0.0027805362462760674,0.0,0.0029007928833881262,0.0006290626965820927,0.0008084074373484236,0.0,0.1113251155624037,0.00868544600938967,0.006876583423814694,0.002124782692679158,-6.212121212121211
0.0,0.0,0.0,0.0,0.0,0.0001840264998159735,0.020374449339207047,0.010482180293501049,0.0037735849056603774,0.0,0.0050280409978727516,0.0012581253931641854,0.0012126111560226355,0.0,0.14310477657935286,0.01267605633802817,0.010133912414042706,0.0038632412594166504,-5.909090909090908
0.0,0.0,0.0,0.0,0.0003389256058295204,0.000368052999631947,0.0302863436123348,0.014484467314655993,0.004766633565044687,0.0,0.008895764842390253,0.001887188089746278,0.0016168148746968471,0.00017739932588256165,0.18124036979969183,0.016901408450704224,0.015924719507781397,0.006374348078037473,-5.6060606060606055
0.00017319016279875303,0.0,0.0,0.0,0.0003389256058295204,0.0005520794994479205,0.042951541850220265,0.020773775490756624,0.006752730883813307,0.0,0.01373041964803713,0.0025162507863283707,0.002223120452708165,0.00017739932588256165,0.23189522342064714,0.021830985915492956,0.024791892870068766,0.010430751400424957,-5.303030303030303
0.00034638032559750607,0.00017358097552508245,0.0,0.0,0.0005083884087442806,0.0009201324990798675,0.05781938325991189,0.030303030303030304,0.010526315789473684,0.0,0.020112163991491006,0.00398406374501992,0.004042037186742118,0.0005321979776476849,0.2935285053929122,0.029342723004694836,0.03637350705754615,0.015066640911724938,-5.0
0.0005195704883962591,0.0005207429265752473,0.0,0.0,0.0010167768174885613,0.001472211998527788,0.07837738619676946,0.043072231751477036,0.01747765640516385,0.0,0.028427770257203635,0.006080939400293563,0.007073565076798707,0.0012417952811779316,0.3578582434514638,0.04061032863849765,0.052298226565327545,0.020475178674908247,-4.696969696969697
0.0005195704883962591,0.0006943239021003298,0.0,0.0,0.002203016437891883,0.0027603974972396023,0.10829662261380323,0.05965313512483324,0.02601787487586892,0.0,0.03829046606072326,0.008806877752149297,0.010711398544866612,0.0021287919105907396,0.4231510015408321,0.05516431924882629,0.07473760405356497,0.028008499130770716,-4.3939393939393945
0.0006927606511950121,0.0010414858531504947,0.0,0.0,0.003897644467039485,0.0049687154950312845,0.1459251101321586,0.07928340003811701,0.0349553128103277,0.0,0.051634113324308645,0.01237156636611449,0.015359741309620048,0.0033705871917686712,0.4946070878274268,0.07253521126760563,0.10025334781035107,0.03882557465713734,-4.09090909090909
0.0013855213023900243,0.0020829717063009894,0.0,0.0,0.006100660904931368,0.008097165991902834,0.19089574155653452,0.10348770726129217,0.04627606752730884,0.0,0.07019918777799265,0.017194380373243865,0.021624898949070333,0.005321979776476849,0.5753081664098614,0.09131455399061032,0.12993123416576186,0.05350589144292061,-3.787878787878787
