age,baseline,subject
54.6,1.0,1.0
55.1,1.0,1.0
55.2,1.0,1.0
55.3,1.0,1.0
55.4,1.0,1.0
55.5,1.0,1.0
55.6,1.0,1.0
55.7,1.0,1.0
55.8,1.0,1.0
55.9,1.0,1.0
56.0,1.0,1.0
56.1,1.0,1.0
56.2,0.9999411501104495,0.9999086245206544
56.3,0.9999411501104495,0.9999086245206544
56.4,0.9998822617036958,0.999817192211357
56.5,0.9998822617036958,0.999817192211357
56.6,0.9998822617036958,0.999817192211357
56.7,0.9998822617036958,0.999817192211357
56.8,0.9998221173172583,0.9997238128939118
56.9,0.9998221173172583,0.9997238128939118
57.0,0.9998221173172583,0.9997238128939118
57.1,0.9997607387566055,0.9996285206160491
57.2,0.9997607387566055,0.9996285206160491
57.3,0.9997607387566055,0.9996285206160491
57.4,0.9996985743385298,0.9995320115639773
57.5,0.9996985743385298,0.9995320115639773
57.6,0.9996985743385298,0.9995320115639773
57.7,0.9996985743385298,0.9995320115639773
57.8,0.999571448849527,0.9993346620377993
57.9,0.9994428231470027,0.9991349976996519
58.0,0.9994428231470027,0.9991349976996519
58.1,0.9993784252551573,0.9990350388581161
58.2,0.9993784252551573,0.9990350388581161
58.3,0.9990563321939349,0.9985351372728394
58.4,0.9990563321939349,0.9985351372728394
58.5,0.9990563321939349,0.9985351372728394
58.6,0.9990563321939349,0.9985351372728394
58.7,0.9990563321939349,0.9985351372728394
58.8,0.9989214625918548,0.9983258405984876
58.9,0.9989214625918548,0.9983258405984876
59.0,0.9989214625918548,0.9983258405984876
59.1,0.9988536378017986,0.9982205929608875
59.2,0.998785798794384,0.9981153272125718
59.3,0.9984805230944294,0.9976416799908888
59.4,0.9984805230944294,0.9976416799908888
59.5,0.9984805230944294,0.9976416799908888
59.6,0.9984805230944294,0.9976416799908888
59.7,0.9984115965460804,0.9975347488224982
59.8,0.9983426383483881,0.9974277726369201
59.9,0.9983426383483881,0.9974277726369201
60.0,0.9983426383483881,0.9974277726369201
60.1,0.9982733556661504,0.9973202971850513
60.2,0.9982733556661504,0.9973202971850513
60.3,0.9981693630014277,0.9971589852648075
60.4,0.9981693630014277,0.9971589852648075
60.5,0.998099756232952,0.9970510174397772
60.6,0.998099756232952,0.9970510174397772
60.7,0.9980301251485557,0.9969430160618599
60.8,0.9979604716630927,0.9968349841054133
60.9,0.9978208488716898,0.9966184429075102
61.0,0.9978208488716898,0.9966184429075102
61.1,0.9978208488716898,0.9966184429075102
61.2,0.9976457381688649,0.9963468871266197
61.3,0.9976457381688649,0.9963468871266197
61.4,0.99750473892208,0.9961282493887058
61.5,0.99750473892208,0.9961282493887058
61.6,0.99750473892208,0.9961282493887058
61.7,0.99750473892208,0.9961282493887058
61.8,0.99750473892208,0.9961282493887058
61.9,0.9972918543706747,0.9957981764656911
62.0,0.9972918543706747,0.9957981764656911
62.1,0.9972205836425037,0.9956876814334672
62.2,0.9971848981734529,0.9956323578766197
62.3,0.9970776533588228,0.9954661017018609
62.4,0.9968616759942445,0.9951313129868031
62.5,0.9968616759942445,0.9951313129868031
62.6,0.9968616759942445,0.9951313129868031
62.7,0.9967893104202257,0.9950191473387263
62.8,0.9967893104202257,0.9950191473387263
62.9,0.9965707563387566,0.9946804188302665
63.0,0.9965707563387566,0.9946804188302665
63.1,0.9965707563387566,0.9946804188302665
63.2,0.9965707563387566,0.9946804188302665
63.3,0.9964244207962414,0.9944536419864791
63.4,0.9964244207962414,0.9944536419864791
63.5,0.9964244207962414,0.9944536419864791
63.6,0.9964244207962414,0.9944536419864791
63.7,0.9963504091537339,0.9943389528225898
63.8,0.9961651116934253,0.9940518347209714
63.9,0.9960167685644671,0.9938219985674102
64.0,0.9960167685644671,0.9938219985674102
64.1,0.9959795640274804,0.9937643585031969
64.2,0.9959795640274804,0.9937643585031969
64.3,0.9958303084349456,0.9935331324880565
64.4,0.9958303084349456,0.9935331324880565
64.5,0.9956807562418822,0.9933014661921696
64.6,0.9956807562418822,0.9933014661921696
64.7,0.9956807562418822,0.9933014661921696
64.8,0.9955298767736782,0.993067763347241
64.9,0.9955298767736782,0.993067763347241
65.0,0.9954165248516585,0.9928922011983672
65.1,0.9952652326903408,0.9926578935218746
65.2,0.9951138289217303,0.9924234327052899
65.3,0.9948863812127615,0.9920712488360813
65.4,0.9948863812127615,0.9920712488360813
65.5,0.9947326717117272,0.9918332676493105
65.6,0.9946557518941817,0.9917141839458757
65.7,0.9946557518941817,0.9917141839458757
65.8,0.994578667526306,0.9915948505994596
65.9,0.9944242545533069,0.9913558211822767
66.0,0.994269600046385,0.9911164384353638
66.1,0.9941921428731675,0.9909965536994342
66.2,0.9940746332284255,0.990814687402529
66.3,0.9940746332284255,0.990814687402529
66.4,0.9939568143423099,0.9906323544306558
66.5,0.9939568143423099,0.9906323544306558
66.6,0.9938780525039581,0.9905104716354317
66.7,0.9937991675404695,0.990388403656828
66.8,0.9937596716236168,0.9903272889929707
66.9,0.9936806067494548,0.9902049506785918
67.0,0.9936013934089227,0.9900823880351279
67.1,0.9935220258074018,0.9899595921280212
67.2,0.9932834055160106,0.9895904364169297
67.3,0.9932834055160106,0.9895904364169297
67.4,0.993201587481327,0.9894638717309611
67.5,0.9930377107850241,0.9892103874623502
67.6,0.9930377107850241,0.9892103874623502
67.7,0.9928734129375887,0.9889562749665883
67.8,0.9927499884042889,0.9887653947751347
67.9,0.992667488188315,0.988637812730352
68.0,0.992378181351051,0.9881904619349374
68.1,0.9922123487664655,0.9879340700103383
68.2,0.9922123487664655,0.9879340700103383
68.3,0.9918783154526594,0.9874176966996678
68.4,0.9917946156020345,0.9872883223603772
68.5,0.9915848279801147,0.9869640814539363
68.6,0.9915007368741298,0.9868341236272437
68.7,0.9913741409161587,0.9866384885567124
68.8,0.9912049948244823,0.9863771201834511
68.9,0.9910354428111816,0.9861151493104734
69.0,0.9909504676900992,0.9859838655450638
69.1,0.9909504676900992,0.9859838655450638
69.2,0.9906093245014294,0.985456873180099
69.3,0.990438062692841,0.9851923485803318
69.4,0.9901801743289111,0.9847940715302971
69.5,0.9900935172756424,0.9846602531739176
69.6,0.9898765605047021,0.98432525057435
69.7,0.9895721100896189,0.9838552176085741
69.8,0.9893975286924659,0.9835857220479651
69.9,0.9893975286924659,0.9835857220479651
70.0,0.9893095638602716,0.9834499435870363
70.1,0.9892213280600928,0.9833137535758995
70.2,0.9889558414864449,0.9829040213992
70.3,0.9884639040919513,0.9821449626025032
70.4,0.9881933762189731,0.9817276273937313
70.5,0.9880116210361013,0.9814472746042371
70.6,0.9876004627975429,0.9808131785586018
70.7,0.9871876729948139,0.980176713045526
70.8,0.9869576941761548,0.9798221809050521
70.9,0.9865887115876414,0.9792534578857175
71.0,0.9864023008159293,0.9789661825259761
71.1,0.9862152139045927,0.9786778953440671
71.2,0.98602720094832,0.9783882116452648
71.3,0.9853670616181645,0.9773713341521344
71.4,0.9848417555418796,0.9765624225455082
71.5,0.9848417555418796,0.9765624225455082
71.6,0.9844551797008047,0.9759672920183998
71.7,0.9836762362498582,0.9747685069139492
71.8,0.9835783127276562,0.97461784084156
71.9,0.9832835012323454,0.9741642910949232
72.0,0.9828385870820326,0.9734799597410421
72.1,0.9828385870820326,0.9734799597410421
72.2,0.9825375157759484,0.9730169730640901
72.3,0.9820329104361931,0.9722411681121391
72.4,0.9815721702869948,0.9715329960574122
72.5,0.9815202579138047,0.9714532166266102
72.6,0.980998923689725,0.9706521545351303
72.7,0.9803665973543554,0.9696808619683017
72.8,0.9803665973543554,0.9696808619683017
72.9,0.9796746348055683,0.9686183611873723
73.0,0.9794596994844713,0.9682884148056244
73.1,0.9792426795792997,0.9679553089873267
73.2,0.9790243800616679,0.9676202802422286
73.3,0.9784749859075866,0.9667772964849541
73.4,0.9780883609600636,0.9661842206350149
73.5,0.9775858569150156,0.9654135819250248
73.6,0.9768000078938189,0.9642088450929013
73.7,0.9761178837400427,0.9631635566846848
73.8,0.9758889247713134,0.9628127899839035
73.9,0.97531387212733,0.9619320059966401
74.0,0.9750807156537706,0.9615749717812188
74.1,0.9740213054269037,0.959953283481854
74.2,0.97354597398024,0.9592259883357006
74.3,0.9727065099191747,0.9579420205044308
74.4,0.9724043694458803,0.957480043772173
74.5,0.9719153896040119,0.9567325552937855
74.6,0.9712995714240792,0.9557914686313181
74.7,0.9703653998085213,0.9543645071992987
74.8,0.970238552934754,0.9541708051859062
74.9,0.9692813293552849,0.9527095245790012
75.0,0.96837355611465,0.9513244706566157
75.1,0.9682412672833217,0.9511226881050511
75.2,0.9674431988011145,0.949905703056913
75.3,0.9666923659557778,0.948761254718314
75.4,0.9655225349544106,0.9469791321654492
75.5,0.9649629558134069,0.9461270901312053
75.6,0.9639078706389185,0.9445213096826516
75.7,0.9629875120319707,0.9431213685864753
75.8,0.9621281072771248,0.9418148107966288
75.9,0.9613349121761338,0.9406094841820652
76.0,0.9611888768863184,0.9403876311838949
76.1,0.9608941684815252,0.939939974605826
76.2,0.9608941684815252,0.939939974605826
76.3,0.9602931331770956,0.939027248359706
76.4,0.9596126913714387,0.9379943172007937
76.5,0.9590007051929421,0.9370656494561876
76.6,0.9583026322897747,0.9360067479440417
76.7,0.9568138101470335,0.9337497890437411
76.8,0.9557075652882171,0.9320740491221934
76.9,0.9546571699728476,0.9304839020445043
77.0,0.9544922307919435,0.9302342957109955
77.1,0.953830131334373,0.9292325649961214
77.2,0.9534952692029577,0.9287260779288418
77.3,0.9524842024221036,0.9271974115521994
77.4,0.952140154470632,0.9266774381514513
77.5,0.9512719727398031,0.9253657821066744
77.6,0.9506585009234032,0.9244393427100601
77.7,0.9502136727011609,0.9237677884166512
77.8,0.9485039059577426,0.9211881822034761
77.9,0.9482261230598896,0.9207693204897676
78.0,0.9482261230598896,0.9207693204897676
78.1,0.9472834642836037,0.919348415072809
78.2,0.9465176980887486,0.9181947216929244
78.3,0.9455474250235799,0.9167336617320158
78.4,0.9436812199587623,0.9139258156952497
78.5,0.943075342582783,0.9130148870135424
78.6,0.9426647614769594,0.9123977675422895
78.7,0.9420429358473313,0.9114634221392831
78.8,0.940371459157528,0.90895357720772
78.9,0.939518435622663,0.9076736494538828
79.0,0.9388701207128866,0.9067013082855064
79.1,0.9383247653057382,0.9058836728587953
79.2,0.9378837704792988,0.9052226942379243
79.3,0.936318130602162,0.9028774454676342
79.4,0.9360878056673965,0.9025326132131196
79.5,0.9351602528338423,0.9011443970624174
79.6,0.9344530607950171,0.9000864936754448
79.7,0.9331447396070333,0.8981305150644804
79.8,0.9326624775403661,0.8974099012470117
79.9,0.9311867502130765,0.8952060942370403
80.0,0.9295577852852398,0.8927756873128906
80.1,0.9287964753963552,0.8916406237228478
80.2,0.9277682792518868,0.8901084661504423
80.3,0.9265936521450155,0.8883592539400085
80.4,0.9252624113002482,0.8863782993550675
80.5,0.9241660633067925,0.884748059747434
80.6,0.9227804642034821,0.8826892403459542
80.7,0.9208218752144037,0.8797819464746258
80.8,0.919830657556264,0.8783119026157785
80.9,0.9180904602579495,0.8757331880582995
81.0,0.9161564279835432,0.8728704069313206
81.1,0.9146461055676574,0.8706371281869403
81.2,0.9129435060066903,0.8681219766538099
81.3,0.9104305505554062,0.8644144687205432
81.4,0.9086608424224997,0.8618069075568767
81.5,0.9076767459707773,0.8603581127566503
81.6,0.905350802686934,0.8569372908225519
81.7,0.9046772537498343,0.8559475919488793
81.8,0.9039970332384153,0.8549485032541592
81.9,0.9017445241682194,0.851643047804378
82.0,0.8999550554803437,0.84902033362129
82.1,0.8990400462755432,0.8476803738820156
82.2,0.8960858266166767,0.8433592949532982
82.3,0.894182633123446,0.8405796969850795
82.4,0.8932135679716647,0.8391656409829135
82.5,0.8916443579439574,0.836877653853504
82.6,0.8892622249273329,0.8334086362818958
82.7,0.8858163772813717,0.828399651488892
82.8,0.8845754277344227,0.8265984047757723
82.9,0.8841532070463541,0.8259858668477805
83.0,0.8819964284291484,0.8228594364868815
83.1,0.8806763803859698,0.8209479997081355
83.2,0.8788809787619758,0.8183507890905098
83.3,0.87795249956196,0.8170088096357393
83.4,0.87630280633242,0.8146263565961063
83.5,0.8753397065130859,0.8132366129856766
83.6,0.873140214663487,0.8100659364802808
83.7,0.8716381583890729,0.8079031826455353
83.8,0.8711239498070374,0.8071632662193577
83.9,0.870079024210458,0.8056604223397651
84.0,0.8684686553204017,0.80334629353943
84.1,0.8679181970368822,0.8025558187000519
84.2,0.8653980256431595,0.7989403149358718
84.3,0.8651077102230943,0.7985241942049105
84.4,0.8633442213463001,0.7959981735286038
84.5,0.8624415665443598,0.794706313864444
84.6,0.8618200560397207,0.7938172560014587
84.7,0.8589440870288917,0.7897078569301302
84.8,0.8589440870288917,0.7897078569301302
84.9,0.855286963853689,0.7844932617722318
85.0,0.8531905574554843,0.7815096004068794
85.1,0.8510175814871761,0.7784212371340652
85.2,0.8495356684566634,0.7763175515095633
