epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
19,6259,,,0.5482000112533569,,1.573503851890564,,
20,6299,,,,0.5234375,,,
20,6349,,,,0.515625,,,
20,6399,,,,0.546875,,,
20,6449,,,,0.5546875,,,
20,6499,,,,0.5234375,,,
20,6549,,,,0.5234375,,,
20,6572,,,,,,0.4275999963283539,2.2633612155914307
20,6572,,,0.5642250180244446,,1.5209742784500122,,
21,6599,,,,0.59375,,,
21,6649,,,,0.5546875,,,
21,6699,,,,0.5546875,,,
21,6749,,,,0.546875,,,
21,6799,,,,0.6015625,,,
21,6849,,,,0.625,,,
21,6885,,,,,,0.421099990606308,2.3470895290374756
21,6885,,,0.574774980545044,,1.4722497463226318,,
22,6899,,,,0.65625,,,
22,6949,,,,0.6171875,,,
22,6999,,,,0.65625,,,
22,7049,,,,0.6171875,,,
22,7099,,,,0.6171875,,,
22,7149,,,,0.515625,,,
22,7198,,,,,,0.430400013923645,2.312837600708008
22,7198,,,0.5874999761581421,,1.4215093851089478,,
23,7199,,,,0.578125,,,
23,7249,,,,0.6171875,,,
23,7299,,,,0.640625,,,
23,7349,,,,0.6328125,,,
23,7399,,,,0.5703125,,,
23,7449,,,,0.5625,,,
23,7499,,,,0.609375,,,
23,7511,,,,,,0.4203000068664551,2.334794044494629
23,7511,,,0.5973749756813049,,1.3792810440063477,,
24,7549,,,,0.6015625,,,
24,7599,,,,0.65625,,,
24,7649,,,,0.6328125,,,
24,7699,,,,0.6171875,,,
24,7749,,,,0.6171875,,,
24,7799,,,,0.5390625,,,
24,7824,,,,,,0.42820000648498535,2.386293411254883
24,7824,,,0.6122750043869019,,1.3248709440231323,,
25,7849,,,,0.6796875,,,
25,7899,,,,0.65625,,,
25,7949,,,,0.4921875,,,
25,7999,,,,0.65625,,,
25,8049,,,,0.6796875,,,
25,8099,,,,0.59375,,,
25,8137,,,,,,0.4275999963283539,2.326650857925415
25,8137,,,0.6189500093460083,,1.291566252708435,,
26,8149,,,,0.625,,,
26,8199,,,,0.65625,,,
26,8249,,,,0.6640625,,,
26,8299,,,,0.6640625,,,
26,8349,,,,0.625,,,
26,8399,,,,0.625,,,
26,8449,,,,0.5390625,,,
26,8450,,,,,,0.42739999294281006,2.365246057510376
26,8450,,,0.6270999908447266,,1.2581415176391602,,
27,8499,,,,0.640625,,,
27,8549,,,,0.6640625,,,
27,8599,,,,0.59375,,,
27,8649,,,,0.6015625,,,
27,8699,,,,0.671875,,,
27,8749,,,,0.6796875,,,
27,8763,,,,,,0.4307999908924103,2.385831117630005
27,8763,,,0.6394749879837036,,1.2128232717514038,,
28,8799,,,,0.6484375,,,
28,8849,,,,0.703125,,,
28,8899,,,,0.6015625,,,
28,8949,,,,0.609375,,,
28,8999,,,,0.5859375,,,
28,9049,,,,0.6640625,,,
28,9076,,,,,,0.4350999891757965,2.314323663711548
28,9076,,,0.6453499794006348,,1.1786131858825684,,
29,9099,,,,0.6328125,,,
29,9149,,,,0.6640625,,,
29,9199,,,,0.6640625,,,
29,9249,,,,0.703125,,,
29,9299,,,,0.6640625,,,
29,9349,,,,0.6640625,,,
29,9389,,,,,,0.436599999666214,2.353581190109253
29,9389,,,0.6559249758720398,,1.1424753665924072,,
30,9390,0.43479999899864197,2.392415761947632,,,,,
