key,accuracy,auc,size,threshold
baseline,0.5,0.5,102,"0.0,0.0"
delta,0.45098039215686275,0.4271434063821608,102,"0.294,0.196"
features,0.5784313725490197,0.655517108804306,102,"0.451,0.608"
nn,0.5882352941176471,0.5793925413302575,102,"0.412,0.588"
