size,baseline-median,baseline-significant,multi-transferred-median,multi-transferred-significant,multi-finetuned-median,multi-finetuned-significant,multi-frozen-median,multi-frozen-significant
100,1.0395806806485266,1,0.6082066753959203,1,0.5948754506144742,1,0.5176629208744968,1
200,0.9020594710444045,1,0.5552724017542325,1,0.536098484675032,1,0.46901653236391794,1
300,0.8236028028767655,1,0.549048498125127,1,0.4955648882596041,1,0.4568746543592682,1
400,0.8095451542745412,1,0.5522624884929449,1,0.4847309922160412,1,0.46436527890744905,0
500,0.756522061703214,1,0.5441627833242735,1,0.4823449654895783,1,0.45446640879418826,1
