x,multi-finetuned,multi-frozen,baseline,multi-transferred
0.0,5.304270179526817e-56,3.2985446343739025e-45,1.0346061378200541e-38,1.1153853154043443e-55
0.0023163798075422656,4.112337613418632e-54,2.471579907631458e-43,4.2147555097295867e-38,1.7594768535556522e-53
0.004632759615084531,2.9501107530196816e-52,1.6826343939627692e-41,1.696667266489331e-37,2.4980692580897276e-51
0.006949139422626796,1.9582795680556106e-50,1.0408013777342113e-39,6.749136979809141e-37,3.192190478032911e-49
0.009265519230169062,1.202813566457181e-48,5.849370981682791e-38,2.652939796430463e-36,3.6714503025030395e-47
0.011581899037711329,6.836120424048152e-47,2.9868537791454768e-36,1.0304679149695042e-35,3.8006000689770156e-45
0.013898278845253593,3.595087303865599e-45,1.3857426833975114e-34,3.955212596486302e-35,3.541061596483359e-43
0.01621465865279586,1.7494366033450622e-43,5.841380525521183e-33,1.5001470620213431e-34,2.969495772917242e-41
0.018531038460338125,7.877289295177007e-42,2.2372433343556755e-31,5.622466376312484e-34,2.241305154340766e-39
0.02084741826788039,3.282056943519404e-40,7.78531976762753e-30,2.0823288888919793e-33,1.5226126799827905e-37
0.023163798075422657,1.2653399289713758e-38,2.461535245772465e-28,7.62081859061477e-33,9.309989477788867e-36
0.025480177882964923,4.513997543019268e-37,7.071362760425079e-27,2.756031636379909e-32,5.123672365661682e-34
0.027796557690507186,1.490080871113202e-35,1.84573348272006e-25,9.849121641603281e-32,2.5379732232351023e-32
0.03011293749804945,4.551498547858794e-34,4.377290670573972e-24,3.4780995118649174e-31,1.1315333251197136e-30
0.03242931730559172,1.2864618543109611e-32,9.432231415232125e-23,1.2137191297660953e-30,4.540706034847159e-29
0.03474569711313399,3.364647229434615e-31,1.8467106853917668e-21,4.185300015542553e-30,1.640046776976971e-27
0.03706207692067625,8.143006920888772e-30,3.2852014403657826e-20,1.4261582958940839e-29,5.331715533681868e-26
0.03937845672821851,1.8236254035227315e-28,5.310166125810702e-19,4.8022212758982264e-29,1.5601151557851131e-24
