age,female_ABCD,female_QTAB,female_PING,female_PNC,female_ds000119,female_SLIM,female_QTIM,female_Beijing,female_AOMIC-PIOP2,female_ds000202,female_AOMIC-PIOP1,female_AOMIC-ID1000,female_CoRR,female_HCP,female_FCON1000,female_NIMH,female_NKI-RS,female_MPI-LEMON,female_ds003592,female_ds000222,female_SALD,female_IXI,female_Cam-CAN,female_DLBS,female_UKBB,female_ADNI,male_ABCD,male_QTAB,male_PING,male_PNC,male_ds000119,male_SLIM,male_QTIM,male_Beijing,male_AOMIC-PIOP2,male_ds000202,male_AOMIC-PIOP1,male_AOMIC-ID1000,male_CoRR,male_HCP,male_FCON1000,male_NIMH,male_NKI-RS,male_MPI-LEMON,male_ds003592,male_ds000222,male_SALD,male_IXI,male_Cam-CAN,male_DLBS,male_UKBB,male_ADNI
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0060708263069139965,0.0,0.0,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552,0.007419898819561552
4,0.0,0.0,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.00775716694772344,0.0,0.0,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774,0.006745362563237774
5,0.0,0.0,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.0,0.0,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328,0.008094435075885328
6,0.0,0.0,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.010792580101180439,0.010792580101180439,0.010792580101180439,0.010792580101180439,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.011467116357504217,0.0,0.0,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.01011804384485666,0.011804384485666104,0.011804384485666104,0.011804384485666104,0.011804384485666104,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882,0.012478920741989882
7,0.0,0.0,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.009443507588532884,0.011804384485666104,0.011804384485666104,0.011804384485666104,0.011804384485666104,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.01315345699831366,0.0,0.0,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.011129848229342328,0.012816188870151771,0.012816188870151771,0.012816188870151771,0.012816188870151771,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547,0.013490725126475547
8,0.02023608768971332,0.02057335581787521,0.03102866779089376,0.03406408094435076,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.035075885328836424,0.038448566610455315,0.038448566610455315,0.0387858347386172,0.0387858347386172,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.039797639123102864,0.021585160202360877,0.021922428330522766,0.03709949409780776,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.038448566610455315,0.04283305227655986,0.04283305227655986,0.04283305227655986,0.04283305227655986,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196,0.044856661045531196
9,0.8846543001686341,0.8961214165261383,0.9123102866779089,0.9200674536256324,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9204047217537943,0.9220910623946037,0.9220910623946037,0.9220910623946037,0.9220910623946037,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.924114671163575,0.9585160202360877,0.9706576728499157,0.9834738617200675,0.9895446880269815,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9898819561551433,0.9956155143338955,0.9956155143338955,0.9962900505902192,0.9962900505902192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
