year,count
2025,2724
2024,2215
2023,1671
2022,1489
2021,1453
2020,1192
2019,953
2018,652
2017,475
2016,359
2015,322
2014,319
2013,253
2012,183
2011,155
2010,137
2009,176
2008,151
2007,147
2006,110
2005,106
2004,97
2003,47
2002,37
2001,29
2000,24
1999,21
1998,27
1997,18
1996,16
1995,21
1994,11
1993,11
1992,5
1991,2
1990,1
1988,3
1987,3
1986,2
1984,1
1980,1
1975,1
