key,accuracy,auc,size,threshold
baseline,0.5052264808362369,0.5071932401753088,574,"0.481,0.491"
delta,0.5714285714285714,0.5891415459699644,574,"0.387,0.547"
features,0.5836236933797909,0.6293872694824509,574,"0.387,0.554"
nn,0.5958188153310104,0.6236812393011933,574,"0.355,0.554"
