age,controls,patients
0.0,6.086646969228564e-39,1.561702085896675e-57
0.5,3.4622957468281076e-36,3.951412911537785e-54
1.0,1.537676727619296e-33,7.805873111453158e-51
1.5,5.331884715962348e-31,1.2039415984821817e-47
2.0,1.4434817249467663e-28,1.4497871078127112e-44
2.5,3.051101526115873e-26,1.363069369998237e-41
3.0,5.035201539536185e-24,1.0005680918772773e-38
3.5,6.487716854759166e-22,5.7344317966963036e-36
4.0,6.526521105981186e-20,2.5659567381500284e-33
4.5,5.126092468117433e-18,8.964451031450405e-31
5.0,3.1434456459236733e-16,2.4451971847883315e-28
5.5,1.5050131843460623e-14,5.207395108551965e-26
6.0,5.625867295947404e-13,8.658540212415379e-24
6.5,1.6419256710628758e-11,1.1240562709439838e-21
7.0,3.7413844111185466e-10,1.1393403768797093e-19
7.5,6.656194474683119e-09,9.016659006324272e-18
8.0,9.24558731826217e-08,5.571500676717022e-16
8.5,1.0026695990754536e-06,2.688101810601829e-14
9.0,8.48977277717965e-06,1.0127142820356922e-12
9.5,5.612409151643193e-05,2.979407381623819e-11
10.0,0.00028967988323235633,6.845899032900513e-10
10.5,0.0011673640143888197,1.2287980427842962e-08
11.0,0.0036730553804507713,1.723575888266318e-07
11.5,0.00902496568702866,1.89028090976154e-06
12.0,0.017327891855404436,1.6224441357076235e-05
12.5,0.026073926831334828,0.00010914699388666545
13.0,0.03115410212276675,0.0005768989501703823
13.5,0.03123375790966603,0.002404893297868612
14.0,0.03151591003056242,0.007953982721919503
14.5,0.04210278336982558,0.02106050039479692
15.0,0.07136561289110126,0.04522912532332981
15.5,0.1196318038635549,0.08023298983827135
16.0,0.17878215936620484,0.12053944511271215
16.5,0.23843630342647087,0.15884037708786547
17.0,0.29242051733106417,0.19288780011113651
17.5,0.3391185821516838,0.22874750936378313
18.0,0.3776882529408887,0.27450280015866624
18.5,0.4070478404518777,0.3289536804374582
19.0,0.4288782689776519,0.3811520388630864
19.5,0.4484476592769654,0.4261277344896113
20.0,0.46930343966506066,0.47552688846911945
20.5,0.4870796270136846,0.5448941635426171
21.0,0.4911732241008096,0.6364896791714053
21.5,0.47539409693465073,0.7428391412686692
22.0,0.44774754413059736,0.8551908008015606
22.5,0.42844997090497844,0.9530210041209801
23.0,0.43605030077695284,1.0
23.5,0.47218963251114354,0.9767555123692884
24.0,0.5184334433701746,0.9109855986362418
24.5,0.5500652943510561,0.8516194901280426
25.0,0.5529579072755642,0.8184229428181736
25.5,0.5263294240469777,0.7954451244847552
26.0,0.47830867367002844,0.7666770418896359
26.5,0.42920415884700674,0.7392852880881968
27.0,0.4093369937539456,0.7295513911047614
27.5,0.4342345083679019,0.7333313455366706
28.0,0.4827973128206338,0.7177807183769529
28.5,0.5150746672555359,0.6510280689946633
29.0,0.5130869718370705,0.5401712760153039
29.5,0.495319411984732,0.42965811979933927
30.0,0.49141066583934867,0.3604467561534234
30.5,0.5095439009741001,0.3384815569628374
31.0,0.531516293019888,0.34105440820588223
31.5,0.537218087073169,0.34320421803328033
32.0,0.5267585555329314,0.3357708901394733
32.5,0.5131746137166973,0.32604904637608667
33.0,0.49970598131750116,0.3267700303500418
33.5,0.47511200176111235,0.34180445792126884
34.0,0.43127028119254796,0.36005281907034253
34.5,0.37802787875954286,0.36597401901521737
35.0,0.33803507931177956,0.356213188824506
35.5,0.327911215977856,0.3428643047957201
36.0,0.3450003309672551,0.3410513044574833
36.5,0.37214532062694416,0.35412221165106045
37.0,0.39213059951439916,0.37000294089840635
37.5,0.39538606378632096,0.3742765320609014
