x,multi-finetuned,multi-frozen,baseline,linear
0.0,1.572015310217277e-16,1.5781280613217905e-55,5.339789941965593e-28,5.163824843068949e-30
0.002,2.147568040999548e-16,4.580361804612801e-55,9.320104538710083e-28,8.76677704865011e-30
0.004,2.9295873994800486e-16,1.3233147263208843e-54,1.6224790435584924e-27,1.4852074017017085e-29
0.006,3.9905743300557996e-16,3.805680651711439e-54,2.817079556520157e-27,2.5108046909845116e-29
0.008,5.427924804712401e-16,1.089450222084366e-53,4.8784384882849024e-27,4.2356243991216145e-29
0.01,7.372279071474039e-16,3.104476030884168e-53,8.426054469932311e-27,7.130182318649855e-29
0.012,9.998602218776181e-16,8.805927744217821e-53,1.4515413122283273e-26,1.1977398851439561e-28
0.014,1.3540866275322935e-15,2.486381860783449e-52,2.4939988626366508e-26,2.0077196637861365e-28
0.016,1.8311473627776142e-15,6.98821828564737e-52,4.2739045187094825e-26,3.358321862057515e-28
0.018000000000000002,2.4726912119148314e-15,1.9551092743370506e-51,7.304913819728912e-26,5.605575989745293e-28
0.02,3.3341587358055713e-15,5.444795434520297e-51,1.2452802405926796e-25,9.336774188679858e-28
0.022,4.4892367709342e-15,1.5093782085813604e-50,2.117292305769688e-25,1.551858610164832e-27
0.024,6.035714074029634e-15,4.1650534432328278e-50,3.5905110397838085e-25,2.573867157833874e-27
0.026000000000000002,8.103166580653847e-15,1.144060771243871e-49,6.072862405875081e-25,4.259893976108091e-27
0.028,1.0863027869680115e-14,3.128121708984688e-49,1.024453728215148e-24,7.03542172375839e-27
0.03,1.4541764055122964e-14,8.513815629975643e-49,1.7236654939817944e-24,1.1594717300697687e-26
0.032,1.9438082580108896e-14,2.3065926834166598e-48,2.8925133080257922e-24,1.90681639157481e-26
0.034,2.5945374079459784e-14,6.220476712213123e-48,4.8412720216746454e-24,3.129221262057848e-26
0.036000000000000004,3.4580931807020785e-14,1.6698695138534126e-47,8.081748860977101e-24,5.124392086923397e-26
0.038,4.602393453159587e-14,4.462184593667371e-47,1.3455906646268252e-23,8.373887361302201e-26
0.04,6.11647420326917e-14,1.1869124290458007e-46,2.2345101619363104e-23,1.3654964056096321e-25
0.042,8.116876973035758e-14,3.1426498280459467e-46,3.700952073090957e-23,2.221941862088404e-25
0.044,1.0755912115468306e-13,8.28284427506943e-46,6.11373135342068e-23,3.607891801261938e-25
0.046,1.423233147271497e-13,2.1730474569537936e-45,1.0073050462865954e-22,5.845921803934825e-25
0.048,1.8805090820727448e-13,5.674990737782389e-45,1.6553027688403773e-22,9.452162567552086e-25
0.05,2.4811067938014407e-13,1.4752558855297547e-44,2.713036598728206e-22,1.5250639196950612e-24
0.052000000000000005,3.26878363747446e-13,3.817471725873698e-44,4.435020669638915e-22,2.4554075913154333e-24
0.054,4.30028901666336e-13,9.833103229798038e-44,7.230984574924571e-22,3.9449165928507836e-24
0.056,5.649108604863336e-13,2.521225471735162e-43,1.1758746277112527e-21,6.3245661611809816e-24
0.058,7.410253597727105e-13,6.434860174875558e-43,1.907156833400862e-21,1.0118178536409234e-23
0.06,9.706376718660658e-13,1.6348311573996097e-42,3.0851309934567307e-21,1.6152978688273825e-23
0.062,1.2695569819902107e-12,4.134405637987684e-42,4.977630194993706e-21,2.5732476531995054e-23
0.064,1.658128923889525e-12,1.0407817590212405e-41,8.010017684133962e-21,4.090620911809099e-23
0.066,2.1624968906451927e-12,2.6080306642634066e-41,1.2856008681634593e-20,6.488967015114028e-23
0.068,2.816202285201181e-12,6.505372539304488e-41,2.0579777900652586e-20,1.0271658745419756e-22
0.07,3.6622114682964165e-12,1.6152439856649912e-40,3.285769270048131e-20,1.6224984173443148e-22
0.07200000000000001,4.7554789723310824e-12,3.992184459159172e-40,5.2323321711475114e-20,2.5574471327131095e-22
0.074,6.166183539169314e-12,9.821766347220421e-40,8.310275551384301e-20,4.022608169340356e-22
0.076,7.983806875396088e-12,2.405332692667001e-39,1.3164289551567946e-19,6.313751450033387e-22
0.078,1.0322266115256591e-11,5.863639919981216e-39,2.0798945836809623e-19,9.88885285745284e-22
0.08,1.3326361551216003e-11,1.4228726804112563e-38,3.277533428186093e-19,1.5455499017640582e-21
0.082,1.7179863300950745e-11,3.436935839174486e-38,5.151276437587853e-19,2.4104539135907888e-21
0.084,2.2115636716064347e-11,8.263869907887324e-38,8.075036928845135e-19,3.751399503327368e-21
0.08600000000000001,2.8428299492338976e-11,1.9778903401714246e-37,1.2625137768963702e-18,5.825946393666723e-21
0.088,3.649001719957535e-11,4.712242867147409e-37,1.9687460407280273e-18,9.028556816994621e-21
0.09,4.677018260083784e-11,1.117531746313752e-36,3.0620004351532586e-18,1.3962039750763908e-20
0.092,5.985989279670446e-11,2.6381461355988998e-36,4.749881701538882e-18,2.1545574976147387e-20
0.094,7.650234300804883e-11,6.199328273969376e-36,7.34890022469388e-18,3.3177678175393357e-20
