fpr,tpr
0.0,0.0
0.0,0.010416666666666666
0.010416666666666666,0.010416666666666666
0.010416666666666666,0.052083333333333336
0.11458333333333333,0.052083333333333336
0.11458333333333333,0.13541666666666666
0.13541666666666666,0.13541666666666666
0.13541666666666666,0.14583333333333334
0.14583333333333334,0.14583333333333334
0.14583333333333334,0.15625
0.16666666666666666,0.15625
0.16666666666666666,0.20833333333333334
0.19791666666666666,0.20833333333333334
0.19791666666666666,0.21875
0.20833333333333334,0.21875
0.20833333333333334,0.23958333333333334
0.21875,0.23958333333333334
0.21875,0.25
0.23958333333333334,0.25
0.23958333333333334,0.2708333333333333
0.2604166666666667,0.2708333333333333
0.2604166666666667,0.3125
0.28125,0.3125
0.28125,0.3229166666666667
0.2916666666666667,0.3229166666666667
0.2916666666666667,0.3333333333333333
0.3125,0.3333333333333333
0.3125,0.3854166666666667
0.3229166666666667,0.3854166666666667
0.3229166666666667,0.3958333333333333
0.3333333333333333,0.3958333333333333
0.3333333333333333,0.40625
0.3541666666666667,0.40625
0.3541666666666667,0.4375
0.375,0.4375
0.375,0.4479166666666667
0.3854166666666667,0.4479166666666667
0.3854166666666667,0.4583333333333333
0.40625,0.4583333333333333
0.40625,0.46875
0.4166666666666667,0.46875
0.4166666666666667,0.4791666666666667
0.4375,0.4791666666666667
0.4375,0.53125
0.4479166666666667,0.53125
0.4479166666666667,0.5416666666666666
0.4583333333333333,0.5416666666666666
0.4583333333333333,0.5625
0.5208333333333334,0.5625
0.5208333333333334,0.6145833333333334
0.53125,0.6145833333333334
0.53125,0.625
0.5833333333333334,0.625
0.5833333333333334,0.6354166666666666
0.6354166666666666,0.6354166666666666
0.6354166666666666,0.6458333333333334
0.65625,0.6458333333333334
0.65625,0.65625
0.6875,0.65625
0.6875,0.6875
0.7083333333333334,0.6875
0.7083333333333334,0.71875
0.75,0.71875
0.75,0.7291666666666666
0.78125,0.7291666666666666
0.78125,0.8020833333333334
0.7916666666666666,0.8020833333333334
0.7916666666666666,0.8125
0.8125,0.8125
0.8125,0.8333333333333334
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.84375
0.8645833333333334,0.84375
0.8645833333333334,0.875
0.875,0.875
0.875,0.90625
0.8854166666666666,0.90625
0.8854166666666666,0.9166666666666666
0.9270833333333334,0.9166666666666666
0.9270833333333334,0.9270833333333334
0.9375,0.9270833333333334
0.9375,0.9375
0.9583333333333334,0.9375
0.9583333333333334,0.9479166666666666
0.96875,0.9479166666666666
0.96875,0.9583333333333334
0.9791666666666666,0.9583333333333334
0.9791666666666666,0.96875
0.9895833333333334,0.96875
0.9895833333333334,1.0
1.0,1.0
