Year,Count
2024,230
2023,554
2022,484
2021,466
2020,299
2019,247
2018,179
2017,133
2016,105
2015,108
2014,121
2013,95
2012,85
2011,82
2010,62
2009,63
2008,52
2007,64
2006,43
2005,53
2004,24
2003,23
2002,28
2001,19
2000,20
1999,15
1998,12
1997,15
1996,11
1995,17
1994,9
1993,12
1992,7
1991,9
1990,2
1989,1
1988,2
1987,4
1986,1
1980,1
