Year,Count
2024,78
2023,155
2022,141
2021,125
2020,103
2019,94
2018,91
2017,80
2016,64
2015,62
2014,57
2013,40
2012,32
2011,21
2010,18
2009,12
2008,9
2007,9
2006,6
2005,4
2004,3
2003,3
2002,3
2000,1
1998,1
1995,1
1993,1
1992,1
1991,2
1990,1
