Year,Count
2024,83
2023,203
2022,249
2021,215
2020,195
2019,203
2018,179
2017,165
2016,148
2015,151
2014,132
2013,133
2012,123
2011,122
2010,101
2009,87
2008,85
2007,69
2006,61
2005,54
2004,42
2003,34
2002,20
2001,16
2000,9
1999,12
1998,9
1997,2
1996,1
1995,1
