year,multimodal
1995,0.0
1996,0.0
1997,0.0
1998,0.0
2001,0.0
2002,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.07692307692307693
2010,0.0625
2011,0.07692307692307693
2012,0.10869565217391304
2013,0.14634146341463414
2014,0.15517241379310345
2015,0.22580645161290322
2016,0.2571428571428571
2017,0.09375
2018,0.2236842105263158
2019,0.1111111111111111
2020,0.10810810810810811
2021,0.16129032258064516
2022,0.0
