Year,Count
2024,67
2023,174
2022,117
2021,121
2020,126
2019,98
2018,99
2017,85
2016,79
2015,88
2014,81
2013,73
2012,50
2011,37
2010,28
2009,35
2008,13
2007,18
2006,15
2005,9
2004,14
2003,6
2002,11
2001,6
2000,8
1999,5
1998,3
1997,1
1988,1
