Year,Count
2024,323
2023,267
2022,258
2021,238
2020,186
2019,145
2018,108
2017,87
2016,69
2015,57
2014,40
2013,37
2012,46
2011,28
2010,10
2009,8
2008,15
2007,12
2006,6
2005,4
2004,5
2003,4
2001,1
2000,1
