fold,loss,accuracy,val_loss,val_accuracy,pretrained,dropout,weight_decay,learning_rate,augmenter
2,0.40323734283447266,0.8761574029922485,0.5014215707778931,0.7847222089767456,True,0.25,0.01,cycle,baseline
2,0.4208086431026459,0.8449074029922485,0.4709526598453522,0.7881944179534912,True,0.5,0.01,stepwise,heavy
2,0.5077731013298035,0.8344907164573669,0.5346917510032654,0.8125,False,0.5,0.001,cycle,heavy
2,0.4311554431915283,0.8449074029922485,0.49444326758384705,0.7847222089767456,True,0.5,0.01,cycle,baseline
2,0.4123968780040741,0.8668981194496155,0.5103050470352173,0.7951388955116272,False,0.25,0.01,cycle,baseline
2,0.5460519790649414,0.8877314925193787,0.7149109244346619,0.8159722089767456,True,0.5,0.001,cyclical,baseline
2,0.5832962989807129,0.8298611044883728,0.6004751920700073,0.8090277910232544,False,0.5,0.001,cyclical,baseline
2,0.4554029703140259,0.8703703880310059,0.5471956729888916,0.8263888955116272,False,0.5,0.001,cyclical,heavy
2,0.5258340239524841,0.78125,0.5053752660751343,0.7847222089767456,True,0.25,0.01,cyclical,heavy
2,0.5289132595062256,0.8692129850387573,0.5900756120681763,0.8229166865348816,True,0.5,0.001,stepwise,heavy
2,0.4914090931415558,0.8182870149612427,0.47173038125038147,0.8090277910232544,True,0.5,0.01,cycle,heavy
2,0.4746849536895752,0.8344907164573669,0.49408286809921265,0.7916666865348816,True,0.25,0.01,stepwise,baseline
2,0.44792211055755615,0.8252314925193787,0.4646490812301636,0.8298611044883728,True,0.5,0.01,cyclical,heavy
2,0.4275856018066406,0.8599537014961243,0.471375048160553,0.8263888955116272,False,0.25,0.01,stepwise,heavy
2,0.5400490164756775,0.8831018805503845,0.6918907761573792,0.8229166865348816,True,0.5,0.001,cycle,baseline
2,0.48374316096305847,0.8194444179534912,0.4797958731651306,0.7777777910232544,True,0.25,0.01,cycle,heavy
2,0.526742696762085,0.8356481194496155,0.5569736957550049,0.8090277910232544,False,0.5,0.001,cycle,baseline
2,0.4088006913661957,0.8715277910232544,0.4565933048725128,0.8159722089767456,False,0.5,0.01,cycle,baseline
2,0.45820122957229614,0.8472222089767456,0.4711754620075226,0.8194444179534912,False,0.5,0.01,cyclical,heavy
2,0.6413486003875732,0.8414351940155029,0.6729794144630432,0.8194444179534912,True,0.5,0.001,cyclical,heavy
2,0.44104424118995667,0.8634259104728699,0.46075963973999023,0.8368055820465088,False,0.5,0.01,cyclical,baseline
2,0.520669162273407,0.7766203880310059,0.50190669298172,0.8020833134651184,True,0.25,0.01,cyclical,baseline
2,0.35353100299835205,0.9027777910232544,0.43632808327674866,0.8194444179534912,False,0.5,0.01,stepwise,baseline
2,0.3951384723186493,0.8807870149612427,0.47392088174819946,0.8298611044883728,True,0.5,0.01,cyclical,baseline
2,0.41620633006095886,0.8576388955116272,0.45084965229034424,0.8368055820465088,True,0.5,0.01,stepwise,baseline
2,0.453592449426651,0.8425925970077515,0.4789787828922272,0.8125,False,0.25,0.01,cyclical,baseline
2,0.47464752197265625,0.9085648059844971,0.6242405772209167,0.8229166865348816,True,0.5,0.001,stepwise,baseline
2,0.4691198766231537,0.8449074029922485,0.5295475125312805,0.8263888955116272,False,0.5,0.001,stepwise,baseline
2,0.41812655329704285,0.8738425970077515,0.5220089554786682,0.8194444179534912,False,0.5,0.001,stepwise,heavy
2,0.4746248126029968,0.8182870149612427,0.45997655391693115,0.8090277910232544,True,0.25,0.01,stepwise,heavy
2,0.4230020344257355,0.8587962985038757,0.4831281304359436,0.8055555820465088,False,0.25,0.01,stepwise,baseline
2,0.5186107158660889,0.7962962985038757,0.48913097381591797,0.8020833134651184,False,0.5,0.01,cycle,heavy
2,0.5759252309799194,0.8310185074806213,0.6260445713996887,0.7986111044883728,True,0.5,0.001,cycle,heavy
2,0.42097029089927673,0.8622685074806213,0.43608662486076355,0.8333333134651184,False,0.5,0.01,stepwise,heavy
4,0.3509589731693268,0.9004629850387573,0.5324509143829346,0.8090277910232544,True,0.25,0.01,cycle,baseline
4,0.4389481246471405,0.8368055820465088,0.4421163499355316,0.7986111044883728,True,0.5,0.01,stepwise,heavy
4,0.47449031472206116,0.8414351940155029,0.5454276204109192,0.8263888955116272,False,0.5,0.001,cycle,heavy
4,0.41903433203697205,0.8564814925193787,0.4637438952922821,0.8229166865348816,True,0.5,0.01,cycle,baseline
4,0.3448484539985657,0.9097222089767456,0.5175819993019104,0.8159722089767456,False,0.25,0.01,cycle,baseline
4,0.5689033269882202,0.8888888955116272,0.7323574423789978,0.8506944179534912,True,0.5,0.001,cyclical,baseline
4,0.47127702832221985,0.8587962985038757,0.5440332293510437,0.8263888955116272,False,0.5,0.001,cyclical,baseline
4,0.4384782314300537,0.8784722089767456,0.5368669033050537,0.8263888955116272,False,0.5,0.001,cyclical,heavy
4,0.4321204423904419,0.8611111044883728,0.47746869921684265,0.8298611044883728,True,0.25,0.01,cyclical,heavy
4,0.4448845088481903,0.9212962985038757,0.6360588669776917,0.8263888955116272,True,0.5,0.001,stepwise,heavy
4,0.5178654193878174,0.7858796119689941,0.4902758002281189,0.7881944179534912,True,0.5,0.01,cycle,heavy
4,0.4072941541671753,0.8483796119689941,0.528156042098999,0.8159722089767456,True,0.25,0.01,stepwise,baseline
