Year,Count
2025,1726
2024,1812
2023,1566
2022,1447
2021,1366
2020,1116
2019,905
2018,690
2017,502
2016,392
2015,366
2014,367
2013,280
2012,200
2011,174
2010,146
2009,175
2008,158
2007,150
2006,108
2005,103
2004,93
2003,46
2002,33
2001,26
2000,21
1999,20
1998,27
1997,18
1996,16
1995,21
1994,10
1993,10
1992,5
1991,1
1990,1
1988,3
1987,2
1986,2
1984,1
1980,1
1975,1
