x,y,value
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
0,1,-0.20735000217549043
1,1,-0.27894289359576274
2,1,-0.061997898647197444
3,1,0.09457492707501715
4,1,0.0
5,1,-0.3059114583954104
6,1,0.08499813733218443
7,1,-0.035147144335252296
8,1,-0.30137537456891056
9,1,-0.5211060216288987
10,1,0.3905789820727555
11,1,-0.20937323792170323
12,1,-0.29789192356217814
13,1,-0.30096542941395676
14,1,-0.2809193382856494
15,1,-0.17354166175939248
16,1,-0.05244599345412249
17,1,0.17640233999563132
18,1,-0.2378355004948516
19,1,-0.10437490670167593
20,1,0.17891818752035413
21,1,0.052431715431580456
22,1,0.3328202554055616
23,1,0.16777979691891937
24,1,-0.31179842851204737
25,1,-0.8173291845853631
26,1,-0.2340222087875462
27,1,0.13261023754911558
28,1,-0.7233400064231232
29,1,-0.14855732846410333
30,1,0.15645315659373568
31,1,-0.2643940427513537
32,1,-0.42370997609273875
33,1,0.22067670424445573
34,1,0.11986813751895461
35,1,0.0
36,1,-0.30563086657008065
37,1,-0.312452534522871
38,1,-0.2935248874379547
39,1,0.16267092387049478
40,1,0.11668441813720233
41,1,-0.8033995174093812
42,1,-0.570974030405258
43,1,-0.008648817222572464
44,1,-0.31418524064833975
45,1,-0.35987297852263206
46,1,0.11451220181454633
47,1,0.14337381135286786
48,1,-0.01572160487071953
49,1,0.011967717870898035
50,1,0.14968310451039699
51,1,-0.5454872549797728
52,1,0.006957440355347926
53,1,-0.2058786701246623
54,1,-0.1634780036136621
55,1,-0.18715073626164647
56,1,-0.030651975685795786
57,1,-0.6942739898700689
58,1,-0.3602764355289161
59,1,0.07034584354422373
60,1,-0.3084579746852168
61,1,-0.2297419508153227
62,1,-0.1289096134667761
63,1,-0.22500800684076064
0,2,0.0690977074774927
1,2,0.2771465295300645
2,2,-0.0024090398262680375
3,2,-0.2511642505109076
4,2,0.0
5,2,0.4376775995578466
6,2,-0.2759325719008883
7,2,0.11288945802385308
8,2,-0.25722121248910057
9,2,-0.19725003599176527
10,2,0.17351464475528655
11,2,0.14622982262781098
12,2,0.2787576340295332
13,2,0.04293435130167128
14,2,0.2648424233404854
15,2,0.37180103108907997
16,2,-0.3202379983450595
17,2,0.21164961118026948
18,2,0.24658716576323464
19,2,0.07493277765304086
20,2,0.1627262307607852
21,2,0.026461575390071677
22,2,0.37078084265664585
23,2,-0.46614318908804053
24,2,0.2853435052664217
25,2,-0.07402810432989883
26,2,-0.18512799158371787
27,2,-0.4291089413960603
28,2,0.01101127273956983
29,2,0.40237254986439347
30,2,-0.44050492865900776
31,2,-0.16143664610397968
32,2,-0.19647583256811593
33,2,0.10469946723489726
34,2,-0.24228986710620617
35,2,0.0
36,2,0.4468347856877238
37,2,-0.1384610296117541
