age,tenth,ninetyeth,baseline
54.6,1.0,1.0,1.0
55.1,1.0,1.0,1.0
55.2,1.0,1.0,1.0
55.3,1.0,1.0,1.0
55.4,1.0,1.0,1.0
55.5,1.0,1.0,1.0
55.6,1.0,1.0,1.0
55.8,1.0,1.0,1.0
55.9,1.0,1.0,1.0
56.0,1.0,1.0,1.0
56.2,0.9999237079910532,0.9999492930906426,0.9999372328368014
56.3,0.9999237079910532,0.9999492930906426,0.9999372328368014
56.4,0.9998473755464387,0.9998985580075015,0.9998744315565747
56.5,0.9998473755464387,0.9998985580075015,0.9998744315565747
56.6,0.9998473755464387,0.9998985580075015,0.9998744315565747
56.7,0.9998473755464387,0.9998985580075015,0.9998744315565747
56.8,0.9997655175903972,0.999844148897343,0.9998070833069675
56.9,0.9997655175903972,0.999844148897343,0.9998070833069675
57.0,0.9997655175903972,0.999844148897343,0.9998070833069675
57.1,0.9996772429030598,0.9997854730584336,0.9997344546262162
57.3,0.9996772429030598,0.9997854730584336,0.9997344546262162
57.4,0.9995885972584403,0.9997265488970573,0.9996615195933336
57.5,0.9995885972584403,0.9997265488970573,0.9996615195933336
57.6,0.9995885972584403,0.9997265488970573,0.9996615195933336
57.7,0.9995885972584403,0.9997265488970573,0.9996615195933336
57.8,0.9993922599802539,0.9995960341648121,0.9994999749646319
57.9,0.9991951024685687,0.9994649655311283,0.9993377497930914
58.0,0.9991951024685687,0.9994649655311283,0.9993377497930914
58.1,0.9990964155855797,0.9993993560750968,0.9992565461070212
58.2,0.9990964155855797,0.9993993560750968,0.9992565461070212
58.3,0.9986029521776818,0.9990712569090847,0.9988504824845066
58.4,0.9986029521776818,0.9990712569090847,0.9988504824845066
58.5,0.9986029521776818,0.9990712569090847,0.9988504824845066
58.6,0.9986029521776818,0.9990712569090847,0.9988504824845066
58.7,0.9986029521776818,0.9990712569090847,0.9988504824845066
58.8,0.9983963016715974,0.9989338407843154,0.9986804223214615
58.9,0.9983963016715974,0.9989338407843154,0.9986804223214615
59.0,0.9983963016715974,0.9989338407843154,0.9986804223214615
59.1,0.99829218245426,0.9988646011468004,0.9985947364939836
59.2,0.9981880545852346,0.9987953533336899,0.998509041961968
59.3,0.9977195512874912,0.9984837561551301,0.9981234563055073
59.4,0.9977195512874912,0.9984837561551301,0.9981234563055073
59.5,0.9977195512874912,0.9984837561551301,0.9981234563055073
59.6,0.9977195512874912,0.9984837561551301,0.9981234563055073
59.7,0.9976137895483995,0.9984134082193971,0.9980364082736358
59.8,0.9975079829260072,0.9983430279265493,0.9979493216631207
59.9,0.9975079829260072,0.9983430279265493,0.9979493216631207
60.0,0.9975079829260072,0.9983430279265493,0.9979493216631207
60.1,0.9974018998242612,0.998272461212097,0.9978620058457531
60.2,0.9974018998242612,0.998272461212097,0.9978620058457531
60.3,0.9972426921787102,0.998166551209698,0.997730960719472
60.4,0.9972426921787102,0.998166551209698,0.997730960719472
60.5,0.9971361169550074,0.998095650804134,0.9976432357013546
60.6,0.9971361169550074,0.998095650804134,0.9976432357013546
60.7,0.9970295047558775,0.9980247232574895,0.9975554785846243
60.8,0.9969228775520008,0.9979537831843156,0.9974677074528735
60.9,0.996709260483439,0.9978116541004366,0.9972918616546558
61.0,0.996709260483439,0.9978116541004366,0.9972918616546558
61.1,0.996709260483439,0.9978116541004366,0.9972918616546558
61.2,0.9964414835655886,0.9976334755926193,0.9970714229875292
61.3,0.9964414835655886,0.9976334755926193,0.9970714229875292
61.4,0.9962259501924419,0.9974900482254351,0.9968939844964617
61.5,0.9962259501924419,0.9974900482254351,0.9968939844964617
61.6,0.9962259501924419,0.9974900482254351,0.9968939844964617
61.7,0.9962259501924419,0.9974900482254351,0.9968939844964617
61.8,0.9962259501924419,0.9974900482254351,0.9968939844964617
61.9,0.995900549259399,0.9972734894244624,0.9966260843151937
62.0,0.995900549259399,0.9972734894244624,0.9966260843151937
