x,patient,control
-20.0,4.678002206503681e-46,5.0245800526910006e-30
-19.798994974874372,8.045385970460195e-45,4.842853322369737e-29
-19.597989949748744,1.3288824074188966e-43,4.482875919705053e-28
-19.396984924623116,2.1080428303357866e-42,3.985346793028198e-27
-19.195979899497488,3.211630130661479e-41,3.402747203631839e-26
-18.99497487437186,4.699209826741451e-40,2.790278972724269e-25
-18.79396984924623,6.603548598232055e-39,2.1974560082503544e-24
-18.592964824120603,8.912163703099242e-38,1.6620637507092024e-23
-18.391959798994975,1.1551600974122829e-36,1.2073424130124063e-22
-18.190954773869347,1.4379853510650198e-35,8.42304212175383e-22
-17.98994974874372,1.7191747386575973e-34,5.64369794213364e-21
-17.78894472361809,1.9739624024449687e-33,3.631746091867926e-20
-17.587939698492463,2.1767625311536828e-32,2.244527406830788e-19
-17.386934673366834,2.305348475140382e-31,1.3322723870420879e-18
-17.185929648241206,2.3448523551051234e-30,7.594881198202459e-18
-16.984924623115578,2.29059263913021e-29,4.158246214660453e-17
-16.78391959798995,2.148986646394658e-28,2.1865649903536008e-16
-16.582914572864322,1.9363022218246083e-27,1.1042810904005653e-15
-16.381909547738694,1.675584107341675e-26,5.356294712197719e-15
-16.180904522613066,1.392557368330369e-25,2.4952838042563685e-14
-15.979899497487438,1.1115112756585971e-24,1.116477084779051e-13
-15.77889447236181,8.520571735946898e-24,4.797981757257697e-13
-15.577889447236181,6.273037789961286e-23,1.980394847080587e-12
-15.376884422110553,4.435490354444444e-22,7.851200871396203e-12
-15.175879396984925,3.0120368017149865e-21,2.9896450359799004e-11
-14.974874371859297,1.964419417174745e-20,1.093483635277015e-10
-14.773869346733669,1.230450030558567e-19,3.841723385991805e-10
-14.57286432160804,7.40201899415338e-19,1.2965093535981243e-09
-14.371859296482413,4.276550885228771e-18,4.203187390629708e-09
-14.170854271356784,2.3729866838323288e-17,1.3090523134014601e-08
-13.969849246231156,1.264609312577536e-16,3.9168477227124566e-08
-13.768844221105528,6.47259402841189e-16,1.1260294719575226e-07
-13.5678391959799,3.181728680230383e-15,3.11053457998527e-07
-13.366834170854272,1.5021490031243652e-14,8.257330284867257e-07
-13.165829145728644,6.811313299027535e-14,2.106787896126406e-06
-12.964824120603016,2.9663353220930725e-13,5.167111135799472e-06
-12.763819095477388,1.2407537872410681e-12,1.2184408154177303e-05
-12.56281407035176,4.984624727040718e-12,2.7630699759272535e-05
-12.361809045226131,1.9233913772956233e-11,6.027425843011315e-05
-12.160804020100503,7.12852549886866e-11,0.000126523258261073
-11.959798994974873,2.5376934674219035e-10,0.0002556710229065269
-11.758793969849245,8.677590467978175e-10,0.0004975902306050964
-11.557788944723617,2.8503353932477715e-09,0.0009332209687104757
-11.356783919597989,8.993936769751951e-09,0.0016877297170977137
-11.15577889447236,2.7263764902033208e-08,0.0029454639493221844
-10.954773869346733,7.940266054960184e-08,0.004964870400420081
-10.753768844221105,2.221958877248464e-07,0.008090575945259158
-10.552763819095476,5.974978454066009e-07,0.012759104560993372
-10.351758793969848,1.5441690652799604e-06,0.01949443752265653
-10.15075376884422,3.8360477556052575e-06,0.028889880113807852
-9.949748743718592,9.162054882224856e-06,0.04157336049149841
-9.748743718592964,2.104411207039729e-05,0.058154190791770394
-9.547738693467336,4.649756791096448e-05,0.07915052089260124
-9.346733668341708,9.886743075330698e-05,0.10489870988143637
-9.14572864321608,0.00020239242282491757,0.13544949502564618
-8.944723618090451,0.0003991038143930822,0.17046182937350607
-8.743718592964823,0.000758583545734012,0.20911316622076362
-8.542713567839195,0.0013908124166552539,0.2500525233060516
-8.341708542713567,0.002461792855462509,0.29142583992202176
-8.140703517587939,0.0042108563607412205,0.3309975266534885
-7.939698492462311,0.006967662901889108,0.36637521847345944
-7.738693467336683,0.011166010369942582,0.3953182912918065
-7.537688442211055,0.017350813364525465,0.41608140200230925
-7.3366834170854265,0.0261740256230543,0.42772232154894935
-7.135678391959798,0.03837489229035909,0.4302985865781286
-6.93467336683417,0.05473992608808365,0.42489536149893675
-6.733668341708542,0.07603903208076553,0.4134651205663731
-6.532663316582914,0.10293736491106005,0.398508244264247
-6.331658291457286,0.13588891313690454,0.3826674355549619
-6.130653266331658,0.17502753661606898,0.368333319860046
-5.92964824120603,0.22008197887590839,0.3573546366604255
-5.7286432160804015,0.2703481379539119,0.3509142158843392
-5.527638190954773,0.32474794483914815,0.34958128214849477
-5.326633165829145,0.3819847262043873,0.35349800889658517
-5.125628140703517,0.44077120457796726,0.3626211288359327
-4.924623115577889,0.5000684047046097,0.3769299641006937
-4.723618090452261,0.5592489133658325,0.3965327111684639
-4.522613065326633,0.6181036230302508,0.421644587425028
-4.321608040201005,0.6766550917307133,0.4524584174981817
-4.1206030150753765,0.7348135094760657,0.48896325438530674
-3.9195979899497466,0.7919861673885863,0.5307782891992097
-3.7185929648241185,0.8467938132930032,0.5770561695704037
-3.5175879396984904,0.8970314041395137,0.6264802975865978
-3.3165829145728623,0.9399339522480636,0.6773485850138387
-3.115577889447234,0.9726962059704384,0.7277144681427312
-2.914572864321606,0.9930929991510884,0.7755512012871427
-2.713567839195978,1.0,0.8189152286484663
-2.5125628140703498,0.9936452927075803,0.8560995400664263
-2.3115577889447216,0.9755200697534503,0.8857773763918069
-2.1105527638190935,0.9480012726680588,0.9071337959211523
-1.9095477386934654,0.9138382519448988,0.9199689933300434
-1.7085427135678373,0.875689307281756,0.9247422637699186
-1.5075376884422091,0.8358516496481411,0.9225214932231829
-1.306532663316581,0.7962321105444004,0.9148182536454835
-1.105527638190953,0.7584994077355657,0.9033214409854363
-0.9045226130653248,0.724286791857372,0.8895808592061479
-0.7035175879396967,0.6953034593086288,0.8747187715980289
-0.5025125628140685,0.673263721386611,0.8592480241579423
-0.3015075376884404,0.6596293547230343,0.8430466249080789
-0.10050251256281229,0.6552455612358606,0.8254906499799154
0.10050251256281584,0.660001286848163,0.8056989261769485
0.30150753768844396,0.6726435656505938,0.7828129496994285
0.5025125628140721,0.6908273399534214,0.7562340553212522
0.7035175879397002,0.7114078925668738,0.7257643706414795
0.9045226130653283,0.7309104099484383,0.6916357545431009
1.1055276381909565,0.7460638107091957,0.654445689292109
1.3065326633165846,0.754275522669465,0.6150392581976355
1.5075376884422127,0.7539484074828375,0.5743787408856995
1.7085427135678408,0.744588338708688,0.5334317737161939
1.909547738693469,0.726704807915211,0.49309388752614386
2.110552763819097,0.7015528459634452,0.4541486033263591
2.311557788944725,0.6707930407504895,0.41726078520658066
2.5125628140703533,0.6361537815290264,0.3829950514780813
2.7135678391959814,0.5991671815846894,0.351847651538322
2.9145728643216096,0.5610222243452848,0.3242759405919481
3.1155778894472377,0.5225431128380262,0.3007063408243868
3.316582914572866,0.4842668698384051,0.2815036438474975
3.517587939698494,0.4465711004597108,0.26689501743058014
3.718592964824122,0.4097968456851931,0.2568603484718049
3.91959798994975,0.3743236115112766,0.2510204875086313
4.120603015075378,0.34057862307732767,0.24856720887950623
4.321608040201006,0.3089901424813217,0.2482752828821807
4.5226130653266345,0.279914621005621,0.248616111289426
4.723618090452263,0.25357268602186606,0.24796022093953765
4.924623115577891,0.23001934817051992,0.24482485882656047
5.125628140703519,0.2091556011001431,0.2381057395654363
5.326633165829147,0.19077103996376585,0.2272357640988192
5.527638190954775,0.1745978763207298,0.21223637007130555
5.728643216080403,0.1603582611796398,0.1936593837873393
5.929648241206031,0.1477958849080391,0.1724462005375372
6.1306532663316595,0.13669284726222525,0.14974715300044297
6.331658291457288,0.12687791445854352,0.12674406770032076
6.532663316582916,0.11823055885287888,0.10450702531018789
6.733668341708544,0.11067932798487258,0.08389964013005666
6.934673366834172,0.10418845540641804,0.06553272231587033
7.1356783919598,0.09872766353155538,0.04975768341745764
7.336683417085428,0.09422750622406915,0.0366884512254909
7.537688442211056,0.09053268427249296,0.026241640234476647
7.7386934673366845,0.08737253339017075,0.018186692189260462
7.939698492462313,0.08436644228204866,0.012199196631859827
8.14070351758794,0.08107144166667332,0.007911512798468192
8.341708542713569,0.0770635018063323,0.004955752118995919
8.542713567839197,0.07202999557532967,0.002995675534869418
8.743718592964825,0.065844687803477,0.0017461204997223365
8.944723618090453,0.05860131781235996,0.000980736870245264
9.145728643216081,0.05059538208743856,0.0005304902074310718
9.34673366834171,0.04226046483081711,0.00027620775781221515
9.547738693467338,0.03407886138230087,0.00013837255366493597
9.748743718592966,0.026491736454479158,6.667635983866258e-05
9.949748743718594,0.01983074452889392,3.089440292081119e-05
10.150753768844222,0.014283470152028443,1.3761752140760135e-05
10.35175879396985,0.009893612915579707,5.89212436272628e-06
10.552763819095478,0.006587686690350378,2.4244190691906197e-06
10.753768844221106,0.004215489991624426,9.585767879399544e-07
10.954773869346734,0.002591886281460309,3.641544139030119e-07
11.155778894472363,0.0015310071765641448,1.3290706196937293e-07
11.35678391959799,0.0008687407360185184,4.659995388989731e-08
11.557788944723619,0.0004735060177675305,1.5695477003943804e-08
11.758793969849247,0.0002478920389477053,5.078041851573222e-09
11.959798994974875,0.00012464847003450786,1.578103561080553e-09
12.160804020100507,6.019888719304208e-05,4.710639418060913e-10
12.361809045226131,2.7922865222008444e-05,1.3505771601902466e-10
12.562814070351763,1.2439315839454863e-05,3.719170342204486e-11
12.763819095477388,5.322240447614391e-06,9.836789262998602e-12
12.96482412060302,2.1870136814594497e-06,2.498826141679237e-12
13.165829145728644,8.631092825814224e-07,6.096630094110865e-13
13.366834170854275,3.271418733882189e-07,1.4286023230200672e-13
13.5678391959799,1.1908626984584943e-07,3.2151244488576266e-14
13.768844221105532,4.163339761268531e-08,6.949393640624388e-15
13.969849246231156,1.3979003106711628e-08,1.4426364925208387e-15
14.170854271356788,4.507797908792203e-09,2.8762479800015606e-16
14.371859296482413,1.3960673021098907e-09,5.507493156349973e-17
14.572864321608044,4.1524251089379587e-10,1.0128354035836352e-17
14.773869346733669,1.1861802657031576e-10,1.7888761486301675e-18
14.9748743718593,3.254265195591725e-11,3.034432898926503e-19
15.175879396984925,8.574493961958995e-12,4.9434501580320444e-20
15.376884422110557,2.16978814112716e-12,7.734597649881665e-21
15.577889447236181,5.273262778118887e-13,1.1622509411009044e-21
15.778894472361813,1.2308205217397071e-13,1.6773219456806545e-22
15.979899497487438,2.7590734621924703e-14,2.3248079206471098e-23
16.18090452261307,5.93998038643772e-15,3.0946509525387826e-24
