size,finetune_loss_mean,finetune_loss_sem,finetune_epochs_mean,finetune_epochs_sem
100,0.584,0.015,47.174,3.1
450,0.638,0.019,43.783,3.901
800,0.666,0.017,35.045,3.294
1150,0.633,0.019,37.053,2.205
1500,0.653,0.022,34.2,2.707
