age,controls,patients
0.0,3.811237517808402e-80,1.7703800835212185e-80
0.5,4.215473459659016e-76,1.9978953031454453e-76
1.0,3.640336529571702e-72,1.7603286875596736e-72
1.5,2.4544350154484168e-68,1.2109595521462998e-68
2.0,1.2920412295541079e-64,6.503997085990013e-65
2.5,5.310263072687395e-61,2.7273813643031537e-61
3.0,1.7040036908878528e-57,8.929481245131122e-58
3.5,4.2691346764890784e-54,2.282555889229696e-54
4.0,8.350721691075402e-51,4.5554516442890525e-51
4.5,1.275331229413728e-47,7.098331735060943e-48
5.0,1.5206764114329608e-44,8.635668707023853e-45
5.5,1.4156811663220847e-41,8.202580183521157e-42
6.0,1.0289847309636007e-38,6.083028156991243e-39
6.5,5.839386719555852e-36,3.522118799623186e-36
7.0,2.587261811782098e-33,1.5922197518327818e-33
7.5,8.950109626820267e-31,5.619748106175421e-31
8.0,2.4173034579602035e-28,1.5486223886323413e-28
8.5,5.097401533210292e-26,3.331877841850454e-26
9.0,8.392307602038041e-24,5.596899153361833e-24
9.5,1.0787700081264802e-21,7.340418338494514e-22
10.0,1.0826581390968829e-19,7.516387226377454e-20
10.5,8.483381831411014e-18,6.009144597489257e-18
11.0,5.189938626431558e-16,3.750867070423147e-16
11.5,2.478972208665716e-14,1.827960740452767e-14
12.0,9.244824839697732e-13,6.955358739528303e-13
12.5,2.691819939404192e-11,2.066294721076266e-11
13.0,6.119542308790204e-10,4.792809346043475e-10
13.5,1.0862455739146421e-08,8.680070515315873e-09
14.0,1.5055460037291218e-07,1.2274714894868893e-07
14.5,1.6295137495524616e-06,1.3554821255537182e-06
15.0,1.3775299485227387e-05,1.1690891354240114e-05
15.5,9.09877377624665e-05,7.87816447337611e-05
16.0,0.0004699135037671478,0.00041507367663648134
16.5,0.001900303144174764,0.001712119246905368
17.0,0.006033918215040777,0.005543586166309638
17.5,0.015123872677975988,0.01416054180748401
18.0,0.030226814465339803,0.028805732959236916
18.5,0.049071895552907994,0.047449923504354424
19.0,0.06686550471364275,0.06503728853694024
19.5,0.08079625821569592,0.07708571439368349
20.0,0.09410613793593835,0.08259339716917907
20.5,0.1157486095553776,0.08325063553993718
21.0,0.15448682603461394,0.08110558607635902
21.5,0.20853984099833517,0.07740692099659681
22.0,0.25967234832610137,0.07402778826511965
22.5,0.2836722474500357,0.07756332836473531
23.0,0.2710078015435523,0.10041363224604123
23.5,0.23541047385876732,0.1524318798976832
24.0,0.20244805968039903,0.22952615254265826
24.5,0.19249190983279768,0.31373714937742503
25.0,0.21289955238397618,0.3864192204695409
25.5,0.2616163799382333,0.44025784270190993
26.0,0.3355735321921915,0.4798076669934808
26.5,0.43354619321725935,0.5136302840429847
27.0,0.547891638558614,0.546567552347191
27.5,0.6552206807330432,0.5800148411179634
28.0,0.7238853658018228,0.6191890659901128
28.5,0.7371047211710088,0.6728898000572812
29.0,0.7054130130127952,0.7383251055476479
29.5,0.6527320883444223,0.7898900169239561
30.0,0.5970399545856959,0.795864824226697
30.5,0.5497177103911223,0.7536497147146621
31.0,0.5224767928836932,0.7020575539865661
31.5,0.521859785716518,0.6890156417373716
32.0,0.5409435224739767,0.728310760327465
32.5,0.5652050849182307,0.7936057689316036
33.0,0.5841940663335933,0.84961433894684
33.5,0.5956260377471794,0.8803239826024507
34.0,0.6033292093589847,0.890865078761494
34.5,0.6102935265662187,0.8912185922171797
35.0,0.6122991878101983,0.8797656475131806
35.5,0.6077527840811018,0.8446854058615513
36.0,0.6123655521030976,0.7849012971564507
36.5,0.6445784879126415,0.7211532447517253
37.0,0.694262273393957,0.6752890533612809
37.5,0.7248576954497156,0.6455493155085649
38.0,0.7086935669844014,0.6158396482608696
38.5,0.6468868723090206,0.586501750573741
39.0,0.558467123154026,0.583002087393773
39.5,0.4662600800551677,0.6296649232169208
40.0,0.3943552107111841,0.7194913330673539
40.5,0.365187967649455,0.8143513911207348
41.0,0.38894438910545703,0.8750866342124295
41.5,0.45600556896017347,0.8912835170346052
42.0,0.5426825564340519,0.8839490287460865
42.5,0.6246212797478361,0.8804132319866607
43.0,0.686753432177714,0.8874003651337435
43.5,0.7288674619010884,0.8930710768425426
44.0,0.7659747597502847,0.8957303382967114
44.5,0.8129158603070535,0.9153426122502978
45.0,0.8609329309043381,0.960996216112098
45.5,0.8809101838804302,1.0
46.0,0.8586116623775305,0.9858146385054647
46.5,0.815433800160268,0.9110353413383588
47.0,0.7863893016892729,0.8093335112605928
47.5,0.7873213087425965,0.7147323776117227
48.0,0.8085393508606875,0.6441463643439524
48.5,0.8302502210154177,0.6105898154750098
49.0,0.8388798692279416,0.6246686597198368
49.5,0.8341893403511802,0.6781269209682025
50.0,0.8225444667197599,0.7408083429655327
50.5,0.8031039839780687,0.7820161225775786
51.0,0.7670500050447167,0.7923577201589651
51.5,0.7127822502248031,0.7806990978315668
52.0,0.6559044701665222,0.7531802994953786
52.5,0.6223202728855557,0.7061504055735166
53.0,0.6309587998187681,0.641296696518783
53.5,0.6749506777204952,0.5728566718467999
54.0,0.7163360800168356,0.5111823221701901
54.5,0.7100234315205455,0.45040990987608975
55.0,0.6416808661684975,0.3829699743927714
55.5,0.5398976791015091,0.3194192886624727
56.0,0.4495184882070511,0.28272438655238014
