key,accuracy,auc,size,threshold
baseline,0.5036363636363637,0.5002247933884297,550,"0.473,0.48"
delta,0.6745454545454546,0.7199471074380165,550,"0.28,0.629"
features,0.7363636363636363,0.7971173553719008,550,"0.218,0.691"
nn,0.7381818181818182,0.8082247933884297,550,"0.229,0.705"
