age,tenth,ninetyeth,baseline
54.6,1.0,1.0,1.0
55.1,1.0,1.0,1.0
55.2,1.0,1.0,1.0
55.3,1.0,1.0,1.0
55.4,1.0,1.0,1.0
55.5,1.0,1.0,1.0
55.6,1.0,1.0,1.0
55.8,1.0,1.0,1.0
55.9,1.0,1.0,1.0
56.0,1.0,1.0,1.0
56.2,0.9999494039655609,0.9998841570397113,0.9999372328368014
56.3,0.9999494039655609,0.9998841570397113,0.9999372328368014
56.4,0.9998987798133274,0.9997682572671498,0.9998744315565747
56.5,0.9998987798133274,0.9997682572671498,0.9998744315565747
56.6,0.9998987798133274,0.9997682572671498,0.9998744315565747
56.7,0.9998987798133274,0.9997682572671498,0.9998744315565747
56.8,0.999844489660997,0.9996439729023392,0.9998070833069675
56.9,0.999844489660997,0.9996439729023392,0.9998070833069675
57.0,0.999844489660997,0.9996439729023392,0.9998070833069675
57.1,0.9997859421012752,0.9995099519712228,0.9997344546262162
57.3,0.9997859421012752,0.9995099519712228,0.9997344546262162
57.4,0.9997271467544167,0.9993753740172099,0.9996615195933336
57.5,0.9997271467544167,0.9993753740172099,0.9996615195933336
57.6,0.9997271467544167,0.9993753740172099,0.9996615195933336
57.7,0.9997271467544167,0.9993753740172099,0.9996615195933336
57.8,0.999596917314352,0.9990773253475153,0.9994999749646319
57.9,0.9994661351462037,0.9987780620729179,0.9993377497930914
58.0,0.9994661351462037,0.9987780620729179,0.9993377497930914
58.1,0.9994006690730807,0.9986282778068413,0.9992565461070212
58.2,0.9994006690730807,0.9986282778068413,0.9992565461070212
58.3,0.9990732867939843,0.9978794275453526,0.9988504824845066
58.4,0.9990732867939843,0.9978794275453526,0.9988504824845066
58.5,0.9990732867939843,0.9978794275453526,0.9988504824845066
58.6,0.9990732867939843,0.9978794275453526,0.9988504824845066
58.7,0.9990732867939843,0.9978794275453526,0.9988504824845066
58.8,0.9989361708495126,0.9975658842030755,0.9986804223214615
58.9,0.9989361708495126,0.9975658842030755,0.9986804223214615
59.0,0.9989361708495126,0.9975658842030755,0.9986804223214615
59.1,0.9988670824477258,0.997407920624509,0.9985947364939836
59.2,0.9987979858777271,0.997249952462424,0.998509041961968
59.3,0.9984870691242717,0.996539310830022,0.9981234563055073
59.4,0.9984870691242717,0.996539310830022,0.9981234563055073
59.5,0.9984870691242717,0.996539310830022,0.9981234563055073
59.6,0.9984870691242717,0.996539310830022,0.9981234563055073
59.7,0.9984168747757917,0.9963789117818019,0.9980364082736358
59.8,0.9983466481300185,0.9962184534845889,0.9979493216631207
59.9,0.9983466481300185,0.9962184534845889,0.9979493216631207
60.0,0.9983466481300185,0.9962184534845889,0.9979493216631207
60.1,0.9982762354587489,0.9960575847580571,0.9978620058457531
60.2,0.9982762354587489,0.9960575847580571,0.9978620058457531
60.3,0.9981705566315233,0.9958161724602568,0.997730960719472
60.4,0.9981705566315233,0.9958161724602568,0.997730960719472
60.5,0.9980998109701963,0.9956545797671357,0.9976432357013546
60.6,0.9980998109701963,0.9956545797671357,0.9976432357013546
60.7,0.9980290382160304,0.9954929399693214,0.9975554785846243
60.8,0.9979582529516722,0.9953312863846157,0.9974677074528735
60.9,0.9978164339955622,0.995007456366036,0.9972918616546558
61.0,0.9978164339955622,0.995007456366036,0.9972918616546558
61.1,0.9978164339955622,0.995007456366036,0.9972918616546558
61.2,0.9976386442134926,0.9946015742484019,0.9970714229875292
61.3,0.9976386442134926,0.9946015742484019,0.9970714229875292
61.4,0.9974955297062815,0.9942749212110212,0.9968939844964617
61.5,0.9974955297062815,0.9942749212110212,0.9968939844964617
61.6,0.9974955297062815,0.9942749212110212,0.9968939844964617
61.7,0.9974955297062815,0.9942749212110212,0.9968939844964617
61.8,0.9974955297062815,0.9942749212110212,0.9968939844964617
61.9,0.9972794432025619,0.9937818270743258,0.9966260843151937
62.0,0.9972794432025619,0.9937818270743258,0.9966260843151937
