size,freeze_loss_mean,freeze_loss_sem,freeze_epochs_mean,freeze_epochs_sem,finetune_loss_mean,finetune_loss_sem,finetune_epochs_mean,finetune_epochs_sem,none_loss_mean,none_loss_sem,none_epochs_mean,none_epochs_sem
100,0.764,0.018,46.833,2.959,0.869,0.016,44.429,5.055,0.718,0.028,55.963,3.665
200,0.787,0.017,43.038,4.437,0.901,0.01,35.815,3.58,0.793,0.02,57.04,3.971
300,0.825,0.012,40.808,4.162,0.925,0.008,45.381,4.641,0.879,0.016,51.118,6.665
400,0.837,0.007,32.957,3.552,0.931,0.009,47.471,3.261,0.908,0.011,58.538,6.989
500,0.841,0.013,29.933,4.441,0.95,0.006,41.062,4.355,0.921,0.012,52.643,6.349
