Year,Count
2024,7358
2023,5476
2022,5094
2021,5555
2020,4847
2019,4342
2018,3758
2017,3284
2016,3066
2015,2861
2014,2558
2013,1851
2012,1594
2011,1509
2010,1529
2009,1517
2008,1293
2007,1353
2006,1212
2005,1213
2004,1146
2003,1057
2002,970
2001,917
2000,758
1999,709
1998,611
1997,518
1996,488
1995,500
1994,518
1993,390
1992,289
1991,232
1990,216
