fpr,tpr
0.0,0.0
0.020833333333333332,0.03125
0.03125,0.03125
0.03125,0.041666666666666664
0.041666666666666664,0.041666666666666664
0.041666666666666664,0.052083333333333336
0.052083333333333336,0.052083333333333336
0.052083333333333336,0.08333333333333333
0.0625,0.08333333333333333
0.0625,0.11458333333333333
0.07291666666666667,0.11458333333333333
0.07291666666666667,0.14583333333333334
0.08333333333333333,0.14583333333333334
0.08333333333333333,0.17708333333333334
0.09375,0.17708333333333334
0.09375,0.1875
0.10416666666666667,0.1875
0.10416666666666667,0.19791666666666666
0.13541666666666666,0.19791666666666666
0.13541666666666666,0.3125
0.19791666666666666,0.3125
0.19791666666666666,0.3229166666666667
0.22916666666666666,0.3229166666666667
0.22916666666666666,0.3333333333333333
0.23958333333333334,0.3333333333333333
0.23958333333333334,0.3645833333333333
0.2604166666666667,0.3645833333333333
0.2604166666666667,0.375
0.2708333333333333,0.375
0.2708333333333333,0.4270833333333333
0.3020833333333333,0.4270833333333333
0.3020833333333333,0.4375
0.3125,0.4375
0.3125,0.46875
0.3229166666666667,0.46875
0.3229166666666667,0.4895833333333333
0.3333333333333333,0.4895833333333333
0.3333333333333333,0.53125
0.34375,0.53125
0.34375,0.5625
0.375,0.5625
0.375,0.59375
0.3854166666666667,0.59375
0.3854166666666667,0.6354166666666666
0.40625,0.6354166666666666
0.40625,0.6458333333333334
0.4479166666666667,0.6458333333333334
0.4479166666666667,0.6770833333333334
0.4583333333333333,0.6770833333333334
0.4583333333333333,0.6875
0.4895833333333333,0.6875
0.4895833333333333,0.7083333333333334
0.5104166666666666,0.7083333333333334
0.5104166666666666,0.71875
0.5416666666666666,0.71875
0.5416666666666666,0.7291666666666666
0.5625,0.7291666666666666
0.5625,0.7395833333333334
0.6041666666666666,0.7395833333333334
0.6041666666666666,0.75
0.65625,0.75
0.65625,0.7708333333333334
0.6666666666666666,0.7708333333333334
0.6666666666666666,0.78125
0.6875,0.78125
0.6875,0.7916666666666666
0.6979166666666666,0.7916666666666666
0.6979166666666666,0.8229166666666666
0.7083333333333334,0.8229166666666666
0.7083333333333334,0.8645833333333334
0.7291666666666666,0.8645833333333334
0.7291666666666666,0.875
0.7604166666666666,0.875
0.7604166666666666,0.8854166666666666
0.7916666666666666,0.8854166666666666
0.7916666666666666,0.90625
0.8229166666666666,0.90625
0.8229166666666666,0.9479166666666666
0.8854166666666666,0.9479166666666666
0.8854166666666666,0.9583333333333334
0.8958333333333334,0.9583333333333334
0.8958333333333334,0.96875
0.96875,0.96875
0.96875,0.9895833333333334
0.9895833333333334,0.9895833333333334
0.9895833333333334,1.0
1.0,1.0
