x,multi-finetuned,multi-frozen,baseline,multi-transferred
0.1271429138709904,1.0483867046839401e-20,1.315886840602589e-15,8.011528486318923e-19,1.3094215600335421e-14
0.13039793803342217,3.087339669013016e-20,3.4834256930041644e-15,1.395311650808066e-18,2.545417003381915e-14
0.13365296219585393,8.967496190601705e-20,9.080084550945218e-15,2.4202017718190483e-18,4.9097029142491e-14
0.13690798635828572,2.5691081466340955e-19,2.330604438473349e-14,4.180771701616284e-18,9.396564831597877e-14
0.1401630105207175,7.259697608355079e-19,5.890370070407178e-14,7.192599287300378e-18,1.7844381774388845e-13
0.1434180346831493,2.023393005579422e-18,1.465925593961585e-13,1.2323663297678662e-17,3.36243045728942e-13
0.14667305884558104,5.5624764564021116e-18,3.592333175579048e-13,2.1028986403582936e-17,6.286740197282415e-13
0.14992808300801283,1.5082838158411766e-17,8.66835374470022e-13,3.5737274364469336e-17,1.1663238739783898e-12
0.15318310717044462,4.033905092880564e-17,2.0596431339217864e-12,6.048519652993285e-17,2.1470165474752726e-12
0.15643813133287637,1.0641352840210081e-16,4.818841773918949e-12,1.0195331793464399e-16,3.9217092550614825e-12
0.15969315549530816,2.76883762032763e-16,1.110167963659643e-11,1.7115052871013746e-16,7.107886001384427e-12
0.16294817965773994,7.106055570211266e-16,2.518430969214888e-11,2.8614077966551357e-16,1.2782975198685455e-11
0.16620320382017173,1.7988347073552444e-15,5.6255727956113193e-11,4.76437475456772e-16,2.2811368373921475e-11
0.1694582279826035,4.491450683205703e-15,1.2373677263683116e-10,7.900539333660554e-16,4.03924501247984e-11
0.17271325214503527,1.1061550429676197e-14,2.6799467124127606e-10,1.3047648572465197e-15,7.097088203248212e-11
0.17596827630746706,2.6870809342902667e-14,5.715429515323732e-10,2.146013599984973e-15,1.2373516684189423e-10
0.17922330046989882,6.438465502847634e-14,1.2002367765580668e-09,3.515259736081844e-15,2.1406267760854245e-10
0.1824783246323306,1.521677151492708e-13,2.481877438085953e-09,5.734652745915154e-15,3.6747320061163607e-10
0.1857333487947624,3.547341270575741e-13,5.053462879953205e-09,9.317118338541178e-15,6.259642072437934e-10
0.18898837295719417,8.156910050285498e-13,1.0131953336775945e-08,1.5075818759170758e-14,1.05807095158032e-09
0.19224339711962596,1.850089519101507e-12,2.0002885078482728e-08,2.4294336540214894e-14,1.7746963651966433e-09
0.19549842128205772,4.139105445932247e-12,3.8885480003203526e-08,3.899007317579762e-14,2.9537926099141935e-09
0.1987534454444895,9.13417726404093e-12,7.443508086842166e-08,6.23200743458924e-14,4.87849084111826e-09
0.20200846960692126,1.9883110590382655e-11,1.4030180371799866e-07,9.920345946485643e-14,7.995463220095217e-09
0.20526349376935304,4.2692753957822956e-11,2.604019619397891e-07,1.5727172596382466e-13,1.3003423657817273e-08
0.20851851793178483,9.042369360010936e-11,4.7590545398478025e-07,2.483130311142209e-13,2.0986077906299755e-08
0.21177354209421662,1.8891747435081625e-10,8.564313902183379e-07,3.9045720124437997e-13,3.3609970060610566e-08
0.2150285662566484,3.8933886174269074e-10,1.5176093036545926e-06,6.114662309737005e-13,5.341611602577704e-08
0.21828359041908016,7.915045305201898e-10,2.6480303037475403e-06,9.536668441098669e-13,8.424578319976149e-08
0.22153861458151194,1.5872808546200928e-09,4.5496874866540555e-06,1.4813105310191485e-12,1.318561468217639e-07
0.2247936387439437,3.140031591262942e-09,7.697256017245006e-06,2.291505030782092e-12,2.0480187179084758e-07
0.2280486629063755,6.1277319707102104e-09,1.282289797931202e-05,3.5303751702928437e-12,3.156851419338862e-07
0.23130368706880727,1.1796609109006658e-08,2.103451581765956e-05,5.416843788462589e-12,4.829106340467589e-07
0.23455871123123906,2.2403356098969573e-08,3.397622950115849e-05,8.277462855320411e-12,7.331248488631904e-07
0.23781373539367084,4.1973470693736626e-08,5.4039896696072635e-05,1.2597191247819564e-11,1.1045725084173363e-06
0.2410687595561026,7.758017566013782e-08,8.463518707276057e-05,1.9093073267155668e-11,1.6516677308515043e-06
0.2443237837185344,1.4146522325524564e-07,0.00013052242525302872,2.8820643674427505e-11,2.451155423835631e-06
0.24757880788096615,2.544963384059819e-07,0.00019820648353766984,4.3326870984922065e-11,3.610329293240485e-06
0.25083383204339793,4.5170734329734923e-07,0.0002963809067483886,6.48689528770155e-11,5.277876731022777e-06
0.2540888562058297,7.910218040138985e-07,0.0004363989631776193,9.672583028815808e-11,7.658036172907455e-06
0.2573438803682615,1.3667483927204237e-06,0.0006327327425591566,1.436395960469602e-10,1.1028876352703474e-05
0.26059890453069323,2.3300859522521285e-06,0.0009033638293114761,2.12437965815279e-10,1.5765634418581382e-05
0.2638539286931251,3.91971468429047e-06,0.0012700314793413102,3.1290785997433283e-10,2.2370174128472066e-05
0.2671089528555568,6.5065924878091384e-06,0.0017582496548981055,4.5901547477013513e-10,3.1507736900483445e-05
0.27036397701798864,1.0658317448550804e-05,0.002396996666583557,6.706020016466063e-10,4.405224544897034e-05
0.2736190011804204,1.7229821599068473e-05,0.003217985024057492,9.757289352012713e-10,6.114146780171338e-05
0.27687402534285216,2.7488644151704014e-05,0.00425443880338305,1.4139059145166058e-09,8.4243342420686e-05
0.28012904950528394,4.328445226378444e-05,0.005539344808640839,2.0405113071157344e-09,0.00011523468548193178
0.2833840736677157,6.727362325200902e-05,0.007103203411947909,2.932816285196146e-09,0.00015649333157622932
0.2866390978301475,0.0001032102925350416,0.008971383505370635,4.198153135261952e-09,0.00021100448307367775
0.28989412199257925,0.000156314964010955,0.011161277946184841,5.98493551549109e-09,0.0002824816483399921
0.2931491461550111,0.00023373019658503596,0.013679551547783005,8.497451422035739e-09,0.0003755020274640834
0.2964041703174428,0.00034506965433579604,0.016519859692837924,1.201561960568661e-08,0.0004956555562652694
0.2996591944798746,0.0005030616434773291,0.019661476235070974,1.692123991668119e-08,0.0006497060547807251
0.3029142186423064,0.0007242810121944431,0.023069288379404272,2.3732692500268018e-08,0.0008457620660701464
0.3061692428047382,0.001029954046531437,0.026695579863764158,3.315056711669387e-08,0.0010934540479997875
0.30942426696716996,0.0014468101457051309,0.03048392332382139,4.6117351595893705e-08,0.0014041136396676238
0.3126792911296017,0.002007942334886555,0.034375337149520006,6.389509924216958e-08,0.0017909498209287072
0.31593431529203353,0.0027536271378465027,0.03831663963432905,8.81659525295978e-08,0.0022692159815365836
0.31918933945446526,0.00373204431163656,0.04227067153105366,1.2116154985753617e-07,0.0028563612827721763
0.32244436361689705,0.0049998298835321,0.046227783358275314,1.658287094842666e-07,0.0035721592941224036
0.32569938777932883,0.006622393182006519,0.0502177276887248,2.2604039586409403e-07,0.004438806777064616
0.3289544119417606,0.008673931146560997,0.05432089275012262,3.068628527524527e-07,0.005480985708234769
0.3322094361041924,0.011237081605375888,0.058677692961465217,4.1489195550385244e-07,0.006725882203892516
0.33546446026662413,0.014402171167188641,0.06349491864669116,5.586743071739396e-07,0.008203156917590212
0.338719484429056,0.018266031846834365,0.06904795487810218,7.492313860534076e-07,0.009944862693050196
0.3419745085914877,0.022930381818592527,0.07567800931172444,1.000708140961025e-06,0.01198530669245608
0.3452295327539195,0.02849978764844208,0.08378382862453906,1.3311708041406348e-06,0.014360855785935843
0.3484845569163513,0.03507924587864772,0.09380780759509605,1.763582309027534e-06,0.017109685558336103
0.35173958107878306,0.04277143928395543,0.10621686804636285,2.3269874958176117e-06,0.020271474730652342
0.35499460524121484,0.05167373674971708,0.12147896317718838,3.057944166397148e-06,0.02388704797449458
0.3582496294036466,0.06187501596494604,0.1400364989262446,4.002239881991374e-06,0.027997970906150915
0.3615046535660784,0.07345239655450593,0.16227831154689504,5.216938013063638e-06,0.03264610140464927
0.36475967772851015,0.0864679802715175,0.18851205912411392,6.772799739917965e-06,0.03787310127840504
0.36801470189094193,0.10096570694113655,0.21893894509155953,8.757131207040103e-06,0.043719911742137164
0.3712697260533737,0.11696845174322332,0.25363258053025606,1.1277106550967953e-05,0.05022619526233364
0.3745247502158055,0.13447551123029952,0.2925235151173512,1.4463617701886847e-05,0.05742974525534498
0.3777797743782373,0.15346064991220318,0.3353905506782524,1.847570031382866e-05,0.06536586410458237
0.381034798540669,0.17387090137614183,0.381859441994395,2.3505581484860936e-05,0.07406670926958683
0.38428982270310086,0.19562633053342227,0.43140904627134913,2.978438864315547e-05,0.08356060717108664
0.3875448468655326,0.21862095818813312,0.48338447032951887,3.758854964840326e-05,0.09387133531549896
0.39079987102796443,0.242725017486728,0.5370163428318022,4.7246901357725716e-05,0.1050173749784966
0.39405489519039616,0.2677886478743808,0.591445051402816,5.91485072398381e-05,0.11701113981911479
0.3973099193528279,0.29364703390220104,0.6457486503286812,7.375116377202801e-05,0.12985819004057023
0.40056494351525973,0.32012686694576487,0.698973153748209,9.159055010962513e-05,0.14355644700315395
0.40381996767769146,0.34705385695631313,0.7501640448767416,0.00011328994580993213,0.15809542922338723
0.4070749918401233,0.37426086370223866,0.7983979979689039,0.00013957040733872413,0.17345553700462016
0.41033001600255503,0.4015960716276051,0.842813964840223,0.00017126125602706305,0.18960741894911642
0.4135850401649869,0.4289305203155018,0.8826428698980958,0.00020931068867847215,0.20651145862063947
0.4168400643274186,0.4561642434181939,0.9172351583260641,0.0002547962780408605,0.2241174229437264
0.42009508848985033,0.483230278690595,0.9460853549217718,0.00030893508505702635,0.24236431485749355
0.4233501126522822,0.5100958999020149,0.9688526524175199,0.0003730930597189609,0.26118047071090716
0.4266051368147139,0.536760589241358,0.9853764188970099,0.0004487933643227612,0.2804839374978778
0.42986016097714574,0.5632505088911807,0.9956854645973525,0.0005377232140998465,0.3001831561372449
0.4331151851395775,0.5896095267780515,1.0,0.0006417387979915583,0.3201779647560309
0.4363702093020093,0.6158871809650933,0.9987254836912287,0.0007628678193376711,0.3403609208100453
0.43962523346444105,0.6421243013394601,0.9924379953855713,0.0009033091851722105,0.36061892367031295
0.4428802576268728,0.6683373148614024,0.9818613313515435,0.0010654293763702179,0.3808351010976357
0.4461352817893046,0.6945025099958603,0.9678366285503371,0.0012517550516449143,0.400890905116135
0.44939030595173635,0.7205416975149156,0.951285887422655,0.001464961478662788,0.4206683465920625
0.4526453301141682,0.746310753783088,0.9331711957677775,0.0017078564472001803,0.4400522847354579
0.4559003542765999,0.7715924512034776,0.914451699766721,0.0019833594035963175,0.45893267904505214
0.45915537843903176,0.7960947605416563,0.8960404071099347,0.002294475653306045,0.47720670792512193
0.4624104026014635,0.8194554549318708,0.878762770828104,0.00264426560877318,0.4947806609561776
0.4656654267638952,0.8412533725469469,0.8633187565240598,0.0030358092117787516,0.5115715207807114
0.46892045092632706,0.8610261354865497,0.8502498231952362,0.003472165830416863,0.527508165448584
0.4721754750887588,0.8782935213543115,0.8399120244167313,0.003956330117331055,0.542532142030506
0.47543049925119063,0.8925850973065823,0.8324563075654249,0.004491184513089692,0.5565979860766244
0.47868552341362236,0.9034702165414419,0.827817053287694,0.0050794492808100295,0.5696730874373879
0.4819405475760542,0.9105881064401475,0.8257099058298971,0.005723631158641315,0.5817371292164321
0.48519557173848593,0.9136755996235129,0.8256399094934255,0.006425971908010635,0.5927811512604698
0.48845059590091766,0.912590110877884,0.8269207848118111,0.007188398209641043,0.6028063107734966
0.4917056200633495,0.9073257567854598,0.828705762473616,0.008012474508058627,0.6118224287871767
0.49496064422578123,0.8980210344932701,0.8300296999921843,0.008899360520521487,0.6198464211264434
0.4982156683882131,0.8849571751284648,0.8298612570527116,0.009849775200389023,0.6269007154626653
0.5014706925506448,0.8685470938335289,0.8271627933975423,0.010863968971086803,0.6330117518674185
0.5047257167130766,0.8493156828864304,0.8209545325767583,0.011941706019365315,0.6382086533326804
0.5079807408755084,0.8278729423528666,0.8103785961465736,0.013082258351321149,0.6425221358764535
0.5112357650379401,0.8048820282943779,0.7947579455794684,0.014284413169229796,0.6459837063976378
0.514490789200372,0.7810246575546879,0.7736452230498176,0.01554649492113347,0.6486251719834535
0.5177458133628037,0.7569664080166698,0.746857033770246,0.01686640310991494,0.6504784586920531
0.5210008375252355,0.7333242977553438,0.7144903442584531,0.01824166662791781,0.6515757127630587
0.5242558616876672,0.7106386543303808,0.6769192689797199,0.01966951501271815,0.6519496344957927
0.5275108858500991,0.6893507624454434,0.6347723880234788,0.021146966606961477,0.6516339762243866
0.5307659100125308,0.6697871852698619,0.5888926377484197,0.022670933159416734,0.6506641221616911
0.5340209341749625,0.6521510733457659,0.5402834933317467,0.024238339936090866,0.6490776602688652
0.5372759583373944,0.6365202733529374,0.4900463989319253,0.02584625993087929,0.6469148552210768
0.5405309824998261,0.6228516713939052,0.4393150477930573,0.02749206028693349,0.6442189370520476
0.543786006662258,0.6109909671806298,0.3891921105975452,0.029173558575056862,0.6410361318357372
0.5470410308246897,0.6006869637828952,0.3406933896248038,0.0308891861362417,0.6374153780919377
0.5502960549871215,0.5916094382493645,0.29470325583490925,0.03263815529375957,0.6334076944473586
0.5535510791495533,0.5833696864251517,0.25194378189332656,0.03442062688712081,0.6290651891434904
0.556806103311985,0.5755428668980735,0.21295841992546358,0.03623787428596264,0.6244397287629696
