x,M-cases,M-controls,F-cases,F-controls
43.0,2.5816940714207993e-08,1.470447402804034e-07,0.0013048040841998816,0.0008123293327492278
44.0,2.2754384509313732e-07,1.1093756371343843e-06,0.0028149104630633853,0.0019333305502021129
45.0,1.6365398532346198e-06,6.822324658756243e-06,0.005257419511560571,0.003942262332394477
46.0,9.604869488784645e-06,3.4199520994861885e-05,0.008594222690109465,0.006975219847293653
47.0,4.600090953605617e-05,0.00013975513487971512,0.012457777076925887,0.01089502619294229
48.0,0.00017979256510155855,0.0004656401967565774,0.016227640599293266,0.015331756405796924
49.0,0.0005735475998710085,0.0012655615723324565,0.01921127734716924,0.019826743559107907
50.0,0.001494001702474063,0.0028098971122696957,0.020887551164522723,0.0239419025139903
51.0,0.0031820922504302166,0.0051179434498186864,0.021299789374208785,0.02738981554831384
52.0,0.005565778556693808,0.007741251361507358,0.021585624973905683,0.030366676536184
53.0,0.008103109175856368,0.010063062366813012,0.024243726156878895,0.03398705317933562
54.0,0.010225252731857287,0.012218503309684426,0.03257560835301634,0.04037052772083723
55.0,0.01239156606691606,0.01587049155421978,0.04922847935583369,0.05202884567499552
56.0,0.01692041066747529,0.023830596791543583,0.07459969083280583,0.07067544846001118
57.0,0.027595387127443534,0.03855754693498189,0.10627892443583654,0.09607089116594848
58.0,0.04798172209172517,0.06079308964476317,0.14019142518422795,0.12574767001515874
59.0,0.0794706088178802,0.08944740768433522,0.17289572097487219,0.1560858716275242
60.0,0.12031052998330868,0.12250177331553631,0.20349485658458807,0.18427932721208348
61.0,0.1663191201338798,0.15793765595055692,0.2337477691091364,0.21005972890112956
62.0,0.2130021964952149,0.19438951818615594,0.26629225526864225,0.23621232078320833
63.0,0.257738589725582,0.23181647565796976,0.3024299995446417,0.26749620607364555
64.0,0.3004905728187294,0.27172145808073533,0.3412784268321529,0.30818868357011164
65.0,0.3429780022110081,0.3161718902203418,0.3808184061906199,0.3593627102969962
66.0,0.38762866087633957,0.3665139860204109,0.41982000958385013,0.41784406838791904
67.0,0.4368109664121437,0.42325172189826005,0.4594358792467321,0.47823192595770037
68.0,0.49195873428373255,0.4864376838023788,0.5038924352662844,0.5370228626234532
69.0,0.5532056876891046,0.5552352209465994,0.5595397530686284,0.5957208204694339
70.0,0.619825234873987,0.6274006880870924,0.6312424256361349,0.6600759264955521
71.0,0.6894941847759077,0.6995141149899811,0.7171308689102136,0.735156984542802
72.0,0.7561646486356178,0.7671134437298621,0.8061102373696885,0.8191784238695619
73.0,0.8111500066966426,0.8253007145735675,0.8820605135012427,0.9010448892256314
74.0,0.8494715042442799,0.871545141101963,0.9324854095637614,0.9648852034222679
75.0,0.8744667789289091,0.9082460562827323,0.9541089665834143,0.9987722030135934
76.0,0.8934967286156426,0.9399369796573628,0.9508804189738989,1.0
77.0,0.9092983052401045,0.9659047186852878,0.9278903699897314,0.972612409431885
78.0,0.9176210784220068,0.9760917644103161,0.8879012950543352,0.9214947638365846
79.0,0.912557700079553,0.9560831587166507,0.8326667909217549,0.8504107317635874
80.0,0.8909727895547298,0.8981453781398627,0.7657974932413822,0.7650545657390724
81.0,0.8516334961902665,0.8094763342199727,0.6934572570573134,0.6753048396074607
82.0,0.7941814001017226,0.7105730020893265,0.6222138460356088,0.5922640214112384
83.0,0.7214256248362689,0.6238977392756687,0.5559572035406934,0.5225666156863561
84.0,0.6401728702668257,0.5608677445390715,0.49439137316435483,0.4656241422765911
85.0,0.557151861497767,0.5169791296543649,0.43441701362721774,0.41584508348001437
86.0,0.4751866557621008,0.47779782905469415,0.37339551375237234,0.36694450995437483
87.0,0.3947479765046951,0.42945721387812613,0.31157262785924156,0.3148805389708181
88.0,0.31755828989670537,0.36573162374756996,0.2518038476999958,0.25878656568383157
89.0,0.24671921033905456,0.2893570744326661,0.19743988674552532,0.20097249269442377
90.0,0.18426758098308424,0.20961465576113458,0.1506458827932541,0.1462365359647183
91.0,0.1305538076003847,0.1379574618575368,0.11218960621004166,0.09996441610671859
92.0,0.08598517739722959,0.08294832771271818,0.08194336315606693,0.06555311420176838
93.0,0.05197025423805927,0.04691426966425078,0.059156836444603074,0.042915411589230054
94.0,0.029542479237671792,0.026366151475213612,0.04248992649912196,0.029138363451170116
95.0,0.017532799524269563,0.015402421824314536,0.03025862698418346,0.02051963112213433
96.0,0.012497146341400336,0.009166479665026093,0.020965547811175142,0.014336447688546444
97.0,0.010411551381151612,0.005160774550190994,0.013722487091086342,0.009391995224220693
98.0,0.0085469905200792,0.0025633214608142257,0.00823006528653018,0.005525848034302663
99.0,0.0061341655274905465,0.0010773142458333552,0.004411810491126277,0.0028429908588485492
100.0,0.003671931871039949,0.00037537169145039623,0.0020764266398511197,0.001259214586022316
101.0,0.0018057125745044322,0.00010742975286413818,0.0008477264658194331,0.000475680677248312
