x,M-cases,M-controls,F-cases,F-controls
43.0,6.388225061899549e-12,4.775378033780028e-07,1.2025704625527042e-05,1.9500868998772737e-08
44.0,5.883051027440185e-11,1.7232093645228158e-06,3.9307339470936206e-05,1.2111847864198406e-07
45.0,4.874538370001311e-10,5.817264401368106e-06,0.00011880239592975395,6.749795109170319e-07
46.0,3.6339083386213385e-09,1.8372064639171084e-05,0.0003321482382395074,3.376120117180654e-06
47.0,2.4373946949810317e-08,5.428344858165488e-05,0.000859435949904652,1.5161445067757698e-05
48.0,1.4709303733244183e-07,0.00015006004393515162,0.002059486278242122,6.11558849020564e-05
49.0,7.986886102116586e-07,0.00038813048060769035,0.004574545354704224,0.00022168201105576452
50.0,3.90202176400981e-06,0.0009393899802717742,0.009429279524528125,0.0007225856398289476
51.0,1.7153042595282485e-05,0.0021277988200108645,0.01806344646102532,0.0021196183516431983
52.0,6.785035247418559e-05,0.00451152811501915,0.03222238781719263,0.005601127783659426
53.0,0.00024152118081540632,0.008957031865025103,0.053658067746040254,0.013351158052460255
54.0,0.0007737552147418652,0.01665948357206265,0.08367823062685437,0.028757905566681334
55.0,0.002231430985265755,0.02904904357747573,0.12269230133458336,0.05610918030955374
56.0,0.0057947575006484795,0.047538945022170105,0.16996764579146523,0.09948980712422113
57.0,0.013557767100380931,0.07313456201358366,0.22375946765132448,0.16104643066579222
58.0,0.028603360997094204,0.10602190880671104,0.28180948409384293,0.2394447796524877
59.0,0.05449250546617435,0.14533829894026717,0.3420086709056942,0.3296324864313319
60.0,0.09396301283362618,0.1893210487811134,0.40290846419039456,0.4243986146884728
61.0,0.14720844199835928,0.23588312489851693,0.46381153904613776,0.5169159269487823
62.0,0.21084058333228725,0.2834163080190297,0.5243556303095127,0.6025527365441953
63.0,0.27880170896087686,0.3314130154131344,0.5837417610229315,0.6787241720184447
64.0,0.3454803170508775,0.3804967707270167,0.63996020221306,0.7431579807540122
65.0,0.4094866418808918,0.43172736821578767,0.689442905901408,0.7922976517225845
66.0,0.4754046566198388,0.48547852621551657,0.727444102571804,0.8214824994832524
67.0,0.5516049970553185,0.5405045457642919,0.7491258010998763,0.8271025459954638
68.0,0.6445867065678631,0.5937770563265812,0.7509514123324517,0.8092356197103874
69.0,0.7526813476096411,0.641256933866576,0.7318041332230902,0.7725949034072478
70.0,0.8628147047341025,0.6792072626897291,0.6933822573249678,0.7245881015807571
71.0,0.9529367214318266,0.7053085257261769,0.6397808018213113,0.6714282583892508
72.0,1.0,0.7189442326433823,0.5764957361880721,0.6149626338139674
73.0,0.9899356270282036,0.7205339601650528,0.5092119445619241,0.552627940752303
74.0,0.9240005102783362,0.7103890114569356,0.44269522093356134,0.48067592132135223
75.0,0.8174396771294901,0.6878767586614959,0.38003848146703056,0.3983431461605114
76.0,0.6914213405139346,0.6515014566480749,0.3224569357463445,0.3100021043414439
77.0,0.5638547865612898,0.5999449640419285,0.2697044414112355,0.2239474359917773
78.0,0.44482401670867044,0.5335066372310499,0.22094356575881668,0.14888778479245676
79.0,0.33797334301118437,0.455109685044087,0.17566006979753074,0.0905305057385523
80.0,0.244586734677825,0.3702623438662777,0.134171985991566,0.050117741120062356
81.0,0.16626836917586277,0.28592709425502394,0.09752265259339131,0.025176913257407212
82.0,0.10480271133640053,0.2088087838317025,0.0669136821809328,0.01144819282956155
83.0,0.060628785860630016,0.14380763719812006,0.043069142385953996,0.004702760930324964
84.0,0.03195840135400955,0.09321012353157196,0.025884407204588157,0.0017425618043873559
85.0,0.01527601048526184,0.056772882114483184,0.014477036964209433,0.0005817205089276105
86.0,0.006601319861874742,0.03245954040500604,0.007517433753162483,0.0001747854466516209
87.0,0.0025741089920492746,0.017407000388251718,0.003618247166175122,4.7229624227015365e-05
88.0,0.0009046832474372921,0.008750563495765666,0.0016124091716467179,1.1469881653430265e-05
89.0,0.00028637504882455834,0.0041218913372168264,0.0006647570632605095,2.502109119094428e-06
90.0,8.16129248612137e-05,0.0018187461835065648,0.000253412948770751,4.900778549291272e-07
91.0,2.093423266532617e-05,0.000751561302398942,8.929200122246431e-05,8.615440208128727e-08
92.0,4.8323990032175185e-06,0.00029080415463603355,2.9073923144158644e-05,1.3589790114405496e-08
93.0,1.003774165870151e-06,0.00010534798471807162,8.74632426355487e-06,1.9229262129512195e-09
94.0,1.876085221678786e-07,3.5727303233618084e-05,2.4306664723243025e-06,2.440266326235734e-10
95.0,3.154989191085625e-08,1.1342044406642706e-05,6.239736115565798e-07,2.776910791819118e-11
96.0,4.773788597155721e-09,3.3703532565337733e-06,1.479525733065612e-07,2.8331832407362833e-12
97.0,6.498949988948473e-10,9.374186206900167e-07,3.2402343059829743e-08,2.5913364412752607e-13
98.0,7.960396891890832e-11,2.4403422616654486e-07,6.554135756176663e-09,2.124547099540953e-14
99.0,8.772751667511844e-12,5.945859937003065e-08,1.2244212351408128e-09,1.5612288051383474e-15
100.0,8.698520162008716e-13,1.3558611116913725e-08,2.1125965611760338e-10,1.0282401638019784e-16
101.0,7.760016306685274e-14,2.8936345678498502e-09,3.366419983572348e-11,6.069117511089463e-18
