thresholds,test,sex,randomized_images,randomized_weights
0.0,0.999999449839078,0.999999449839078,0.947813935576156,0.7387901961323687
0.01,0.9899109406415431,0.9899559537953869,0.9377540325672946,0.7298499450394949
0.02,0.980066210182805,0.9797591305660988,0.9274635279798933,0.7217095184014793
0.03,0.9703332896607777,0.9695970951511552,0.9171525947453408,0.7140389116799131
0.04,0.9608371386130443,0.9594244858287716,0.9066222182488378,0.7067258318891609
0.05,0.9514671339751489,0.9492960258702964,0.8958059218146271,0.6996377046598038
0.06,0.9421646257062105,0.9391902450615741,0.8849613511952246,0.6927128844761561
0.07,0.9331341711946475,0.9291676895910176,0.8740611033385293,0.6858972500835594
0.08,0.9244342013517215,0.9194869390601099,0.8630320564417266,0.6794421607450614
0.09,0.9158151266397511,0.9099574260215155,0.8518701233690152,0.6733278438172209
0.1,0.907179294388053,0.9006476616632587,0.840658114720778,0.6674521742053995
0.11,0.8987129329193322,0.8916078231622622,0.8292777007484041,0.6618180402037697
0.12,0.890286658847713,0.8828332287194004,0.8178079588279572,0.6562238204674867
0.13,0.8819102087069578,0.8743420203926251,0.8062928271685819,0.6508812689868695
0.14,0.8735307984562228,0.8659814391058221,0.7949096040824499,0.6453950571239762
0.15,0.8653271223421573,0.8574598237026076,0.7835939477140174,0.6399236765236055
0.16,0.8573039756986062,0.8487142608260535,0.7724259345858664,0.6342634982637183
0.17,0.8493560467968051,0.8399449839260266,0.7613177343983031,0.6285970901136778
0.18,0.8415388940289424,0.8308697977085127,0.7501491137377195,0.6229619724745098
0.19,0.8336918434256132,0.8215713269809013,0.7388502455686591,0.6172905330921682
0.2,0.8258919483949055,0.8122080708607268,0.7275128600115534,0.6116751024674717
0.21,0.8182310730780588,0.8028237870000502,0.7162667903483702,0.6061253085078526
0.22,0.8106007545668646,0.7935394179720645,0.704840075978634,0.6006995507724471
0.23,0.8029881586835012,0.7843034143546221,0.6934768800313806,0.5953589298587945
0.24,0.7953618538685724,0.7752730173575771,0.6820591075521169,0.5900323871048071
0.25,0.7878220824243456,0.7662403776890022,0.6705190142880407,0.5847915037579645
0.26,0.7803705556848352,0.7570526541175456,0.6589485532626401,0.5796302175142987
0.27,0.7730549369387701,0.7478078356451388,0.6473364308135219,0.5744175267638115
0.28,0.7659577231895885,0.73863459228491,0.6361113403448286,0.5692706088753182
0.29,0.7587971472230057,0.7295781894598506,0.6248399884698713,0.5642789175316846
0.3,0.7517964718966011,0.720659721539979,0.6133634087970732,0.559049950682003
0.31,0.74508184238454,0.7116280849862738,0.601778534005114,0.5539448515722237
0.32,0.7385255040040388,0.7026728112090433,0.5899691100823461,0.5489343868375618
0.33,0.7320495702998622,0.6935875896885105,0.5778009337951399,0.5439537339488564
0.34,0.7256047393862705,0.6845127199705914,0.5658621813547129,0.5389709823456694
0.35,0.7192377650610721,0.6753095500278042,0.554226799935335,0.5337244270499623
0.36,0.7130197301460677,0.6660643550738591,0.5429022364041483,0.5285593692405028
0.37,0.7068805016068185,0.6569005868380606,0.531936390945927,0.523291008802571
0.38,0.7007168951757099,0.6476441133225017,0.5211000023958621,0.5179250414617244
0.39,0.6945201291163968,0.6385714942814856,0.5104670322980391,0.5125693675948148
0.4,0.6884466206365362,0.6297215268799458,0.49963872766117423,0.5074363417966422
0.41,0.6823409616062454,0.6208199445363451,0.4885193591280979,0.5023545011534725
0.42,0.6763649919325541,0.6120492830359777,0.47695062874856414,0.49697838341852923
0.43,0.6703003008510117,0.6035175535031239,0.46464156068030743,0.4916920914888216
0.44,0.6643517335963627,0.5949302671031277,0.4522460319643496,0.48621846890215387
0.45,0.6582562108135576,0.5866172922493368,0.43974540565845227,0.48058533091662764
0.46,0.6522412435266945,0.5779634061481502,0.4272885930245708,0.47497633798626837
0.47,0.6462318109438483,0.5695289582022808,0.41489006118207844,0.4694816235776257
0.48,0.6403947193015496,0.560940902136952,0.40234008832198803,0.46405333175338404
0.49,0.6346048875838456,0.5522814406009912,0.3898244016733513,0.4586192910047659
0.5,0.6290440953979038,0.5433807388661184,0.37769537589745,0.4532621791874123
0.51,0.6234846724130382,0.5343496708579923,0.36548965978741343,0.44810694224099507
0.52,0.6181780045663356,0.5252810405376906,0.35315173438230685,0.4428967347949275
0.53,0.6128355979660446,0.515773221459541,0.3411346886793336,0.4372641332746495
0.54,0.6076491504199761,0.5063788766909973,0.3292689198547097,0.43167419948595837
0.55,0.6023268125040498,0.49705664086617285,0.3172629388600428,0.4262436380041152
0.56,0.5970771450649315,0.4874150689076555,0.30558688416361784,0.42078557978208625
0.57,0.5919126396192377,0.4775265804321959,0.294261697309331,0.41548126255453627
0.58,0.5869169112917909,0.4680336855673142,0.2827643752464262,0.4100283856837649
0.59,0.5818578519316674,0.45829044988372825,0.27186116631353513,0.40469541904119094
0.6,0.5767364454102825,0.4484966852804445,0.26098533821142683,0.3992022666629989
0.61,0.5717818430095756,0.43863170843184496,0.2505092511609798,0.3932956590923198
0.62,0.567118908596554,0.428760675655524,0.2400931219750198,0.3874276646971871
0.63,0.562365154914792,0.4190156290193314,0.22980055937941893,0.3815348288777766
0.64,0.5579441708922082,0.4091455083945387,0.21962271186544285,0.3755230349321621
0.65,0.5533608518370645,0.3993835058741421,0.2092448968684865,0.36959152941472356
0.66,0.5486965231447846,0.38931328590083186,0.19890420889286586,0.3629897039001555
0.67,0.5442920851915142,0.37888384112032675,0.18834660109198517,0.3563355978827158
0.68,0.5398969823673424,0.3685012241080516,0.17846532610788657,0.34928513465188565
0.69,0.534905017463157,0.35785806570690293,0.16875727631541584,0.34144731237754494
0.7,0.5299791855784484,0.34692230810845504,0.15912487735996111,0.33340302038346215
0.71,0.5249383915207002,0.3359165577412311,0.14977832330081065,0.32474640451207415
0.72,0.5201319600268793,0.32517457784973536,0.14041875105611248,0.3156214264100821
0.73,0.5149949262988879,0.3141782438066207,0.13106653680165292,0.3062090690879156
0.74,0.509793922414614,0.30286570360291926,0.12174849605047938,0.29661079711969596
0.75,0.5048249059776019,0.2917324108245143,0.11268603671109761,0.28672815258366285
0.76,0.49952319386753957,0.28053851584921924,0.1038887207841627,0.27622433728532264
0.77,0.4938071090274123,0.26866239295794864,0.09534755776682773,0.2655575754676362
0.78,0.4879152152004461,0.25693015206948033,0.0868529044745588,0.25425687013451437
0.79,0.48175956951274146,0.24516186499068657,0.07853143903570016,0.243322758031684
0.8,0.4759249580502297,0.2334167744065139,0.07080571067037109,0.2321981679641295
0.81,0.4701320963417247,0.22177244218975312,0.06251845932000208,0.2213091494524459
0.82,0.4639629313796508,0.2099200127148302,0.05350009322171179,0.21055269777521035
0.83,0.45753249989482236,0.19815469852848372,0.044365552215041376,0.19982459603690603
0.84,0.45101504690121863,0.1863876433856903,0.03647223062745853,0.18981583363133717
0.85,0.4446905900648455,0.17462075643320324,0.029837005956397992,0.18014436196121006
0.86,0.43831320661293427,0.1636492959905058,0.023955578435263743,0.1710921873219345
0.87,0.43223089781840496,0.15288939672866544,0.018993207642988636,0.16227596859857382
0.88,0.42690195215433846,0.14274383590533565,0.014391292786473376,0.1536828689058216
0.89,0.422812615658541,0.13300357103560032,0.010538056036250514,0.14488201578457752
0.9,0.4188265067532253,0.1236376640167249,0.007185101642230352,0.13635738453497648
0.91,0.41488984522092087,0.11421375651025747,0.004774188815805561,0.12882974301293493
0.92,0.41110087200506146,0.10475751657359778,0.0030258850713833795,0.12285093389816522
0.93,0.4104734509101198,0.09426577383759313,0.0017526486214593355,0.11687729887767613
0.94,0.41097020878606993,0.08224905784942095,0.0006968705012882935,0.1100963698548492
0.95,0.4086242751669729,0.0691988600728409,0.00025307263184533963,0.10278049800292684
0.96,0.401507440926471,0.05454845542321129,1.3754023051742634e-05,0.09446263031936841
0.97,0.3896387309737759,0.039171098477902073,0.0,0.08505409866128737
0.98,0.37113855802822326,0.022996726542513685,0.0,0.06819244629053998
0.99,0.3393299224294438,0.009022390933597404,0.0,0.03751994278483798
1.0,0.0,0.0,0.0,0.0
