age,controls,patients
0.0,6.676438576662436e-89,3.178804830960031e-119
0.5,1.2357290278115839e-84,2.9344917263468264e-114
1.0,1.7857327734725146e-80,2.1150310350144329e-109
1.5,2.0147655669641243e-76,1.190187622408064e-104
2.0,1.77479174783669e-72,5.22912404717284e-100
2.5,1.2206330125324925e-68,1.793730899240274e-95
3.0,6.5544710889949255e-65,4.803971967267731e-91
3.5,2.74792593453577e-61,1.0045197259972318e-86
4.0,8.994711199016678e-58,1.639952633392512e-82
4.5,2.298710366480932e-54,2.0903498113369415e-78
5.0,4.586655428671558e-51,2.0802784233488466e-74
5.5,7.145338469433635e-48,1.6163625873549576e-70
6.0,8.690891469514396e-45,9.80552710784705e-67
6.5,8.253167841677544e-42,4.644275022566582e-63
7.0,6.119160690596861e-39,1.7174327675567025e-59
7.5,3.542239068795785e-36,4.958569328740501e-56
8.0,1.6009534688658555e-33,1.1177582004947167e-52
8.5,5.649296645712542e-31,1.9672256111457203e-49
9.0,1.5564131123686684e-28,2.70318211177424e-46
9.5,3.3478825344095536e-26,2.9000886249746686e-43
10.0,5.622511759535766e-24,2.4291932457503106e-40
10.5,7.372340122809278e-22,1.5886480351533923e-37
11.0,7.547362052556817e-20,8.111630228896135e-35
11.5,6.032534782636454e-18,3.2337275751107766e-32
12.0,3.764604139136224e-16,1.006499457376392e-29
12.5,1.8342292981259575e-14,2.445898834817326e-27
13.0,6.977546941511122e-13,4.640644126187219e-25
13.5,2.0723673320833233e-11,6.874369477077046e-23
14.0,4.805576978054106e-10,7.950643966330465e-21
14.5,8.700398986439957e-09,7.179373906067061e-19
15.0,1.2298372126596385e-07,5.061574931383802e-17
15.5,1.3572845971576178e-06,2.7861186290905896e-15
16.0,1.1695237385685408e-05,1.1973700255261196e-13
16.5,7.86795726208961e-05,4.017649328419498e-12
17.0,0.0004132660921182676,1.0525205977504614e-10
17.5,0.0016947763240069598,2.1528029337251126e-09
18.0,0.0054263756903845245,3.4379019670258954e-08
18.5,0.01356507954197553,4.286466305555224e-07
19.0,0.026475917807064597,4.1727769977730645e-06
19.5,0.04034637624951943,3.171604807194771e-05
20.0,0.048011620660473854,0.00018822752239727316
20.5,0.044662638143032174,0.0008723602695134648
21.0,0.032737253543083225,0.0031584401692855
21.5,0.01999937591891008,0.00894179856007195
22.0,0.01373683494078141,0.019844338194351965
22.5,0.017832043609070446,0.03474762130281541
23.0,0.033150309838670226,0.04879254784194655
23.5,0.057616685115758265,0.05702937411942351
24.0,0.08582793760954319,0.059436389013809855
24.5,0.11040380389190396,0.05979045698556212
25.0,0.12508219725331432,0.05953962569850282
25.5,0.1284283339674347,0.05698816617666866
26.0,0.12630481505093477,0.05404419202184273
26.5,0.1288547248748915,0.059774280241838465
27.0,0.14210905532409546,0.08380273944021974
27.5,0.16423077631933541,0.12606404391328443
28.0,0.19306813704982473,0.1736012937014303
28.5,0.23395036794633386,0.20884054824618462
29.0,0.29200263406662436,0.2237052737119015
29.5,0.3554444509275264,0.22599449386411652
30.0,0.3950237677818074,0.23054352317050733
30.5,0.3866494420390817,0.2454714332877673
31.0,0.33268930426743526,0.26758485087819966
31.5,0.2592621603455564,0.2869779837355584
32.0,0.19629672019339536,0.2946586441096838
32.5,0.16154784838126537,0.2903059785114843
33.0,0.15790286074528673,0.2846219176456489
33.5,0.17897165280032484,0.2913924815688254
34.0,0.21614803462737306,0.315884723566427
34.5,0.2634650577454887,0.3511857737171917
35.0,0.3176003732084244,0.3838917192302264
35.5,0.37378317404843847,0.40139083722809177
36.0,0.42370993870149143,0.3978772258809308
36.5,0.45920487223999756,0.3807566952297849
37.0,0.4763240431116974,0.3700411982651662
37.5,0.47396743224060417,0.3821710863160869
38.0,0.4515249263842338,0.4107016674886368
38.5,0.41241858182078545,0.42846043975699
39.0,0.3684153592123863,0.41285535743352714
39.5,0.33590546682244754,0.3658386502696295
40.0,0.32578282770997186,0.30693413113973633
40.5,0.33384271894963036,0.25246021453172435
41.0,0.33988394585832316,0.20650052847815575
41.5,0.3233743133356244,0.16790005077613177
42.0,0.2853688663059897,0.13852909927485932
42.5,0.2502959915896231,0.12243913418324075
43.0,0.24228952614194704,0.11990703194879661
43.5,0.2624439009410971,0.1255889000627492
44.0,0.29140840434128895,0.13329594556362506
44.5,0.31277775167493704,0.14228412975876487
45.0,0.3295617365948498,0.15876668170288158
45.5,0.3539944897646514,0.19023157368864083
46.0,0.3854068003970985,0.2372106592381828
46.5,0.4071079201289171,0.2907451189121274
