multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
1.0,0.0,0.0,0.0,0.0037
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,0.4758,1.0
1.0,0.0,0.5529,1.0,0.9996
0.9979,0.0,0.0,0.0004,1.0
