key,accuracy,auc,size,threshold
baseline,0.4895833333333333,0.4786241319444445,192,"0.302,0.281"
delta,0.5364583333333334,0.5215928819444444,192,"0.438,0.479"
features,0.5989583333333334,0.6213107638888888,192,"0.375,0.562"
nn,0.5364583333333334,0.5360243055555555,192,"0.406,0.479"
