epoch,stepwise,cycle,cyclical
80,0.001,0.09665168402221169,0.04225461663661448
81,0.001,0.09574186994566077,0.039834615092293836
82,0.001,0.09475621804031512,0.037212691060917874
83,0.001,0.09369677697406788,0.03443072206557618
84,0.001,0.09256570879444834,0.031532027826523576
85,0.001,0.0913652840558511,0.02856064790838732
86,0.001,0.09009787679984405,0.0255606278004688
87,0.001,0.08876595939877778,0.022575324438608692
88,0.001,0.08737209727306876,0.01964674156999236
89,0.001,0.08591894349265447,0.016814904608030246
90,0.001,0.08440923327322894,0.014117283738955575
91,0.001,0.08284577837795311,0.011588273042569467
92,0.001,0.08123146143540583,0.00925873229546991
93,0.001,0.07956923018458764,0.007155596955945534
94,0.001,0.07786209165782133,0.0053015606059573775
95,0.001,0.07611310631240126,0.003714832868028665
96,0.001,0.07432538212183568,0.002408974544139935
97,0.001,0.07250206863749718,0.0013928104602471665
98,0.001,0.0706463510314494,0.0006704192634968872
99,0.001,0.06876144413115237,0.000241198228335556
100,0.001,0.0668505864566649,0.0001
101,0.001,0.06491703427085951,0.00023733715535642614
102,0.001,0.06296405565304718,0.0006396495060708089
103,0.001,0.06099492460627091,0.0012896282201180981
104,0.001,0.05901291520837348,0.0021665901051397206
105,0.001,0.05702129581677463,0.003246894789483691
106,0.001,0.055023323336706766,0.004504397060064005
107,0.001,0.05302223756245579,0.005910926274377164
108,0.001,0.051021255600937565,0.007436784558808165
109,0.001,0.04902356638670844,0.009051255436238654
110,0.001,0.04703232529726344,0.010723114590305878
111,0.001,0.0450506488772173,0.012421134666788099
112,0.001,0.043081609679690464,0.014114576327949827
113,0.001,0.04112823123294086,0.015773658204959937
114,0.001,0.03919348313998471,0.0173699989268252
115,0.001,0.037280276318644764,0.018877025030419558
116,0.001,0.03539145838914704,0.020270339262739107
117,0.001,0.03352980921606052,0.021528044560154704
118,0.001,0.03169803661104067,0.0226310198161501
119,0.001,0.02989877220249143,0.023563144414363017
120,0.0001,0.028134567477911147,0.024311469393004822
121,0.0001,0.026407890004328693,0.024866334005272026
122,0.0001,0.02472111983187173,0.025221427333777337
123,0.0001,0.023076546085138896,0.025373795491397174
124,0.0001,0.02147636374667298,0.025323795783008373
125,0.0001,0.01992267063645292,0.025075
126,0.0001,0.018417464590939753,0.024634049760860244
127,0.0001,0.01696264084482741,0.02401046748641519
128,0.0001,0.015559989618260025,0.023216427198612083
129,0.0001,0.014211193911891058,0.02226648984969444
130,0.0001,0.012917827511769099,0.021177308318307237
131,0.0001,0.0116813532056459,0.01996730754614692
132,0.0001,0.01050312121191477,0.018656345530458904
133,0.0001,0.009384367821999376,0.017265361032788088
134,0.0001,0.008326214256629591,0.015816013913261786
135,0.0001,0.007329665736057326,0.014330323954193659
136,0.0001,0.006395610763888049,0.012830313900234362
137,0.0001,0.005524820623828278,0.011337662219304311
138,0.0001,0.0047179490882798495,0.009873370784996166
139,0.0001,0.003975532337346938,0.008457452304015125
140,0.0001,0.003297989086463246,0.007108641869477809
141,0.0001,0.0026856209204943414,0.005844136521284754
142,0.0001,0.0021386128318252825,0.004679366147734914
143,0.0001,0.0016570339596055006,0.0036277984779727415
144,0.0001,0.0012408385269937743,0.002700780302978679
145,0.0001,0.0008898669729251414,0.0019074164340143241
146,0.0001,0.0006038472746097362,0.0012544872720699604
147,0.0001,0.00038239645667111197,0.0007464052301235833
148,0.0001,0.0002250222825397451,0.0003852096317484446
149,0.0001,0.000131125123435219,0.00017059911416777998
150,0.0001,0.0001,0.0001
151,0.0001,0.0001,0.0001
152,0.0001,0.0001,0.0001
153,0.0001,0.0001,0.0001
154,0.0001,0.0001,0.0001
155,0.0001,0.0001,0.0001
156,0.0001,0.0001,0.0001
157,0.0001,0.0001,0.0001
158,0.0001,0.0001,0.0001
159,0.0001,0.0001,0.0001
