epoch,stepwise,cycle,cyclical
0,0.1,0.0001,0.0001
1,0.1,0.0001616775827751419,0.0006493486214257123
2,0.1,0.00034546521271985436,0.002258598024283243
3,0.1,0.0006493486214257123,0.004858512880472414
4,0.1,0.0010711224102471714,0.008366360420558874
5,0.1,0.0016083956946074149,0.012687579157934777
6,0.1,0.002258598024283243,0.017717588240255995
7,0.1,0.0030189855666656194,0.02334370509750866
8,0.1,0.003886647539647554,0.02944713823523271
9,0.1,0.004858512880472414,0.035905021744954704
10,0.1,0.005931357136584556,0.042592458361223544
11,0.1,0.0071018095642600325,0.049384538667152374
12,0.1,0.008366360420558874,0.056158305311799314
13,0.1,0.0097213684339316,0.06279463281983981
14,0.1,0.011163068438631974,0.06917999570730089
15,0.1,0.012687579157934777,0.07520810012167818
16,0.1,0.014290911121032817,0.08078135705095642
17,0.1,0.015968974698389687,0.08581217824061886
18,0.1,0.017717588240255995,0.09022407926460045
19,0.1,0.01953248630301485,0.0939525776574521
20,0.1,0.02140932794800816,0.09694587757201936
21,0.1,0.02334370509750866,0.09916533602108807
22,0.1,0.025331150932542304,0.10058570933510935
23,0.1,0.027367148317332824,0.10119518196558872
24,0.1,0.02944713823523271,0.10099518313203353
25,0.1,0.031566528221124476,0.1
26,0.1,0.0337207007754199,0.09823619904344098
27,0.1,0.035905021744954704,0.09574186994566077
28,0.1,0.03811484865626933,0.09256570879444834
29,0.1,0.04034553898698487,0.08876595939877777
30,0.1,0.042592458361223544,0.08440923327322895
31,0.1,0.044850988655286625,0.07956923018458764
32,0.1,0.047116536000088555,0.07432538212183568
33,0.1,0.049384538667152374,0.06876144413115237
34,0.1,0.05165047482529862,0.06296405565304714
35,0.1,0.05390987015550758,0.05702129581677463
36,0.1,0.056158305311799314,0.051021255600937565
37,0.1,0.05839142321636127,0.0450506488772173
38,0.1,0.06060493617755348,0.03919348313998471
39,0.1,0.0627946328198398,0.03352980921606052
40,0.01,0.06495638481512583,0.028134567477911147
41,0.01,0.06708615340543332,0.023076546085138927
42,0.01,0.06917999570730089,0.018417464590939753
43,0.01,0.07123407078877608,0.014211193911891058
44,0.01,0.07324464551034948,0.01050312121191477
45,0.01,0.0752081001216782,0.007329665736057326
46,0.01,0.07712093360645265,0.004717949088279867
47,0.01,0.07897976876827728,0.002685620920494329
48,0.01,0.08078135705095642,0.0012408385269937743
49,0.01,0.08252258308711037,0.0003823964566711159
50,0.01,0.08420046896957979,0.0001
51,0.01,0.08581217824061883,0.00037467431071285613
52,0.01,0.08735501959442259,0.0011792990121416214
53,0.01,0.08882645028908077,0.0024792564402362108
54,0.01,0.09022407926460045,0.004233180210279431
55,0.01,0.09154566996419031,0.006393789578967385
56,0.01,0.09278914285654932,0.008908794120127997
57,0.01,0.0939525776574521,0.011721852548754309
58,0.01,0.0950342152494706,0.01477356911761636
59,0.01,0.0960324592992151,0.018002510872477343
60,0.01,0.09694587757201936,0.021346229180611735
61,0.01,0.09777320294452872,0.02474226933357618
62,0.01,0.0985133341161803,0.028129152655899634
63,0.01,0.09916533602108807,0.03144731640991991
64,0.01,0.09972843994236001,0.03463999785365046
65,0.01,0.10020204333138316,0.03765405006083908
66,0.01,0.10058570933510935,0.04044067852547824
67,0.01,0.10087916603486362,0.04295608912030942
68,0.01,0.10108230540067417,0.045162039632300255
69,0.01,0.10119518196558872,0.04702628882872606
70,0.01,0.10121801122489651,0.048522938786009676
71,0.01,0.10115116776561571,0.04963266801054404
72,0.01,0.10099518313203353,0.05034285466755468
73,0.01,0.1007507434334997,0.05064759098279436
74,0.01,0.10041868670107255,0.050547591566016764
75,0.01,0.1,0.050050000000000004
76,0.01,0.09949581630538509,0.0491680995217205
77,0.01,0.0989074111487368,0.047920934972830384
78,0.01,0.098236199043441,0.04633285439722418
79,0.01,0.0974837296975028,0.044432979699388885
