regression,classification,ranking
2.8617647429699997,3.5485081601364072,3.9559340260299996
2.8133696465,3.3929756135677422,3.7925823999999997
2.9075524365,3.5608557915197623,3.8912117
3.0085132874999996,3.534062893736327,4.1041273
2.877725366,3.4233811868947686,3.7191539000000002
3.068096602,3.470329602826008,3.8795703999999995
3.080956886,3.569216005297206,3.9635065000000003
2.8955134924999997,3.470232042054954,3.9175938
2.91324572,3.4700906773609432,3.8273238000000003
2.9481009395,3.579509391914233,4.0186039000000005
2.891408023,3.3509489319017387,3.8330300999999998
2.8993392989999998,3.536358130575335,3.9401445
2.8795416741299995,3.4626592488676433,4.00476759863
2.977567801,3.382629206784008,3.9562984
2.7585988035,3.2974889531603946,3.8156506
2.804373877,3.504087637396042,3.9080758999999996
2.815995176,3.4858330477470965,3.8446341000000004
2.86636399329,3.426981329049915,3.97117415479
2.906703716,3.5418383125805084,3.9984434
2.839191616,3.4650501156431455,3.9125721999999996
2.9341851020000003,3.624180575046418,3.9676258
2.7815428955,3.3045864127220836,3.7539747
2.8057408539999997,3.368455393788624,3.8506998
2.94606781279,3.620735289669883,4.09193435479
2.8953308964999995,3.5252962913000845,4.0512521
2.8980325705,3.465966448537598,3.9992010999999996
2.858192781,3.512237194345993,3.9184248
2.9064756545,3.3773050692004354,3.8081228
2.862844666999999,3.382559125809541,3.8406325999999997
2.930434174,3.4742425920832813,4.0688916
3.0276976285,3.611698471836855,4.0365158
2.8257457369999996,3.403206706850371,3.9805960999999996
2.9308507279999994,3.4848084224840186,3.9572453999999997
2.9507118904999996,3.395900625097298,3.8979589999999997
2.943175196,3.5401236322449456,4.0119443
2.8948954889999996,3.538829632637084,3.9733191
2.819088959,3.411883835527077,3.7463984999999997
2.89037589879,3.518207460217311,4.04635775479
3.1545708059999997,3.493658044938431,3.979188
2.725781193,3.429482440584322,3.8205729
2.9298088226299996,3.541415157870533,3.98490369863
2.9957067689999994,3.4716777974466067,3.978428
2.9248127245,3.3819611590628664,3.9198612999999995
2.9083782449999998,3.475338415145799,4.0632456999999995
2.76741576,3.262147929158876,3.7750685999999996
2.8685392412899997,3.4666490921721334,3.91455845479
2.9121788545,3.47585290668292,3.7958851
3.12940411263,3.7538331638670233,4.27165819863
2.8842160525,3.4444711113310804,4.0019932
2.9723902939999998,3.5017712630910647,4.0450075
2.8178107714999996,3.5138071116787453,3.8966711999999997
2.9352177334999996,3.466076092712848,3.9946438
2.8348146009999997,3.534399719679818,3.9417294
2.8202178554999997,3.4742258701757702,3.9050538000000006
3.1309586936300002,3.603577064580609,4.130955398629999
2.9354194249999996,3.4728540250764737,4.0358598
3.125447952,3.6001761302772644,4.065460600000001
2.8717461265,3.48038351776785,3.8099831999999996
2.85231805263,3.4244159046003433,4.00319929863
2.85931424679,3.539744100051904,3.9344791547899995
2.7748741965,3.3132111715200225,3.7424441
2.9895275045,3.495449415518433,3.9693500000000004
2.920231788,3.482899102421095,3.9621673
2.8797422055,3.306703562661451,3.7437154
2.8129350239999993,3.3440565204750827,3.8075290999999996
2.896011103,3.5560811588098926,3.9991019999999997
2.866784063,3.7380061981734403,4.0047743
2.8349016709999995,3.3695825651905387,3.884112
3.0451535700000005,3.719476154732335,4.1505768000000005
2.857640857,3.5029467452930727,3.9258022
2.9479849789999997,3.543948002593346,3.9057258999999998
2.8487493139999995,3.394200615176864,3.9546929
2.7682042339999997,3.3814303526018157,3.8494227999999997
2.8506188655,3.518980420135067,3.9291072
3.0353214576300003,3.6582109975968597,4.0547902986299995
2.920968707,3.5344333010406146,4.0217364
2.8345304645000002,3.5347451983227174,3.9254455
2.846700935,3.4407980420829323,3.8698881999999997
2.9534235844999994,3.465225274972702,3.8889116999999995
2.8077554695,3.449047394022211,3.80819
2.876279159,3.3204259932911904,3.7768728
2.85028765,3.3038788383323814,3.7998767
2.8222576294999997,3.5230976383243027,3.9838988
2.9509425759999997,3.4137721820837337,3.9638894000000002
2.877988147,3.6555061564047397,4.017180099999999
3.0127460315,3.658487191046028,4.2428547
2.9418410045,3.6097839614919933,3.9798634
2.956756051,3.474152834701344,3.9121679000000005
2.9411641774999997,3.2785704926359878,3.8485598
2.8671422105,3.307731384180302,3.6878854999999997
2.875351255,3.487265359207452,3.7973507
2.9713807115,3.498883722085108,4.0213627999999995
2.9846339439999996,3.5271013563636453,4.0410427
2.8985806645000003,3.6012748354387685,4.0940919
2.9530226080000004,3.4635765582651614,3.8658628999999998
3.0634489549999997,3.662620592876378,4.085824799999999
2.9488502399999996,3.4605326100409974,3.8414785
2.95689573047,3.497303029144121,4.07223042603
3.1305302939999993,3.7879905609795115,4.144607
3.063596339,3.5309933946063246,4.0806331
