y,case,control
-6.698243546150677,0.00020682070748712878,4.146371316118177e-05
-6.675922855642575,0.00021416525073958528,4.299632018018653e-05
-6.6536021651344734,0.00022175466257736874,4.4582660769545614e-05
-6.6312814746263715,0.00022959650955436703,4.6224506120156354e-05
-6.60896078411827,0.00023769857065696244,4.7923681621234006e-05
-6.586640093610168,0.0002460688425390909,4.9682068370028195e-05
-6.564319403102066,0.0002547155448626061,5.150160471853706e-05
-6.541998712593964,0.0002636471257442922,5.33842878579598e-05
-6.519678022085861,0.00027287226731090075,5.5332175441645625e-05
-6.497357331577759,0.00028239989136357016,5.734738724729189e-05
-6.475036641069657,0.0002922391651529684,5.9432106879170244e-05
-6.452715950561555,0.00030239950726651435,6.158858351115599e-05
-6.430395260053453,0.00031289059362898497,6.381913367135058e-05
-6.408074569545351,0.0003237223636178431,6.612614306910174e-05
-6.3857538790372494,0.0003349050262945768,6.851206846522258e-05
-6.3634331885291475,0.0003464490667533523,7.09794395862318e-05
-6.341112498021046,0.0003583652525882485,7.353086108344174e-05
-6.318791807512944,0.0003706646404803265,7.616901453772539e-05
-6.296471117004842,0.0003833585829057813,7.889666051081413e-05
-6.27415042649674,0.0003964587349663958,8.171664064397479e-05
-6.251829735988638,0.00040997706134349464,8.463187980492337e-05
-6.229509045480536,0.0004239258433765743,8.764538828385878e-05
-6.207188354972434,0.00043831768626776573,9.076026403948047e-05
-6.184867664464331,0.00045316552641326275,9.397969499588696e-05
-6.162546973956229,0.0004684826388628071,9.730696139124287e-05
-6.140226283448127,0.0004842826449083269,0.00010074543817912008
-6.1179055929400254,0.0005005795198027421,0.00010429859748342439
-6.0955849024319235,0.0005173876006099811,0.00010797001110781806
-6.073264211923822,0.0005347215941871658,0.00011176335310056882
-6.05094352141572,0.0005525965852999373,0.00011568240237575307
-6.028622830907618,0.0005710280448718031,0.00011973104539174837
-6.006302140399516,0.0005900318383683872,0.00012391327888796485
-5.983981449891414,0.0006096242343174401,0.0001282332126807619
-5.961660759383312,0.0006298219129653585,0.00013269507251949651
-5.93934006887521,0.0006506419750709927,0.0001373032030036856
-5.917019378367108,0.000672101950837415,0.00014206207056222274
-5.894698687859006,0.0006942198089823435,0.0001469762664956398
-5.872377997350904,0.0007170139659477836,0.00015205051008237576
-5.8500573068428015,0.0007405032952494714,0.00015728965175003555
-5.8277366163346995,0.0007647071369665842,0.00016269867631262702
-5.805415925826598,0.0007896453073722192,0.00016828270627475083
-5.783095235318496,0.0008153381087049669,0.00017404700520373925
-5.760774544810394,0.0008418063390819474,0.000179996981170735
-5.738453854302292,0.0008690713025535605,0.00018613819026169504
-5.71613316379419,0.0008971548193001476,0.00019247634015932808
-5.693812473286088,0.0009260792359707181,0.00019901729379694758
-5.671491782777986,0.0009558674361637995,0.0002057670730852359
-5.649171092269884,0.0009865428510503977,0.00021273186271293345
-5.626850401761782,0.0010181294701390128,0.00021991801402242308
-5.60452971125368,0.0010506518521825375,0.0002273320489612236
-5.582209020745578,0.0010841351362268577,0.00023498066411037428
-5.5598883302374755,0.0011186050528007693,0.00024287073479070307
-5.5375676397293745,0.0011540879352468902,0.0002510093192479715
-5.515246949221272,0.0011906107311930709,0.00025940366291787593
-5.492926258713171,0.0012282010141637346,0.00026806120277187296
-5.470605568205068,0.0012668869953305333,0.0002769895717448368
-5.448284877696966,0.0013066975354014754,0.00028619660324547946
-5.425964187188864,0.0013476621566478515,0.00029569033575052773
-5.403643496680762,0.0013898110550678766,0.00030547901748360196
-5.38132280617266,0.0014331751126860986,0.0003155711111797308
-5.359002115664558,0.0014777859099874122,0.0003259752989364833
-5.336681425156456,0.0015236757384844359,0.00033670048715260363
-5.314360734648354,0.0015708776134169228,0.00034775581155510507
-5.292040044140252,0.0016194252865817508,0.0003591506423157126
-5.2697193536321505,0.001669353259291896,0.0003708945892575682
-5.247398663124049,0.0017206967954627374,0.00038299750715308205
-5.225077972615946,0.001773491934823902,0.00039546950111379517
-5.202757282107845,0.001827775506254675,0.00040832093207312294
-5.180436591599742,0.0018835851412410587,0.0004215624223628253
-5.158115901091641,0.0019409592874521202,0.00043520486138402196
-5.135795210583538,0.0019999372224335393,0.00044925941137358085
-5.113474520075436,0.002060559067415797,0.00046373751326664504
-5.091153829567334,0.002122865801234529,0.00047865089265610773
-5.068833139059232,0.0021868992743603014,0.0004940115658497647
-5.04651244855113,0.002252702223034972,0.0005098318460258898
-5.024191758043028,0.002320318283511769,0.0005261243494879338
-5.0018710675349265,0.0023897920063958534,0.0005429020020190454
-4.979550377026825,0.0024611688710822017,0.0005601780453370727
-4.957229686518723,0.0025344953002872984,0.0005779660436506926
-4.934908996010621,0.002609818674671257,0.000596279890317256
-4.912588305502519,0.002687187347546496,0.000615133814602957
-4.890267614994416,0.0027666506596692023,0.0006345423885458723
-4.867946924486315,0.0028482589541095173,0.0006545205339223907
-4.845626233978212,0.002932063591196329,0.0006750835293175412
-4.823305543470111,0.003018116963532266,0.0006962470172996396
-4.800984852962008,0.0031064725110744804,0.0007180270116997411
-4.778664162453906,0.003197184736276377,0.000740439904996236
-4.756343471945804,0.0032903092192857063,0.000763502475804977
-4.7340227814377025,0.00338590263319375,0.0007872318964752274
-4.711702090929601,0.0034840227593306984,0.0008116457407917286
-4.689381400421499,0.003584728502601541,0.0008367619917831133
-4.667060709913397,0.0036880799068572372,0.0008625990496368712
-4.644740019405295,0.003794138170295259,0.0008891757397209863
-4.622419328897193,0.0039029656608837934,0.0009165113207123879
-4.600098638389091,0.004014625931803301,0.0009446254928322562
