x,case,control
-5.803897152403229,2.87088079594355e-05,0.00010915381628609084
-5.780684857995073,2.986233082399905e-05,0.0001132455976415311
-5.7574725635869175,3.105989347869694e-05,0.00011748202681589523
-5.734260269178763,3.230308044049995e-05,0.00012186787302429238
-5.711047974770607,3.359352933119722e-05,0.00012640804974997717
-5.6878356803624515,3.493293250631456e-05,0.00013110761864120816
-5.664623385954296,3.6323038728419286e-05,0.00013597179349731465
-5.641411091546141,3.7765654885826945e-05,0.00014100594434548162
-5.618198797137985,3.9262647757734344e-05,0.00014621560160977095
-5.59498650272983,4.0815945826827125e-05,0.00015160646037390597
-5.571774208321674,4.242754114042106e-05,0.00015718438473935218
-5.5485619139135185,4.409949122121419e-05,0.00016295541228024543
-5.525349619505364,4.5833921028744753e-05,0.00016892575859669224
-5.502137325097208,4.7633024972664706e-05,0.00017510182196801851
-5.4789250306890525,4.9499068978955457e-05,0.00018149018810749684
-5.455712736280897,5.143439261022561e-05,0.0001880976350201292
-5.432500441872741,5.344141124125619e-05,0.00019493113796503764
-5.409288147464586,5.552261829095924e-05,0.00020199787452402008
-5.386075853056431,5.7680587511950605e-05,0.0002093052297778475
-5.362863558648275,5.9917975338935005e-05,0.00021686080159184263
-5.3396512642401195,6.223752329713294e-05,0.00022467240601233422
-5.316438969831964,6.464206047198451e-05,0.00023274808277550546
-5.293226675423809,6.713450604138582e-05,0.00024109610093022915
-5.2700143810156534,6.971787187172674e-05,0.0002497249645764135
-5.246802086607498,7.239526517901332e-05,0.0002586434187204208
-5.223589792199342,7.516989125638237e-05,0.0002678604552490951
-5.200377497791187,7.804505626931099e-05,0.0002773853190239183
-5.177165203383032,8.102417011986168e-05,0.0002872275140968434
-5.153952908974876,8.411074938129968e-05,0.00029739681004928005
-5.1307406145667205,8.730842030444444e-05,0.0003079032484557803
-5.107528320158565,9.062092189712736e-05,0.0003187571494738627
-5.08431602575041,9.405210907813555e-05,0.00032996911856149623
-5.061103731342254,9.760595590705026e-05,0.00034155005332366014
-5.037891436934099,0.00010128655889137967,0.0003535111504894614
-5.014679142525943,0.00010509814037242365,0.00036586391302120017
-4.991466848117788,0.00010904505199129197,0.0003786201573568049
-4.968254553709633,0.00011313177823653782,0.00039179202078702566
-4.945042259301477,0.0001173629400748544,0.00040539196896871175
-4.9218299648933215,0.00012174329866631465,0.0004194328035755625
-4.898617670485166,0.00012627775916562503,0.0004339276700875941
-4.875405376077011,0.0001309713746108912,0.0004488900657206704
-4.852193081668855,0.00013582934990139306,0.0004643338474972896
-4.8289807872607,0.00014085704586587163,0.00048027324045988044
-4.805768492852544,0.00014605998342285796,0.0004967228460277906
-4.782556198444389,0.0001514438478345471,0.0005136976504990956
-4.759343904036234,0.00015701449305577554,0.0005312130336983795
-4.736131609628078,0.00016277794617961018,0.0005492847777715071
-4.7129193152199225,0.00016874041198111214,0.0005679290761284935
-4.689707020811767,0.00017490827756081652,0.0005871625425353754
-4.666494726403611,0.0001812881170894741,0.0006070022203561174
-4.643282431995456,0.00018788669665562372,0.0006274655919453635
-4.620070137587301,0.0001947109792175297,0.0006485705881929663
-4.596857843179145,0.00020176812966107215,0.0006703355982210156
-4.57364554877099,0.00020906551996511958,0.0006927794792341598
-4.550433254362835,0.00021661073447596955,0.0007159215665238895
-4.527220959954679,0.00022441157529239395,0.0007397816836273883
-4.5040086655465235,0.00023247606776285852,0.0007643801526415824
-4.480796371138368,0.0002408124660964622,0.0007897378046927952
-4.457584076730212,0.0002494292590891515,0.0008158759905625606
-4.434371782322057,0.0002583351759667389,0.0008428165914698423
-4.411159487913902,0.00026753919234627786,0.0008705820300100875
-4.387947193505746,0.0002770505363173175,0.0008991952812512131
-4.3647348990975905,0.00028687869464454676,0.0009286798839867899
-4.341522604689436,0.0002970334190933608,0.0009590599521464129
-4.31831031028128,0.00030752473287981596,0.0009903601863633003
-4.2950980158731245,0.0003183629372464937,0.0010226058856990215
-4.271885721464969,0.00032955861816572367,0.001055822959525127
-4.248673427056813,0.000341122653171622,0.0010900379395615302
-4.2254611326486575,0.0003530662183223975,0.0011252779920711174
-4.202248838240503,0.00036540079529433813,0.0011615709302103207
-4.179036543832347,0.0003781381786088827,0.0011989452265349376
-4.1558242494241915,0.00039129048299414585,0.001237430025660648
-4.132611955016037,0.0004048701508822849,0.001277055157077462
-4.109399660607881,0.0004188899600440017,0.0013178511481172057
-4.0861873661997254,0.0004333630313615132,0.0013598492370731294
-4.06297507179157,0.00044830283674126555,0.001403081386470486
-4.039762777383414,0.0004637232071676286,0.0014475802964870144
-4.0165504829752585,0.000479638340898806,0.00149337941852184
-3.9933381885671038,0.0004960628118061277,0.00154051296891157
-3.970125894158948,0.0005130115778578952,0.0015890159427918357
-3.9469135997507925,0.0005304999897488605,0.0016389241281027423
-3.9237013053426373,0.0005485437996764582,0.0016902741197363656
-3.9004890109344816,0.0005671591702647679,0.0017431033338243286
-3.8772767165263264,0.0005863626836372523,0.0017974500221634698
-3.854064422118171,0.0006061713506391658,0.0018533532867772602
-3.830852127710015,0.0006266026202105727,0.001910853094610784
-3.80763983330186,0.0006476743889107909,0.0019699902923565825
-3.7844275388937043,0.000669405010595083,0.002030806621408938
-3.761215244485549,0.000691813306244314,0.0020933447329436012
-3.7380029500773935,0.000714918573948289,0.0021576482031201477
-3.7147906556692383,0.0007387405990433805,0.0022237615484038075
-3.6915783612610826,0.0007632996644050171,0.0022917302410035167
-3.6683660668529274,0.0007886165608955413,0.002361600724422751
-3.645153772444772,0.0008147125979678924,0.002433420429119585
-3.621941478036616,0.00084160961442545,0.0025072377882721973
-3.598729183628461,0.0008693299893383834,0.002583102253645851
-3.5755168892203053,0.0008978966531166978,0.0026610643115574035
-3.55230459481215,0.0009273330987401669,0.002741175498932832
-3.5290923004039945,0.0009576633931451936,0.0028234884194535677
-3.5058800059958393,0.0009889121887686385,0.002908056759786796
-3.4826677115876836,0.0010211047352484631,0.0029949353058950625
-3.459455417179528,0.0010542668912810972,0.0030841799594200437
-3.436243122771373,0.0010884251366351941,0.0031758477541354024
-3.413030828363217,0.0011236065843214776,0.0032699968724632755
-3.389818533955062,0.001159838992918188,0.0033666866620487425
-3.3666062395469063,0.0011971507790516308,0.0034659776523867517
-3.343393945138751,0.0012355710300311275,0.003567931571495122
-3.3201816507305955,0.0012751295166376906,0.0036726113626278636
-3.29696935632244,0.001315856706065525,0.0037800812010221232
-3.2737570619142846,0.0013577837750153735,0.003890406510672293
-3.250544767506129,0.0014009426229387504,0.004003653981124505
-3.2273324730979738,0.0014453658854317276,0.004119891584284414
-3.204120178689818,0.0014910869477770764,0.0042391885912311964
-3.180907884281663,0.0015381399586333324,0.004361615589030051
-3.1576955898735073,0.0015865598438691876,0.004487244497536004
-3.1344832954653516,0.0016363823205416106,0.004616148586180648
-3.1112710010571965,0.0016876439110158307,0.004748402490734074
-3.088058706649041,0.001740381957225347,0.004884082230033633
-3.0648464122408856,0.0017946346350697397,0.005023265222670855
-3.04163411783273,0.0018504409689483227,0.005166030303627967
-3.0184218234245748,0.0019078408464270205,0.005312457740854873
-2.995209529016419,0.001966875033036231,0.005462629251777606
-2.9719972346082635,0.002027585187196856,0.005616628019728467
-2.9487849402001083,0.002090013875271856,0.00577453871028876
