multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
1.0,0.0,0.0,0.9931,0.0103
1.0,1.0,0.2773,1.0,0.9991
1.0,0.7689,1.0,1.0,1.0
0.0119,0.0,0.0,1.0,0.0016
0.9997,0.0014,0.0,0.9988,1.0
