key,accuracy,auc,size,threshold
baseline,0.4973190348525469,0.49736216029727803,746,"0.212,0.206"
delta,0.5495978552278821,0.5496481682467351,746,"0.456,0.547"
features,0.5777479892761395,0.6006368190671966,746,"0.418,0.582"
nn,0.5495978552278821,0.5721668379705165,746,"0.461,0.558"
