year,stable_size,stable_mean,stable_std,declining_size,declining_mean,declining_std,declining_lower,declining_upper,stable_lower,stable_upper
-8.5,18.0,0.12200722416333336,,15.0,0.39568779612533334,,0.32076681452971256,0.4874330688295758,0.06511812097452187,0.06451724911411684
-7.5,18.0,0.12786367741111113,,23.0,0.333777688492174,,0.27569372851442375,0.45290274757054544,0.07882573501191431,0.0767027353395249
-6.5,21.0,0.16942168935619048,,21.0,0.5180420890904761,,0.356895963392899,0.380857747189565,0.13437674420712836,0.14482805576167704
-5.5,28.0,0.12165968175642858,,24.0,0.4819550713,,0.3341762493661337,0.3879390839958206,0.0822787238108111,0.08455887039174698
-4.5,59.0,0.19954798393484743,,59.0,0.6015394282864406,,0.3666971011156312,0.32875207313267363,0.16672674070614604,0.19401960559439654
-3.5,81.0,0.23889973395891356,,87.0,0.6435984371487358,,0.3800500534758626,0.3111086682942904,0.19975824475882994,0.2527350532198224
-2.5,161.0,0.36162477773162716,,159.0,0.6847341261295598,,0.3461741509295248,0.2838967155985882,0.30385791110759586,0.39349933375682844
-1.5,231.0,0.38119494966236345,,232.0,0.7321795650176722,,0.3300775687934567,0.24462487814786327,0.32639044856479166,0.44145309342501415
-0.5,40.0,0.4231099214302,,37.0,0.7182568948875674,,0.2941908934277845,0.2383836437921002,0.374264371734859,0.4893046301319559
