age,controls,patients
0.0,7.033773343802488e-72,4.103937575904373e-57
0.5,4.813430082262114e-68,1.0383767174193454e-53
1.0,2.5717917539271395e-64,2.0512753791711418e-50
1.5,1.0728321176511671e-60,3.163791267006182e-47
2.0,3.4941582704679147e-57,3.8098379939178744e-44
2.5,8.88522078285891e-54,3.581954163743559e-41
3.0,1.7640412206181816e-50,2.629349816354296e-38
3.5,2.7344129654088685e-47,1.5069246791058017e-35
4.0,3.3092865641476944e-44,6.742943974538165e-33
4.5,3.126940273060739e-41,2.3557130474046656e-30
5.0,2.3068523811306762e-38,6.4255462522258525e-28
5.5,1.3287251211716494e-35,1.3683983826740638e-25
6.0,5.975383728230775e-33,2.2752539844007805e-23
6.5,2.0980318542123964e-30,2.9536705453924566e-21
7.0,5.751412147214146e-28,2.9937054433368876e-19
7.5,1.2309881689478886e-25,2.36903211777376e-17
8.0,2.0570821078333347e-23,1.4636854088547765e-15
8.5,2.683922730763365e-21,7.060566647974388e-14
9.0,2.7340897355438553e-19,2.6591732221353525e-12
9.5,2.1746333540261345e-17,7.819329364941318e-11
10.0,1.350516706782911e-15,1.7951859713307631e-09
10.5,6.548941838076489e-14,3.2178762021278576e-08
11.0,2.4798583370404076e-12,4.5035587852339367e-07
11.5,7.333512374044541e-11,4.921352298110531e-06
12.0,1.6939484784062678e-09,4.1994402571941716e-05
12.5,3.057116238097969e-08,0.0002798735617770843
13.0,4.3126515591916677e-07,0.0014574630790986974
13.5,4.759028507035081e-06,0.005937164837013292
14.0,4.112943892321703e-05,0.018969531031634474
14.5,0.00027891939599141943,0.047838242996790625
15.0,0.0014886896139991827,0.09664014347412253
15.5,0.006282519771780547,0.16155055413270525
16.0,0.021106370377272955,0.2374717048223995
16.5,0.05697712084902876,0.33236056892751253
17.0,0.12504723344814778,0.46395832471841925
17.5,0.22600144037326464,0.6323690198581757
18.0,0.34047103968484704,0.8045132993619946
18.5,0.43216744538928425,0.9345009044064642
19.0,0.46792312600962327,0.9911044970351602
19.5,0.440834384554362,0.9616183792942173
20.0,0.37198220492406786,0.8448314804051245
20.5,0.28790152754010717,0.6564455275183132
21.0,0.2033783187247034,0.4387355193484517
21.5,0.12647439696713716,0.24878182229158283
22.0,0.06622230605576154,0.1279380924612411
22.5,0.02821827962023354,0.08399990773336073
23.0,0.00958797287251091,0.09748805697134079
23.5,0.0025699176462332177,0.13456068193013945
24.0,0.0005410982206700891,0.15896198033568035
24.5,9.623957776756872e-05,0.14913733597443798
25.0,7.569692213779657e-05,0.11131587401627586
25.5,0.0004432586971272595,0.07257785291431268
26.0,0.0023751432301946187,0.061961941496618364
26.5,0.009961981015146457,0.09876333576349913
27.0,0.0326273151375274,0.1863871670593478
27.5,0.08346665791758481,0.30256669735873926
28.0,0.16696745122371204,0.3992900043823119
28.5,0.26227910854254716,0.42916769737288646
29.0,0.3285444448983999,0.37940707242878824
29.5,0.34589491975588776,0.2779638953790609
30.0,0.3521137319304272,0.16902600988015076
30.5,0.41727124657877174,0.08515512024762473
31.0,0.5656927397510714,0.03691333535677039
