x,patient,control
-20.0,7.455335657018052e-14,4.087493784604425e-18
-19.798994974874372,3.101035969225194e-13,2.1879264293179708e-17
-19.597989949748744,1.2387954388347425e-12,1.1247643658767275e-16
-19.396984924623116,4.7527567045553415e-12,5.5532039202162e-16
-19.195979899497488,1.7512363387748363e-11,2.633170316999104e-15
-18.99497487437186,6.197223080897746e-11,1.1991335705761997e-14
-18.79396984924623,2.1062149517747923e-10,5.244565197302945e-14
-18.592964824120603,6.874821816084991e-10,2.202950711889921e-13
-18.391959798994975,2.1551296206499825e-09,8.88696570028331e-13
-18.190954773869347,6.488413842933904e-09,3.4431484862104374e-12
-17.98994974874372,1.8761039097806945e-08,1.2811844352197902e-11
-17.78894472361809,5.209888644077948e-08,4.5784807068916144e-11
-17.587939698492463,1.3894829073403245e-07,1.5713944127603034e-10
-17.386934673366834,3.5590263889658765e-07,5.17968617968311e-10
-17.185929648241206,8.755127312664164e-07,1.639746071530944e-09
-16.984924623115578,2.0684595173714123e-06,4.985461027845554e-09
-16.78391959798995,4.693371813912447e-06,1.4557625962907322e-08
-16.582914572864322,1.0227662616836956e-05,4.0825694790287794e-08
-16.381909547738694,2.1405310192852736e-05,1.0996037403854887e-07
-16.180904522613066,4.302498178402443e-05,2.8444672260288677e-07
-15.979899497487438,8.305666008096956e-05,7.066937540790933e-07
-15.77889447236181,0.00015398689618707962,1.686289095743427e-06
-15.577889447236181,0.00027418908508519083,3.864649024906439e-06
-15.376884422110553,0.0004688957094815399,8.506968164974533e-06
-15.175879396984925,0.0007701341903739529,1.798620359822862e-05
-14.974874371859297,0.0012148645805801753,3.652772542219504e-05
-14.773869346733669,0.001840656805892416,7.126068713419014e-05
-14.57286432160804,0.0026786848700363812,0.0001335542583884954
-14.371859296482413,0.003744625709049914,0.00024048961355139215
-14.170854271356784,0.00502910185355541,0.00041613703171620536
-13.969849246231156,0.006490284093846826,0.0006921122795816593
-13.768844221105528,0.008051732536019093,0.0011067632012031138
-13.5678391959799,0.009608094896278044,0.0017024052042170469
-13.366834170854272,0.011039734033013135,0.0025203926469319115
-13.165829145728644,0.012234959178133574,0.0035945103964548576
-12.964824120603016,0.013115937448841805,0.004944069192023054
-12.763819095477388,0.01366244412765667,0.00656887837537467
-12.56281407035176,0.013927155064276414,0.008448517723324875
-12.361809045226131,0.01403754879546683,0.010547656418918994
-12.160804020100503,0.014182423682835439,0.012827477689113475
-11.959798994974873,0.014584763310385858,0.015260935962409763
-11.758793969849245,0.015466152705283303,0.01784743533121587
-11.557788944723617,0.017010192758594708,0.020621604912539504
-11.356783919597989,0.019332779031844917,0.0236519165843162
-11.15577889447236,0.022465601215772565,0.027027961988217393
-10.954773869346733,0.026356169363214724,0.030839359213446882
-10.753768844221105,0.030883859832500433,0.035152889267573095
-10.552763819095476,0.03588789598545476,0.039995938050648085
-10.351758793969848,0.041200821202476125,0.045352774902814405
-10.15075376884422,0.046680565021174666,0.051176038101531096
-9.949748743718592,0.05223574925421723,0.05741060997403056
-9.748743718592964,0.05784183633228111,0.0640229314834111
-9.547738693467336,0.06354895431097653,0.07102732896461304
-9.346733668341708,0.06948449081248459,0.07850247352445423
-9.14572864321608,0.07585397258958304,0.0865946854406023
-8.944723618090451,0.08294222047185824,0.09550867831481054
-8.743718592964823,0.09111393109855259,0.10548893468809897
-8.542713567839195,0.10080979409617713,0.11679560270432601
-8.341708542713567,0.11253217491628,0.12967813627812005
-8.140703517587939,0.12681419655310408,0.1443490561421901
-7.939698492462311,0.14416824883762497,0.16096017181381134
-7.738693467336683,0.1650145557676929,0.17958447411904518
-7.537688442211055,0.18959681060888794,0.20020780611758218
-7.3366834170854265,0.21789861304910874,0.22273406369695184
-7.135678391959798,0.24957933798710186,0.2470052787478149
-6.93467336683417,0.2839487578774613,0.27283388213479465
-6.733668341708542,0.3199946765683452,0.30004027827646657
-6.532663316582914,0.3564673460043378,0.3284865352470688
-6.331658291457286,0.39201117322573553,0.3580977325994639
-6.130653266331658,0.4253224192493741,0.3888660339415973
-5.92964824120603,0.45530532950878144,0.4208371733789641
-5.7286432160804015,0.481200431998332,0.45408268985213973
-5.527638190954773,0.5026665480122698,0.4886627954067943
-5.326633165829145,0.5198088889262669,0.5245847923664749
-5.125628140703517,0.53315544562412,0.5617621886796473
-4.924623115577889,0.5435902503719737,0.5999814146731202
-4.723618090452261,0.552255014230697,0.6388856753393258
-4.522613065326633,0.5604318278196241,0.6779861660133968
-4.321608040201005,0.5694206242259922,0.71670632101471
-4.1206030150753765,0.5804258323564446,0.7544539017172448
-3.9195979899497466,0.5944653038078825,0.7907017784085723
-3.7185929648241185,0.612309302356451,0.8250482018410691
-3.5175879396984904,0.6344482480981802,0.8572285852391665
-3.3165829145728623,0.661078159662253,0.8870664899249762
-3.115577889447234,0.6920873943457491,0.914377438626671
-2.914572864321606,0.727031522350202,0.9388645039146588
-2.713567839195978,0.7650954110997332,0.9600565268339577
-2.5125628140703498,0.8050583849939454,0.9773301536708875
-2.3115577889447216,0.8452918518352166,0.990027022465317
-2.1105527638190935,0.8838214321130756,0.9976386293477391
-1.9095477386934654,0.9184737720702084,1.0
-1.7085427135678373,0.9471043340404448,0.9974231655953276
-1.5075376884422091,0.9678744006093591,0.9907174955010984
-1.306532663316581,0.9795234320114976,0.9810798943561757
-1.105527638190953,0.9815751126015514,0.9698793964809459
-0.9045226130653248,0.9744252842861673,0.9583920731985139
-0.7035175879396967,0.9592848892660832,0.9475531067666358
-0.5025125628140685,0.9379837607925419,0.9377821760008413
-0.3015075376884404,0.9126724624414682,0.9289130551542618
-0.10050251256281229,0.8854813402194084,0.9202296821037339
0.10050251256281584,0.8582036603355724,0.9105887711508507
0.30150753768844396,0.8320622317674119,0.8985982263787267
0.5025125628140721,0.8075988668441713,0.8828203222961799
0.7035175879397002,0.7846985414258199,0.861974211698496
0.9045226130653283,0.7627315954462803,0.8351184742575053
1.1055276381909565,0.740774187907526,0.8017978443066093
1.3065326633165846,0.717854575202148,0.7621388711549635
1.5075376884422127,0.6931730891381269,0.7168796258908702
1.7085427135678408,0.6662559830034435,0.6673220872039506
1.909547738693469,0.6370233255894994,0.6152047095374362
2.110552763819097,0.6057726376349215,0.562506432468327
2.311557788944725,0.5730970001648492,0.5112087113383365
2.5125628140703533,0.5397652826387714,0.46305403414865953
2.7135678391959814,0.5065926747315581,0.41934320447283285
2.9145728643216096,0.4743244101476153,0.38080717743076853
3.1155778894472377,0.44354804766764394,0.3475736731344694
3.316582914572866,0.4146426471716575,0.319228494015551
3.517587939698494,0.3877674769449002,0.29495222389770726
3.718592964824122,0.3628878190903438,0.27369988300299714
3.91959798994975,0.3398301109580874,0.2543868789135081
4.120603015075378,0.31835326899628047,0.23604900406744653
4.321608040201006,0.29821920926075585,0.21795469861728883
4.5226130653266345,0.27924550390023173,0.19966066814366087
4.723618090452263,0.26132808712961975,0.18101382890894882
4.924623115577891,0.24443117814393248,0.16211118120082227
5.125628140703519,0.2285522193353729,0.1432336580911437
5.326633165829147,0.21367771987573045,0.12477043380534109
5.527638190954775,0.1997482615998205,0.10714746805903916
5.728643216080403,0.18664658629325143,0.09076943440846454
5.929648241206031,0.1742133469578253,0.07597898873198718
6.1306532663316595,0.16228443909470336,0.06303286010300758
6.331658291457288,0.15073590358791167,0.05209143302406205
6.532663316582916,0.1395200162371546,0.04321767093477472
6.733668341708544,0.1286798403266158,0.036382016512741554
6.934673366834172,0.1183373742164564,0.03147136348546712
7.1356783919598,0.10865924636142295,0.02830131303932132
7.336683417085428,0.0998105061504628,0.026631127457524068
7.537688442211056,0.09190952299972906,0.026180216752782336
7.7386934673366845,0.08499524784110958,0.02664436273887116
7.939698492462313,0.07901352270793277,0.027709994868856825
8.14070351758794,0.07382376772723398,0.029065978323221598
8.341708542713569,0.06922290569647176,0.030414073183347497
8.542713567839197,0.06498057822344669,0.03148043240651463
8.743718592964825,0.06087847913489559,0.03203024931363015
8.944723618090453,0.05674650637680681,0.031885692647283415
9.145728643216081,0.052489080174612145,0.03094433949102202
9.34673366834171,0.048096439380684974,0.029192899346314534
9.547738693467338,0.04363825593434517,0.026710533121818987
9.748743718592966,0.039240507573306466,0.023658091213669782
9.949748743718594,0.03505062947928933,0.02025350954982618
10.150753768844222,0.031199340254664417,0.016737865609388853
10.35175879396985,0.027768867596505785,0.013339480011189817
10.552763819095478,0.0247757597577635,0.010243856202555532
10.753768844221106,0.022172272203658965,0.007575168816424344
10.954773869346734,0.01986477282230264,0.005391413313158718
11.155778894472363,0.017742640060210105,0.0036916372882414335
11.35678391959799,0.015708480703353945,0.002431106944137564
