key,accuracy,auc,size,threshold
baseline,0.5241448692152918,0.5160358529446296,994,"0.471,0.513"
delta,0.6438631790744467,0.697622353841358,994,"0.374,0.658"
features,0.7645875251509054,0.8375362841030083,994,"0.241,0.771"
nn,0.7676056338028169,0.8421515005526113,994,"0.233,0.769"
