age,fifth,ninetyfifth,baseline
54.6,1.0,1.0,1.0
55.1,1.0,1.0,1.0
55.2,1.0,1.0,1.0
55.3,1.0,1.0,1.0
55.4,1.0,1.0,1.0
55.5,1.0,1.0,1.0
55.6,1.0,1.0,1.0
55.7,1.0,1.0,1.0
55.8,1.0,1.0,1.0
55.9,1.0,1.0,1.0
56.0,1.0,1.0,1.0
56.1,1.0,1.0,1.0
56.2,0.9999502786682323,0.9999349688517872,0.9999411501104495
56.3,0.9999502786682323,0.9999349688517872,0.9999411501104495
56.4,0.9999005243395249,0.9998698955431472,0.9998822617036958
56.5,0.9999005243395249,0.9998698955431472,0.9998822617036958
56.6,0.9999005243395249,0.9998698955431472,0.9998822617036958
56.7,0.9999005243395249,0.9998698955431472,0.9998822617036958
56.8,0.9998497083747566,0.9998034347579505,0.9998221173172583
56.9,0.9998497083747566,0.9998034347579505,0.9998221173172583
57.0,0.9998497083747566,0.9998034347579505,0.9998221173172583
57.1,0.9997978491678806,0.9997356106177872,0.9997607387566055
57.2,0.9997978491678806,0.9997356106177872,0.9997607387566055
57.3,0.9997978491678806,0.9997356106177872,0.9997607387566055
57.4,0.9997453254807666,0.9996669185403421,0.9996985743385298
57.5,0.9997453254807666,0.9996669185403421,0.9996985743385298
57.6,0.9997453254807666,0.9996669185403421,0.9996985743385298
57.7,0.9997453254807666,0.9996669185403421,0.9996985743385298
57.8,0.999637913593447,0.999526445463201,0.999571448849527
57.9,0.9995292319769749,0.9993843165669343,0.9994428231470027
58.0,0.9995292319769749,0.9993843165669343,0.9994428231470027
58.1,0.9994748184990933,0.9993131588723559,0.9993784252551573
58.2,0.9994748184990933,0.9993131588723559,0.9993784252551573
58.3,0.9992026554063106,0.9989572631516058,0.9990563321939349
58.4,0.9992026554063106,0.9989572631516058,0.9990563321939349
58.5,0.9992026554063106,0.9989572631516058,0.9990563321939349
58.6,0.9992026554063106,0.9989572631516058,0.9990563321939349
58.7,0.9992026554063106,0.9989572631516058,0.9990563321939349
58.8,0.9990886888712825,0.9988082429861138,0.9989214625918548
58.9,0.9990886888712825,0.9988082429861138,0.9989214625918548
59.0,0.9990886888712825,0.9988082429861138,0.9989214625918548
59.1,0.9990313751561013,0.9987333027951821,0.9988536378017986
59.2,0.9989740488230007,0.9986583474300346,0.998785798794384
59.3,0.9987160727081869,0.9983210547208575,0.9984805230944294
59.4,0.9987160727081869,0.9983210547208575,0.9984805230944294
59.5,0.9987160727081869,0.9983210547208575,0.9984805230944294
59.6,0.9987160727081869,0.9983210547208575,0.9984805230944294
59.7,0.9986578239842463,0.9982449007240578,0.9984115965460804
59.8,0.9985995478897398,0.9981687123118536,0.9983426383483881
59.9,0.9985995478897398,0.9981687123118536,0.9983426383483881
60.0,0.9985995478897398,0.9981687123118536,0.9983426383483881
60.1,0.9985409969467757,0.9980921659498172,0.9982733556661504
60.2,0.9985409969467757,0.9980921659498172,0.9982733556661504
60.3,0.9984531113402008,0.9979772716163425,0.9981693630014277
60.4,0.9984531113402008,0.9979772716163425,0.9981693630014277
60.5,0.9983942849258239,0.9979003685939649,0.998099756232952
60.6,0.9983942849258239,0.9979003685939649,0.998099756232952
60.7,0.9983354373247387,0.9978234392704741,0.9980301251485557
60.8,0.9982765701545613,0.9977464857620282,0.9979604716630927
60.9,0.9981585669813671,0.9975922315240563,0.9978208488716898
61.0,0.9981585669813671,0.9975922315240563,0.9978208488716898
61.1,0.9981585669813671,0.9975922315240563,0.9978208488716898
61.2,0.9980105673323598,0.9973987737060978,0.9976457381688649
61.3,0.9980105673323598,0.9973987737060978,0.9976457381688649
61.4,0.9978913949943369,0.9972430039429445,0.99750473892208
61.5,0.9978913949943369,0.9972430039429445,0.99750473892208
61.6,0.9978913949943369,0.9972430039429445,0.99750473892208
61.7,0.9978913949943369,0.9972430039429445,0.99750473892208
61.8,0.9978913949943369,0.9972430039429445,0.99750473892208
