age,fifth,ninetyfifth,baseline
54.6,1.0,1.0,1.0
55.1,1.0,1.0,1.0
55.2,1.0,1.0,1.0
55.3,1.0,1.0,1.0
55.4,1.0,1.0,1.0
55.5,1.0,1.0,1.0
55.6,1.0,1.0,1.0
55.7,1.0,1.0,1.0
55.8,1.0,1.0,1.0
55.9,1.0,1.0,1.0
56.0,1.0,1.0,1.0
56.1,1.0,1.0,1.0
56.2,0.9999318923306278,0.999950448199569,0.9999411501104495
56.3,0.9999318923306278,0.999950448199569,0.9999411501104495
56.4,0.999863740716044,0.9999008635062961,0.9998822617036958
56.5,0.999863740716044,0.9999008635062961,0.9998822617036958
56.6,0.999863740716044,0.9999008635062961,0.9998822617036958
56.7,0.999863740716044,0.9999008635062961,0.9998822617036958
56.8,0.9997941362066451,0.9998502207878849,0.9998221173172583
56.9,0.9997941362066451,0.9998502207878849,0.9998221173172583
57.0,0.9997941362066451,0.9998502207878849,0.9998221173172583
57.1,0.9997231040786213,0.9997985383750325,0.9997607387566055
57.2,0.9997231040786213,0.9997985383750325,0.9997607387566055
57.3,0.9997231040786213,0.9997985383750325,0.9997607387566055
57.4,0.9996511631934649,0.999746193737915,0.9996985743385298
57.5,0.9996511631934649,0.999746193737915,0.9996985743385298
57.6,0.9996511631934649,0.999746193737915,0.9996985743385298
57.7,0.9996511631934649,0.999746193737915,0.9996985743385298
57.8,0.9995040471377714,0.9996391479818713,0.999571448849527
57.9,0.9993551979547117,0.9995308367848407,0.9994428231470027
58.0,0.9993551979547117,0.9995308367848407,0.9994428231470027
58.1,0.99928067608397,0.9994766087492746,0.9993784252551573
58.2,0.99928067608397,0.9994766087492746,0.9993784252551573
58.3,0.9989079581801055,0.9992053730431234,0.9990563321939349
58.4,0.9989079581801055,0.9992053730431234,0.9990563321939349
58.5,0.9989079581801055,0.9992053730431234,0.9990563321939349
58.6,0.9989079581801055,0.9992053730431234,0.9990563321939349
58.7,0.9989079581801055,0.9992053730431234,0.9990563321939349
58.8,0.9987518961190964,0.9990917947704262,0.9989214625918548
58.9,0.9987518961190964,0.9990917947704262,0.9989214625918548
59.0,0.9987518961190964,0.9990917947704262,0.9989214625918548
59.1,0.998673415072058,0.9990346762954887,0.9988536378017986
59.2,0.9985949184125213,0.9989775452344383,0.998785798794384
59.3,0.998241693632067,0.9987204477314396,0.9984805230944294
59.4,0.998241693632067,0.9987204477314396,0.9984805230944294
59.5,0.998241693632067,0.9987204477314396,0.9984805230944294
59.6,0.998241693632067,0.9987204477314396,0.9984805230944294
59.7,0.9981619432711173,0.9986623973589381,0.9984115965460804
59.8,0.9980821571575278,0.9986043196975212,0.9983426383483881
59.9,0.9980821571575278,0.9986043196975212,0.9983426383483881
60.0,0.9980821571575278,0.9986043196975212,0.9983426383483881
60.1,0.9980019964814656,0.9985459681118813,0.9982733556661504
60.2,0.9980019964814656,0.9985459681118813,0.9982733556661504
60.3,0.9978816776914663,0.9984583817209349,0.9981693630014277
60.4,0.9978816776914663,0.9984583817209349,0.9981693630014277
60.5,0.9978011442460348,0.9983997555724777,0.998099756232952
60.6,0.9978011442460348,0.9983997555724777,0.998099756232952
60.7,0.9977205835516425,0.9983411082976547,0.9980301251485557
60.8,0.9976399978246493,0.9982824415085623,0.9979604716630927
60.9,0.9974784636461764,0.9981648399771093,0.9978208488716898
61.0,0.9974784636461764,0.9981648399771093,0.9978208488716898
61.1,0.9974784636461764,0.9981648399771093,0.9978208488716898
61.2,0.9972758773675404,0.9980173440003963,0.9976457381688649
61.3,0.9972758773675404,0.9980173440003963,0.9976457381688649
61.4,0.9971127588355094,0.9978985771753803,0.99750473892208
61.5,0.9971127588355094,0.9978985771753803,0.99750473892208
61.6,0.9971127588355094,0.9978985771753803,0.99750473892208
61.7,0.9971127588355094,0.9978985771753803,0.99750473892208
61.8,0.9971127588355094,0.9978985771753803,0.99750473892208
61.9,0.9968664848498965,0.9977192547216068,0.9972918543706747
