x,multi-finetuned,multi-frozen,baseline,linear
0.0,2.152822735858434e-12,3.284037164892801e-19,9.43034354087021e-19,3.2923886427771853e-32
0.002,2.891134258337616e-12,4.978484651480775e-19,1.4694382796225937e-18,5.840624524197423e-32
0.004,3.875428532763848e-12,7.530509475958882e-19,2.283775801071829e-18,1.0337361218816973e-31
0.006,5.1851662908176975e-12,1.1365528252854687e-18,3.5402494735658715e-18,1.8254179138409405e-31
0.008,6.924638875649099e-12,1.7115633349749712e-18,5.473845677694775e-18,3.216008114863804e-31
0.01,9.230453828660565e-12,2.57178351113015e-18,8.441692225053673e-18,5.652937388909377e-31
0.012,1.2281190360252631e-11,3.855794927222458e-18,1.2985083942920942e-17,9.913646443733633e-31
0.014,1.6309827056053536e-11,5.768083483832625e-18,1.9922245667707498e-17,1.7345822144361727e-30
0.016,2.1619703471356705e-11,8.609684555916897e-18,3.0486677971766176e-17,3.028018773101047e-30
0.018000000000000002,2.860497643244628e-11,1.2822745953649787e-17,4.653290843078169e-17,5.273809635607277e-30
0.02,3.777678024599778e-11,1.9055174708050836e-17,7.084163482806423e-17,9.164157551068728e-30
0.022,4.9796608997158466e-11,2.8254194735403695e-17,1.0757100704507473e-16,1.5887766787947953e-29
0.024,6.551882250022217e-11,4.180142038014863e-17,1.6292216635930005e-16,2.748118003359201e-29
0.026000000000000002,8.604465195257181e-11,6.170740076306224e-17,2.4611801316315795e-16,4.7425302518432406e-29
0.028,1.1279066706782064e-10,9.089114645295397e-17,3.708385781078057e-16,8.165580302243981e-29
0.03,1.4757538762829465e-10,1.3358079600482693e-16,5.573200871425219e-16,1.402704563884435e-28
0.032,1.9272860799299814e-10,1.958865398500875e-16,8.354159600574046e-16,2.4040725939339035e-28
0.034,2.512290877453771e-10,2.86617886720913e-16,1.2490479815743368e-15,4.110845519126947e-28
0.036000000000000004,3.268775865676346e-10,4.1844666990827434e-16,1.862660729108087e-15,7.013211683865361e-28
0.038,4.2451383545286865e-10,6.095580617781127e-16,2.770554369487993e-15,1.1937268164554309e-27
0.04,5.502879972712953e-10,8.859887052385864e-16,4.11034124041424e-15,2.0271933101436176e-27
0.042,7.119995455150554e-10,1.2849299138029686e-15,6.0822933473465384e-15,3.4346903520040644e-27
0.044,9.195193605781209e-10,1.8593829690691793e-15,8.97708068069776e-15,5.806069466641068e-27
0.046,1.1853143014966353e-09,2.684704054693275e-15,1.3215426297819897e-14,9.792172980555888e-27
0.048,1.52509766634949e-09,3.867783502297575e-15,1.9404636337402836e-14,1.6476999842021858e-26
0.05,1.9586339325497927e-09,5.559888340821909e-15,2.8418956124121065e-14,2.766173458673514e-26
0.052000000000000005,2.5107321146623917e-09,7.974586363312817e-15,4.15134681879232e-14,4.63321969782262e-26
0.054,3.2124691596732915e-09,1.1412701350732942e-14,6.048507114721937e-14,7.742631494330234e-26
0.056,4.10269320967249e-09,1.6296972747223637e-14,8.789934860605489e-14,1.2909115816398723e-25
0.058,5.229866518437708e-09,2.3220075872559735e-14,1.2740937929778712e-13,2.14736868840117e-25
0.06,6.654319559643449e-09,3.3010989911172925e-14,1.8420245993964936e-13,3.56384614564776e-25
0.062,8.451001690640117e-09,4.6826499076589e-14,2.6562425780770203e-13,5.901106997538645e-25
