thresholds,test,sex,randomized_images,randomized_weights
0.0,0.6107621934065198,0.6107629537598713,0.6107621934065198,0.6670752337017433
0.01,0.6051011230949896,0.6069259700451681,0.602076608242379,0.6639763049675428
0.02,0.6018240713800795,0.6048476384443798,0.5946682184075259,0.6613379605348949
0.03,0.5990710369449179,0.6021696707789738,0.5883351682398262,0.6589785927016508
0.04,0.5965840350427679,0.5993046730422792,0.5828366947931266,0.6566782473253633
0.05,0.594222356862527,0.596478604664006,0.5777779200660786,0.6546692091222048
0.06,0.5918870342029398,0.5937361478255525,0.5730124859658261,0.6525995628735235
0.07,0.5895605976865643,0.5911736908028348,0.5674833785184725,0.6505616365946939
0.08,0.5872899576805766,0.5887594222805711,0.5607990978247709,0.6484983427576634
0.09,0.5851384406496423,0.5862447125176249,0.5537960206799311,0.646277278660949
0.1,0.5831697517996082,0.5837019990106961,0.5465207295504074,0.6441488501672823
0.11,0.5811907469314631,0.5810625975537138,0.5393260538791244,0.6421913058789498
0.12,0.5792352748546904,0.5784550488742886,0.5322445883163104,0.6401570922042199
0.13,0.5771824104946229,0.5756617039778711,0.5254311945848864,0.6380982861652162
0.14,0.5750992327064989,0.5727978384753684,0.518945390293209,0.6362353022844404
0.15,0.5728161202037925,0.5696029569689279,0.512414555307422,0.6341345911149058
0.16,0.5702077393075357,0.5661751527494908,0.5061262729124235,0.6319002258710025
0.17,0.567151750391742,0.5627380396730116,0.49991182655527655,0.629570793672914
0.18,0.5639779071099029,0.5591394658891284,0.4938047459934266,0.6270404318187636
0.19,0.5603358694070657,0.5558366461872064,0.4878535992377698,0.624268370275896
0.2,0.5563882476051258,0.5526853288954069,0.48174630254632683,0.6213714040520876
0.21,0.5521462649820836,0.5495918636446322,0.47574233078053607,0.6183172621932752
0.22,0.5477981692067814,0.5462599168778351,0.46959782695051216,0.615147367558747
0.23,0.5432771708942788,0.5429522927852867,0.4631478121335556,0.6118070774139855
0.24,0.5383878119447424,0.5395863680747868,0.4561656608666421,0.6082684208233073
0.25,0.5335528556829794,0.5361218349040536,0.4488363558208568,0.6046677362784971
0.26,0.5287413484143555,0.532624286912062,0.44099762441021256,0.6008865392384687
0.27,0.5241268831103224,0.5291368796679028,0.4328855757407843,0.59707803388622
0.28,0.5196633114327006,0.5256806612114853,0.4247575186510914,0.5931511694341915
0.29,0.5152140179079159,0.5221257323750745,0.41647952348365824,0.5890449833081302
0.3,0.5108019008825526,0.5187834351663273,0.4079054989816701,0.5849901656121573
0.31,0.5063125845066465,0.5153773170110846,0.39934080683392237,0.5809742364380515
0.32,0.5019626610788178,0.5121625724082446,0.3907017778282195,0.5770290985785079
0.33,0.4976148175804996,0.5088612349837347,0.3821773222972425,0.5732923829161023
0.34,0.49344829254692874,0.5055413597413878,0.37368003889320267,0.569814139424052
0.35000000000000003,0.4896729489341319,0.5021696370134986,0.36539272506291925,0.5664609483135329
0.36,0.48589991024272483,0.498702350975301,0.3570890129610456,0.5632020148504858
0.37,0.4823169752933693,0.49516693359466935,0.3488413071788144,0.5601793346170446
0.38,0.47895601114039416,0.4915790932425488,0.3406699198318394,0.5569963816358616
0.39,0.47587250501396683,0.48796211697219977,0.33270552278004983,0.5537717650351062
0.4,0.4727061902212309,0.48404051412513505,0.32495445804278883,0.5504998643552912
0.41000000000000003,0.46946506597349974,0.48014609085185944,0.3172153557774898,0.5469910071714962
0.42,0.4663481486385419,0.4759548166729702,0.3096498639557894,0.5435481510430488
0.43,0.46322026753747075,0.4719749963983288,0.3020601559123433,0.5401996193518507
0.44,0.4602009504412763,0.46803530210454847,0.29464901561439244,0.5366103515909668
