key,accuracy,auc,size,threshold
baseline,0.5185873605947955,0.5207915866281561,538,"0.398,0.435"
delta,0.5408921933085502,0.5570680338856566,538,"0.48,0.561"
features,0.5743494423791822,0.5952239466010696,538,"0.413,0.558"
nn,0.5669144981412639,0.5887978330868839,538,"0.457,0.584"
