year,sample,accuracy,pet
2022,318,88.9,0
2021,54,97.62,0
2021,100,94.0,0
2021,480,97.99,0
2021,504,89.23,0
2020,906,95.3,0
2020,182,88.9,0
2018,500,96.87,0
2018,656,82.0,0
2018,172,85.78,0
2022,200,93.0,1
2022,645,98.45,1
2022,650,95.5,1
2020,642,95.2,1
2020,202,85.0,1
2020,386,97.04,1
2019,269,95.1,1
2019,645,62.9,1
2018,642,94.1,1
2018,153,96.3,1
2017,1513,93.8,1
2017,686,97.159,0
2015,654,97.86,1
2018,30,100.0,0
