AD,CN,volume
1.80499615324157e-06,8.035513552033639e-29,2491.0
2.8233915025050343e-06,2.471227039363564e-27,2579.6666666666665
4.130374779197003e-06,6.776647464938477e-26,2668.3333333333335
5.674998524314737e-06,1.657088286596653e-24,2757.0
7.366861966820574e-06,3.6135437820769864e-23,2845.6666666666665
9.108045680717087e-06,7.027647697865874e-22,2934.3333333333335
1.0834708380259697e-05,1.2190232085240335e-20,3023.0
1.2549332340224864e-05,1.8861692934770672e-19,3111.666666666667
1.4330297337492091e-05,2.6035348062125275e-18,3200.3333333333335
1.6322362588148038e-05,3.206376498887417e-17,3289.0
1.8727069807853947e-05,3.523683676177155e-16,3377.666666666667
2.1811768483457434e-05,3.456078944002092e-15,3466.3333333333335
2.5937098330196232e-05,3.0259393686717445e-14,3555.0
3.157866098487188e-05,2.365523747048795e-13,3643.666666666667
3.930906837256782e-05,1.6515982298001155e-12,3732.3333333333335
4.972154562772571e-05,1.0302305037131188e-11,3821.0
6.330751465766103e-05,5.743671778025409e-11,3909.666666666667
8.032809043779863e-05,2.863384330975142e-10,3998.3333333333335
0.0001007262238256552,1.2772083922869344e-09,4087.0
0.00012410888974275685,5.10099196192298e-09,4175.666666666667
0.00014979768507445798,1.825814264678772e-08,4264.333333333334
0.0001769191021853327,5.8636757012820614e-08,4353.0
0.00020449840607593474,1.692128537067215e-07,4441.666666666667
0.00023153799201006345,4.396070849617949e-07,4530.333333333334
0.0002570892948172065,1.030663625151408e-06,4619.0
0.0002803412327141906,2.187507203595307e-06,4707.666666666667
0.0003007292347747918,4.2200199562553e-06,4796.333333333334
0.0003180262668656295,7.437955866218448e-06,4885.0
0.00033234786865952634,1.2055602326168992e-05,4973.666666666667
0.0003440239979378472,1.811247736758516e-05,5062.333333333334
0.000353363420716686,2.546159250768171e-05,5151.0
0.00036041833186122686,3.384008403526153e-05,5239.666666666667
0.0003648871194242368,4.298404394007611e-05,5328.333333333334
0.00036623889794182356,5.272821254982059e-05,5417.0
0.00036402738989655775,6.305892089657481e-05,5505.666666666667
0.00035825011700456045,7.41259264869852e-05,5594.333333333334
