Year,Count
2024,158
2023,397
2022,361
2021,373
2020,312
2019,258
2018,234
2017,225
2016,208
2015,183
2014,169
2013,147
2012,111
2011,99
2010,66
2009,61
2008,69
2007,57
2006,45
2005,39
2004,36
2003,33
2002,38
2001,38
2000,33
1999,32
1998,26
1997,26
1996,18
1995,24
1994,14
1993,12
1992,10
1991,4
1990,10
1989,5
1988,10
1987,3
1986,5
1984,2
1983,1
1981,1
1978,1
