multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
1.0,0.0,0.0,0.7508,0.0
1.0,1.0,0.9035,1.0,1.0
1.0,0.1229,1.0,1.0,1.0
0.3082,0.0,0.0,1.0,0.0
0.9999,0.0,0.0,1.0,1.0
