x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.0,0.0,4.924365010024851e-156,7.252146939954368e-98,1.874085804902064e-221,7.427772978879315e-300
0.002,0.0,3.739660415446992e-155,2.4877242816435377e-97,2.524722546388184e-220,2.4262897671283368e-298
0.004,0.0,2.8234941538382008e-154,8.504383706787318e-97,3.3784814132457264e-219,7.855376178162188e-297
0.006,0.0,2.1194072478000412e-153,2.8972662325315395e-96,4.4906902272050855e-218,2.52076049436755e-295
0.008,0.0,1.5816658441619742e-152,9.836462127050439e-96,5.929094201779681e-217,8.017453619170114e-294
0.01,0.0,1.1735128726321402e-151,3.328085001388161e-95,7.775839568877212e-216,2.5274443637011804e-292
0.012,0.0,8.656329556597016e-151,1.1221602148823975e-94,1.0129544613787294e-214,7.897088920333742e-291
0.014,0.0,6.348227924815424e-150,3.77068541360621e-94,1.3107390562100189e-213,2.445641119625298e-289
0.016,0.0,4.628540272451164e-149,1.2626724839930028e-93,1.6847142453199442e-212,7.506866682823207e-288
0.018000000000000002,0.0,3.3551225766395695e-148,4.213724321548212e-93,2.1508986402574106e-211,2.2838362095655667e-286
0.02,0.0,2.417940150961472e-147,1.4013496635867934e-92,2.7277045690989592e-210,6.886705021031952e-285
0.022,0.0,1.7324292824559745e-146,4.644424482746425e-92,3.436041548987355e-209,2.0582507573357382e-283
0.024,0.0,1.2340657528157237e-145,1.5339891955545735e-91,4.299353666397895e-208,6.0971286999288546e-282
0.026000000000000002,0.0,8.73964721738201e-145,5.049143385397852e-91,5.343571520843498e-207,1.7901635765817745e-280
0.028,0.0,6.153501698108684e-144,1.6562203665349732e-90,6.596958790175837e-206,5.20955163001482e-279
0.03,0.0,4.307482977511316e-143,5.414066139957762e-90,8.089833916743792e-205,1.5026168419197044e-277
0.032,0.0,2.9977653819533517e-142,1.7637377799710585e-89,9.854149127583608e-204,4.295724629033233e-276
0.034,0.0,2.074170904994132e-141,5.725975809512217e-89,1.1922912186756332e-202,1.217208260683256e-274
0.036000000000000004,0.0,1.4268038291325376e-140,1.8525504168964165e-88,1.4329441070711395e-201,3.4184845712002227e-273
0.038,0.0,9.757910430612962e-140,5.973042500279401e-88,1.7106448208343878e-200,9.51574143957683e-272
0.04,0.0,6.6347142675755665e-139,1.9192264541391065e-87,2.0284958975619751e-199,2.6253784586627935e-270
0.042,0.0,4.484979470357413e-138,6.145566051654583e-87,2.3893078589335504e-198,7.179289690918809e-269
0.044,0.0,3.0141963251531584e-137,1.9611130039684575e-86,2.7954632072379235e-197,1.945858760611876e-267
0.046,0.0,2.0139814068873936e-136,6.2366075081642885e-86,3.248771308516109e-196,5.22734815092889e-266
0.048,0.0,1.3378647922242044e-135,1.9765111926064255e-85,3.750318852086142e-195,1.3918480121517385e-264
0.05,0.0,8.835717929942427e-135,6.24245211875059e-85,4.300321612015754e-194,3.673182249438731e-263
0.052000000000000005,0.0,5.801553675916507e-134,1.9647904788477156e-84,4.897984117329315e-193,9.608009329851655e-262
0.054,0.0,3.787212228308377e-133,6.162860811617987e-84,5.541374481981118e-192,2.490947825566788e-260
0.056,0.0,2.4579204946986855e-132,1.9264314919974595e-83,6.227321974021005e-191,6.400827478052062e-259
0.058,0.0,1.585947775023608e-131,6.0010864189875016e-83,6.951344847642862e-190,1.6302262739297787e-257
0.06,0.0,1.0173790718814672e-130,1.8629933331133185e-82,7.707615470913659e-189,4.1152851259713544e-256
0.062,0.0,6.488578862513724e-130,5.763653117170152e-82,8.488968828677856e-188,1.0296562228209225e-254
0.064,0.0,4.114236462650349e-129,1.7770084398369434e-81,9.28695906637418e-187,2.553435207834375e-253
0.066,0.0,2.5935927738206974e-128,5.4599199242478935e-81,1.0091966900742674e-185,6.276213545818067e-252
0.068,0.0,1.6255008733438347e-127,1.6718148951834622e-80,1.089335852602619e-184,1.5290118709112582e-250
0.07,0.0,1.0128508844774927e-126,5.10146895368387e-80,1.167969419013077e-183,3.692021983373381e-249
0.07200000000000001,0.0,6.27446505581439e-126,1.551341652310086e-79,1.2438982033013746e-182,8.836046142613938e-248
0.074,0.0,3.8643885882001485e-125,4.7013741218203217e-79,1.3158970219122102e-181,2.0960032308509844e-246
0.076,0.0,2.366234454385365e-124,1.4198659122395679e-78,1.3827468018197196e-180,4.9279489038467624e-245
0.078,0.0,1.440481409010056e-123,4.273414519827503e-78,1.443268445532357e-179,1.1483670432816484e-243
0.08,0.0,8.718272649575898e-123,1.2817634538346335e-77,1.4963571611060078e-178,2.6523786301721e-242
0.082,0.0,5.245974141500299e-122,3.8312979744353e-77,1.5410158730730724e-177,6.071983683928398e-241
0.084,0.0,3.138302179799996e-121,1.1412720055333701e-76,1.5763863088659961e-176,1.3777358120465626e-239
0.08600000000000001,0.0,1.8665356540776062e-120,3.387954704235204e-76,1.601776409450838e-175,3.098429183745488e-238
0.088,0.0,1.1036992442638293e-119,1.0022849974730815e-75,1.6166828422224382e-174,6.906491434846693e-237
0.09,0.0,6.488407661251214e-119,2.9549495808720216e-75,1.6208075933852268e-173,1.525856374317134e-235
0.092,0.0,3.792262964809605e-118,8.681887196582518e-75,1.6140678757919358e-172,3.3412587634123466e-234
0.094,0.0,2.2035945986819418e-117,2.5420461354700532e-74,1.5965988921135962e-171,7.251817083476458e-233
0.096,0.0,1.2730278266508152e-116,7.417506766758898e-74,1.5687493245098082e-170,1.5599973017243405e-231
0.098,0.0,7.311677760455268e-116,2.1569382651917232e-73,1.5310697609791133e-169,3.3261446251609567e-230
0.1,0.0,4.175121735797803e-115,6.250614683309552e-73,1.4842945950143424e-168,7.029083243542216e-229
0.10200000000000001,0.0,2.3702502561047376e-114,1.8051487587312935e-72,1.429318229712476e-167,1.4723007046247247e-227
0.10400000000000001,0.0,1.337803187411179e-113,5.195274878713931e-72,1.3671666630519073e-166,3.0565719905435853e-226
0.106,0.0,7.50694477869602e-113,1.4900791464207897e-71,1.2989657141466525e-165,6.289454996807915e-225
0.108,0.0,4.188005010192854e-112,4.2590763290320765e-71,1.2259072617816535e-164,1.2827194339415797e-223
0.11,0.0,2.3228659424287347e-111,1.2131843475985108e-70,1.1492149023182499e-163,2.5929289164913527e-222
0.112,0.0,1.2808966476539e-110,3.443843998887677e-70,1.0701103950393483e-162,5.195051093476834e-221
0.114,0.0,7.022261961425635e-110,9.742388572093554e-70,9.897821549499498e-162,1.0316427041633922e-219
0.116,0.0,3.8274803119315477e-109,2.7465830635521065e-69,9.093568858957543e-161,2.0305284316095643e-218
0.11800000000000001,0.0,2.0740628482656747e-108,7.716588654534653e-69,8.298752337903966e-160,3.961221379719834e-217
0.12,0.0,1.1173876673679424e-107,2.1605448841384055e-68,7.522720960879655e-159,7.659306160412518e-216
0.122,0.0,5.984926989003089e-107,6.028462656790418e-68,6.773619656201185e-158,1.4678782000077936e-214
0.124,0.0,3.187035259907375e-106,1.676313354983728e-67,6.058294304808909e-157,2.788244713501078e-213
0.126,0.0,1.6872829410079891e-105,4.645251066721417e-67,5.382247113390869e-156,5.249428563266309e-212
0.128,0.0,8.881002782315062e-105,1.2828283354091024e-66,4.749639056394016e-155,9.795654263172767e-211
0.13,0.0,4.6473903000004567e-104,3.530476063339583e-66,4.16333433951646e-154,1.811736952758394e-209
0.132,0.0,2.4178499568843905e-103,9.682853973698439e-66,3.6249805326593084e-153,3.321215929705721e-208
0.134,0.0,1.2506120594487814e-102,2.6465425845823646e-65,3.135117179514025e-152,6.034473131135409e-207
0.136,0.0,6.431154632919022e-102,7.2087471547709335e-65,2.6933053084831177e-151,1.0867305581296062e-205
0.138,0.0,3.2879739977292066e-101,1.956798520860095e-64,2.2982703119220936e-150,1.9397451580205927e-204
0.14,0.0,1.6712479500524465e-100,5.293438249719313e-64,1.9480510720326315e-149,3.431687631133155e-203
