age,fifth,ninetyfifth,baseline
54.6,1.0,1.0,1.0
55.1,1.0,1.0,1.0
55.2,1.0,1.0,1.0
55.3,1.0,1.0,1.0
55.4,1.0,1.0,1.0
55.5,1.0,1.0,1.0
55.6,1.0,1.0,1.0
55.7,1.0,1.0,1.0
55.8,1.0,1.0,1.0
55.9,1.0,1.0,1.0
56.0,1.0,1.0,1.0
56.1,1.0,1.0,1.0
56.2,0.9999439751783021,0.9999337477869219,0.9999411501104495
56.3,0.9999439751783021,0.9999337477869219,0.9999411501104495
56.4,0.9998879135299623,0.9998674527027713,0.9998822617036958
56.5,0.9998879135299623,0.9998674527027713,0.9998822617036958
56.6,0.9998879135299623,0.9998674527027713,0.9998822617036958
56.7,0.9998879135299623,0.9998674527027713,0.9998822617036958
56.8,0.999830656027802,0.9997997441753028,0.9998221173172583
56.9,0.999830656027802,0.9997997441753028,0.9998221173172583
57.0,0.999830656027802,0.9997997441753028,0.9998221173172583
57.1,0.9997722234203659,0.9997306467842194,0.9997607387566055
57.2,0.9997722234203659,0.9997306467842194,0.9997607387566055
57.3,0.9997722234203659,0.9997306467842194,0.9997607387566055
57.4,0.9997130424983391,0.9996606652519361,0.9996985743385298
57.5,0.9997130424983391,0.9996606652519361,0.9996985743385298
57.6,0.9997130424983391,0.9996606652519361,0.9996985743385298
57.7,0.9997130424983391,0.9996606652519361,0.9996985743385298
57.8,0.9995920176728991,0.9995175555624822,0.999571448849527
57.9,0.9994695638760993,0.9993727593593337,0.9994428231470027
58.0,0.9994695638760993,0.9993727593593337,0.9994428231470027
58.1,0.9994082557334562,0.9993002664066265,0.9993784252551573
58.2,0.9994082557334562,0.9993002664066265,0.9993784252551573
58.3,0.9991016135422649,0.9989376938376029,0.9990563321939349
58.4,0.9991016135422649,0.9989376938376029,0.9990563321939349
58.5,0.9991016135422649,0.9989376938376029,0.9990563321939349
58.6,0.9991016135422649,0.9989376938376029,0.9990563321939349
58.7,0.9991016135422649,0.9989376938376029,0.9990563321939349
58.8,0.998973212252985,0.9987858786717853,0.9989214625918548
58.9,0.998973212252985,0.9987858786717853,0.9989214625918548
59.0,0.998973212252985,0.9987858786717853,0.9989214625918548
59.1,0.9989086400086129,0.9987095330743628,0.9988536378017986
59.2,0.9988440540181227,0.9986331721257519,0.998785798794384
59.3,0.9985534142960227,0.9982895557434929,0.9984805230944294
59.4,0.9985534142960227,0.9982895557434929,0.9984805230944294
59.5,0.9985534142960227,0.9982895557434929,0.9984805230944294
59.6,0.9985534142960227,0.9982895557434929,0.9984805230944294
59.7,0.9984877917356464,0.9982119742884958,0.9984115965460804
59.8,0.9984221388254019,0.9981343578842082,0.9983426383483881
59.9,0.9984221388254019,0.9981343578842082,0.9983426383483881
60.0,0.9984221388254019,0.9981343578842082,0.9983426383483881
60.1,0.9983561767644877,0.9980563769330968,0.9982733556661504
60.2,0.9983561767644877,0.9980563769330968,0.9982733556661504
60.3,0.9982571679091277,0.997939329525111,0.9981693630014277
60.4,0.9982571679091277,0.997939329525111,0.9981693630014277
60.5,0.9981908967422154,0.997860985511773,0.998099756232952
60.6,0.9981908967422154,0.997860985511773,0.998099756232952
60.7,0.9981246022026311,0.9977826148179247,0.9980301251485557
60.8,0.9980582861132341,0.9977042195994933,0.9979604716630927
60.9,0.9979253525771333,0.9975470757783217,0.9978208488716898
61.0,0.9979253525771333,0.9975470757783217,0.9978208488716898
61.1,0.9979253525771333,0.9975470757783217,0.9978208488716898
61.2,0.9977586300747117,0.9973499946370552,0.9976457381688649
61.3,0.9977586300747117,0.9973499946370552,0.9976457381688649
61.4,0.9976243839911149,0.9971913079419182,0.99750473892208
61.5,0.9976243839911149,0.9971913079419182,0.99750473892208
61.6,0.9976243839911149,0.9971913079419182,0.99750473892208
61.7,0.9976243839911149,0.9971913079419182,0.99750473892208
61.8,0.9976243839911149,0.9971913079419182,0.99750473892208
61.9,0.9974216938256895,0.9969517237391494,0.9972918543706747
62.0,0.9974216938256895,0.9969517237391494,0.9972918543706747
62.1,0.9973538355692778,0.9968715157837014,0.9972205836425037
62.2,0.9973198586476832,0.9968313556888376,0.9971848981734529
62.3,0.9972177481446743,0.9967106644602591,0.9970776533588228
62.4,0.9970121090280583,0.9964676126903241,0.9968616759942445
62.5,0.9970121090280583,0.9964676126903241,0.9968616759942445
62.6,0.9970121090280583,0.9964676126903241,0.9968616759942445
62.7,0.9969432069185368,0.9963861770226202,0.9967893104202257
62.8,0.9969432069185368,0.9963861770226202,0.9967893104202257
62.9,0.9967351115228842,0.9961402345136026,0.9965707563387566
63.0,0.9967351115228842,0.9961402345136026,0.9965707563387566
63.1,0.9967351115228842,0.9961402345136026,0.9965707563387566
63.2,0.9967351115228842,0.9961402345136026,0.9965707563387566
63.3,0.9965957774961054,0.9959755645084333,0.9964244207962414
63.4,0.9965957774961054,0.9959755645084333,0.9964244207962414
63.5,0.9965957774961054,0.9959755645084333,0.9964244207962414
63.6,0.9965957774961054,0.9959755645084333,0.9964244207962414
63.7,0.9965253066129675,0.9958922810637949,0.9963504091537339
63.8,0.996348872787075,0.9956837738932589,0.9961651116934253
63.9,0.9962076244604677,0.9955168533401756,0.9960167685644671
64.0,0.9962076244604677,0.9955168533401756,0.9960167685644671
64.1,0.9961721991453502,0.995474990065643,0.9959795640274804
64.2,0.9961721991453502,0.995474990065643,0.9959795640274804
64.3,0.9960300807214225,0.9953070467238156,0.9958303084349456
64.4,0.9960300807214225,0.9953070467238156,0.9958303084349456
64.5,0.9958876788543198,0.99513877282085,0.9956807562418822
