improved,stable,declined,points
0.2890635774922367,0.22158873713561464,0.03725185282345439,0.0
0.3158698687950713,0.228643499767923,0.03851021643842552,0.002004008016032064
0.3439554126835126,0.23568982186098703,0.03978242460626887,0.004008016032064128
0.3732363143395739,0.2427142423215031,0.04106723631805092,0.0060120240480961915
0.4036104129790182,0.2497030662992884,0.04236336136093357,0.008016032064128256
0.4349574333065255,0.25664241596425413,0.043669463242902586,0.01002004008016032
0.467139462853248,0.26351828323124915,0.04498416234265358,0.012024048096192383
0.5000017647109412,0.27031658413773274,0.04630603927322329,0.014028056112224447
0.5333739273506296,0.2770232145618209,0.04763363844657615,0.01603206412825651
0.567071344929839,0.28362410695321094,0.04896547182503604,0.018036072144288574
0.6008970129995124,0.29010528773697797,0.05030002284421973,0.02004008016032064
0.6346436160873157,0.296452935040486,0.0516357504909677,0.022044088176352703
0.6680958755352443,0.3026534363867193,0.05297109351870898,0.024048096192384766
0.7010331184811167,0.3086934459933341,0.054304474781741954,0.026052104208416832
0.733232022257936,0.31455994131577336,0.055634305669062696,0.028056112224448895
0.7644694829801076,0.3202402784748768,0.05695899061765469,0.03006012024048096
0.7945255528946475,0.32572224621453794,0.058276931684546916,0.03206412825651302
0.8231863883589192,0.33099411804315565,0.05958653315648601,0.03406813627254509
0.8502471491733529,0.3360447022237973,0.060886206175736306,0.03607214428857715
0.8755147905010509,0.3408633892919929,0.06217437336032475,0.038076152304609215
0.8988106907408678,0.3454401967969469,0.06344947339700968,0.04008016032064128
0.9199730624216341,0.349765810981315,0.06470996558533404,0.04208416833667334
0.9388590983318481,0.3538316251365902,0.06595433431137104,0.044088176352705406
0.9553468115188499,0.357629774395211,0.06718109343014339,0.04609218436873747
0.9693365352675835,0.3611531667465852,0.06838879053621919,0.04809619238476953
0.9807520574501374,0.3643955100920378,0.06957601110263797,0.0501002004008016
0.9895413724476714,0.3673513351830163,0.07074138246911144,0.052104208416833664
0.9956770428980509,0.3700160143173608,0.07188357766134573,0.05410821643286573
0.9991561725269286,0.37238577569986686,0.07300131902437042,0.05611222444889779
1.0,0.37445771340537704,0.07409338165388821,0.058116232464929855
0.9982531318344827,0.37622979291482755,0.07515859661090414,0.06012024048096192
0.9939824397053959,0.377700852227123,0.07619585390622624,0.06212424849699398
0.9872756537929297,0.37887059858145866,0.07720410524283669,0.06412825651302605
0.97823968900224,0.3797396008561939,0.0781823665056185,0.06613226452905811
0.9669987448560764,0.3803092777406789,0.07912971998946385,0.06813627254509018
0.9536922225720983,0.38058188180577407,0.08004531635837266,0.07014028056112225
0.938472504297009,0.3805604796264961,0.08092837632977827,0.0721442885771543
0.9215026397289513,0.38024892813637357,0.08177819207996793,0.07414829659318636
0.9029539845067747,0.37965184741732283,0.08259412836812813,0.07615230460921843
0.8830038329000207,0.3787745901509068,0.08337562337817848,0.0781563126252505
0.8618330846410368,0.37762320797668375,0.08412218927919503,0.08016032064128256
0.8396239823592915,0.37620441502083324,0.0848334125068189,0.08216432865731463
0.816557952174152,0.374525548873077,0.08550895376960571,0.08416833667334668
0.7928135757404144,0.37259452930225273,0.08614854778577657,0.08617234468937875
0.7685647175774298,0.37041981501049437,0.08675200275727103,0.08817635270541081
0.7439788269896969,0.36801035873293175,0.08731919958937719,0.09018036072144288
0.7192154294276646,0.36537556099398005,0.08785009086549164,0.09218436873747494
0.6944248178437444,0.36252522283300564,0.08834469958775973,0.09418837675350701
0.6697469505486675,0.35946949781093746,0.08880311769544133,0.09619238476953906
0.6453105583226812,0.3562188436059666,0.08922550437383517,0.09819639278557113
0.6212324601186946,0.3527839735004356,0.08961208416747013,0.1002004008016032
0.5976170836254205,0.3491758080527279,0.08996314491203743,0.10220440881763526
0.5745561842370862,0.3454054272376194,0.09027903550017032,0.10420841683366733
0.5521287535907371,0.34148402332602723,0.09056016349671131,0.1062124248496994
0.5304011067623873,0.3374228547610435,0.0908069926194892,0.10821643286573146
0.5094271354364917,0.33323320127121525,0.09102004010190895,0.11022044088176351
0.489248712855769,0.32892632044487796,0.09119987395381095,0.11222444889779558
0.4698962350999292,0.3245134059709573,0.09134711013707623,0.11422845691382764
0.45138928221646357,0.32000554773223333,0.0914624096723843,0.11623246492985971
0.4337373819248649,0.3154136939169784,0.09154647569331323,0.11823647294589178
0.41694085803377234,0.31074861529410996,0.09160005046367266,0.12024048096192384
0.40099174535125065,0.30602087177608306,0.09162391237355437,0.1222444889779559
0.38587475273830746,0.3012407813724964,0.09161887292906563,0.12424849699398796
0.3715682560643221,0.2964183916163717,0.09158577375012476,0.12625250501002003
0.35804530318017985,0.29156345352423296,0.09152548359002066,0.1282565130260521
0.3452746136383336,0.2866853981307523,0.09143889538968145,0.13026052104208416
0.3332215567624686,0.28179331561893095,0.09132692337879289,0.13226452905811623
0.3218490928003424,0.2768959370478272,0.09119050023503049,0.1342685370741483
0.31111866327122795,0.27200161866170924,0.09103057431175822,0.13627254509018036
0.30099101822524454,0.26711832874739877,0.09084810694359438,0.13827655310621242
0.2914269699373611,0.2622536369906654,0.09064406983826478,0.1402805611222445
0.2823880645272239,0.25741470626770013,0.09041944256216568,0.14228456913827653
0.2738371650825275,0.2526082867942695,0.09017521012605792,0.1442885771543086
0.2657389420178065,0.24784071254298137,0.08991236067629893,0.14629258517034066
0.25806026856762626,0.2431178998283084,0.0896318832960338,0.14829659318637273
0.2507705214368571,0.23844534794967429,0.08933476591976942,0.1503006012024048
0.2438417886557459,0.23382814177484854,0.08902199336381952,0.15230460921843686
0.23724898856186083,0.2292709561393707,0.0886945454741629,0.15430861723446893
