thresholds,test,sex,randomized_images,randomized_weights
0.0,0.9974083227793228,0.9974083227793228,0.9708613498218106,0.8729170382154796
0.01,0.9872953952251171,0.9874007080346467,0.9605603060766967,0.862509622786759
0.02,0.977074625194227,0.9771737334994471,0.9500317724363553,0.8529816253793937
0.03,0.9671779992266794,0.9669624650994526,0.9394844896538167,0.844245542926815
0.04,0.9575401798536991,0.956790813257101,0.928729482440848,0.8360341863419837
0.05,0.9479071239690999,0.9465612787031827,0.9176784019060055,0.8278939306737618
0.06,0.938386951775509,0.9363437884917368,0.9066591398787024,0.8196962923135603
0.07,0.9291090162800295,0.9263936620493255,0.895552239628651,0.8115291169125631
0.08,0.9200215318959848,0.9167523817050458,0.8843333525185496,0.8034355324528627
0.09,0.9111223806184306,0.9072848520736463,0.8730199015754125,0.7955548096044593
0.1,0.9024330314272911,0.8979510832949726,0.8616428135980643,0.7878293155789903
0.11,0.8938964918862712,0.8887975700277111,0.8502948834960182,0.780295350633538
0.12,0.8851743247983165,0.8798222845785105,0.8389197625006121,0.7730181982913199
0.13,0.8763283177669123,0.8709544966016257,0.827729635599665,0.765767833007107
0.14,0.8675046578698858,0.8623037952068605,0.8166751709090719,0.7586612691486496
0.15,0.8587119633651418,0.8537300926103756,0.8057572980184063,0.7515752516155451
0.16,0.8501145648414139,0.8450805710114206,0.7949700389187253,0.7445735141353841
0.17,0.8416472763730856,0.8363252068747915,0.784058991504531,0.737667938051584
0.18,0.8332209652988549,0.8273963417429236,0.7731328313915147,0.730621582874581
0.19,0.824931137128232,0.8183652841702787,0.762082398394635,0.7236523778922512
0.2,0.8166730457137605,0.8093391993129835,0.7510519822895191,0.716739092955706
0.21,0.808536929701818,0.8003281297265459,0.7400985721864428,0.70980439331933
0.22,0.8007841286066592,0.791598441169777,0.7291072286820376,0.7030284042450509
0.23,0.7930855093295668,0.7830365293712278,0.7180283842611067,0.6962708818952981
0.24,0.785329706867061,0.7744611383513249,0.7068828395595208,0.689554234823981
0.25,0.7776653073886461,0.7658506730602852,0.6955644934149007,0.6830506717395454
0.26,0.7700157687243869,0.7573377588093334,0.684234344818399,0.6766815591910086
0.27,0.7624329866529558,0.7488596831467634,0.6730495663087844,0.6704591852692817
0.28,0.7549637682263961,0.7407347565901587,0.6621228900797514,0.6642965258695611
0.29,0.7475342660028773,0.7326681786511856,0.6511756326232847,0.6582215989364935
0.3,0.7403247180578219,0.724779045835471,0.6396591488861743,0.6522466816270596
0.31,0.7333091041539259,0.7168987392608934,0.6275489794285584,0.6463639095484937
0.32,0.7265215907192711,0.7090161255571077,0.6150953133808199,0.640608792479302
0.33,0.7197694984273002,0.7010248654881963,0.6025042090638327,0.6349256641594084
0.34,0.7131844431917762,0.6931298357286455,0.5898023718788542,0.6294433899636283
0.35000000000000003,0.7065090530732329,0.6850180554939986,0.5776939456258076,0.623741165312438
0.36,0.7000900697365257,0.6771752312940248,0.5659854569043178,0.618230345082275
0.37,0.6935941712140545,0.6692207526380657,0.5547041324619609,0.6125217456038619
0.38,0.6872457121211183,0.6611878701196862,0.5434491769080891,0.6068920693029002
0.39,0.6808552171439236,0.6532484443135077,0.5322275829047327,0.6007750232299582
0.4,0.674341643471171,0.645351046506683,0.5210114802672345,0.5945366645359395
0.41000000000000003,0.6679845610119047,0.6375781249999999,0.5097290381714373,0.5882329561321943
0.42,0.6617775616475681,0.6299301024810402,0.4979635839174847,0.5820289454154686
0.43,0.6554381337229032,0.6223051208059668,0.4856842566106206,0.5758627558819837
0.44,0.6490832936071849,0.6147648007870431,0.4734756161963862,0.5697488492643777
0.45,0.6427684187946783,0.6072433041838562,0.460910862776547,0.5636961667125756
0.46,0.6366305212680663,0.5997870094026813,0.4483699989255377,0.5575224829110449
0.47000000000000003,0.630433578452308,0.59221469005521,0.43599254729945885,0.5510363288540826
0.48,0.6246338906338791,0.5847556043554814,0.4232411038933957,0.5445182069770864
0.49,0.618745225465618,0.5770564121324281,0.41051843874691085,0.5379704140472472
0.5,0.6131426514454787,0.5693019866415858,0.39794053694753323,0.5315621588564793
0.51,0.608059908417258,0.5617601177204431,0.384990423724332,0.5252077848394991
0.52,0.6029512803247599,0.5538257697438893,0.3719903227945366,0.5187615988418997
0.53,0.5981047628443386,0.5459048902209009,0.35875321431503554,0.512588282098314
0.54,0.5932375551941061,0.5380741663251983,0.34588617941932476,0.506550704573017
0.55,0.5888743372500818,0.5299219089148705,0.332777325391078,0.500764181585178
0.56,0.5844478477110261,0.521635131022992,0.3197771851639425,0.49485804126610344
0.5700000000000001,0.5799312294663043,0.5132624784573656,0.30703941206138774,0.48902988223340355
0.58,0.5757633956801446,0.5048915855321952,0.2944707024753484,0.4835038087912588
0.59,0.571388420084773,0.4963361898783815,0.28181586487698884,0.47807547641230413
0.6,0.5672138928786513,0.4875375369195925,0.2695708137582948,0.47237067023764706
0.61,0.5632399569172627,0.47854762492692327,0.257435695962654,0.466776426916209
0.62,0.5593951782053901,0.46963797190330997,0.24575312025864848,0.4608670163053761
0.63,0.5558108080050068,0.46089446786043736,0.2341574665648648,0.45523154773222324
0.64,0.5524941544446036,0.4518378060342594,0.22280952526250647,0.44915996564781474
0.65,0.5490455536384666,0.4426756011197332,0.21152934643967955,0.4429614335876099
0.66,0.5451782704022634,0.43291185615386546,0.20087810131300995,0.4365148436500324
0.67,0.5416094721587806,0.4227319173206448,0.1900454574163186,0.4297197504279993
0.68,0.5380380496245024,0.4126675463573859,0.17987908190972773,0.4228999875614815
0.6900000000000001,0.533989690867638,0.4025093107891868,0.17002517632970726,0.41568162183037194
0.7000000000000001,0.5296865625777376,0.3919687147895053,0.16008720045966135,0.4082992382868345
0.71,0.5256670674953192,0.381499313608527,0.15001146044979352,0.4003562183401374
0.72,0.5213374632176059,0.36998066688942693,0.1397412593813844,0.39183525939900576
0.73,0.5172394170404498,0.35856564798461915,0.1300118920948864,0.3824266845246121
0.74,0.5130102972244558,0.347034825681645,0.12049202970377473,0.3729214235193035
0.75,0.50917100441512,0.33516939991461686,0.11108920461778865,0.36267502638123505
0.76,0.504756275872003,0.32350221037360855,0.10213987461653833,0.3522073060041706
0.77,0.5005034045416156,0.3114237043894013,0.09308328904411209,0.3410440062408021
0.78,0.4961513710896384,0.29926020522695196,0.08438388574018336,0.32987333925192885
0.79,0.4918362627499194,0.2869282215634501,0.07602002701205618,0.31829655685147473
0.8,0.488217968609601,0.27465844661286315,0.0678141300796521,0.3067289119823261
0.81,0.484657084022862,0.2619775827362232,0.05916831706651803,0.2950181802237491
0.8200000000000001,0.480484838138324,0.24915631944931363,0.05033172685735745,0.283261537723122
0.8300000000000001,0.47617602770788575,0.23583981459215278,0.04177767174307792,0.2716204443153768
0.84,0.4711948693326017,0.2225667055353591,0.034333736451957586,0.2595463127059826
0.85,0.4651215537219711,0.2094663927874406,0.02777866446850819,0.24757375417059208
0.86,0.459079105954749,0.19641558797879533,0.022419738382736962,0.23565893523048848
0.87,0.45261260652824503,0.1832897863736709,0.017952240021839073,0.22345326507216554
0.88,0.44508311040995036,0.17044150261792076,0.01434093880338831,0.21170287442178584
