0,0,1.0
0,1,0.96
0,2,0.97
0,3,0.97
0,4,0.91
0,5,0.89
0,6,0.97
0,7,0.96
0,8,0.94
0,9,0.91
0,10,0.92
0,11,0.96
0,12,0.93
0,13,0.93
0,14,0.95
0,15,0.96
0,16,0.94
0,17,0.96
0,18,0.95
0,19,0.96
0,20,0.91
0,21,0.95
0,22,0.95
0,23,0.95
0,24,0.95
0,25,0.93
0,26,0.97
0,27,0.94
0,28,0.94
0,29,0.92
0,30,0.94
0,31,0.96
0,32,0.94
0,33,0.95
0,34,0.96
0,35,0.96
0,36,0.96
0,37,0.97
0,38,0.91
0,39,0.95
0,40,0.94
0,41,0.95
0,42,0.96
0,43,0.93
0,44,0.97
0,45,0.97
0,46,0.94
0,47,0.97
0,48,0.92
0,49,0.96
0,50,0.96
0,51,0.93
0,52,0.79
0,53,0.96
0,54,0.94
0,55,0.93
0,56,0.89
0,57,0.91
0,58,0.9
0,59,0.95
0,60,0.91
0,61,0.96
0,62,0.96
0,63,0.96
1,0,0.96
1,1,1.0
1,2,0.96
1,3,0.97
1,4,0.91
1,5,0.89
1,6,0.96
1,7,0.96
1,8,0.93
1,9,0.91
1,10,0.93
1,11,0.95
1,12,0.93
1,13,0.92
1,14,0.94
1,15,0.95
1,16,0.94
1,17,0.96
1,18,0.95
1,19,0.96
1,20,0.92
1,21,0.94
1,22,0.95
1,23,0.95
1,24,0.96
1,25,0.94
1,26,0.96
1,27,0.94
1,28,0.94
1,29,0.92
1,30,0.95
1,31,0.96
1,32,0.94
1,33,0.94
1,34,0.96
1,35,0.96
1,36,0.96
1,37,0.95
1,38,0.9
1,39,0.95
1,40,0.93
1,41,0.95
1,42,0.97
1,43,0.93
1,44,0.95
1,45,0.96
1,46,0.92
1,47,0.96
1,48,0.92
1,49,0.95
1,50,0.95
1,51,0.92
1,52,0.78
1,53,0.95
1,54,0.93
1,55,0.94
1,56,0.89
1,57,0.92
1,58,0.9
1,59,0.95
1,60,0.91
1,61,0.96
1,62,0.96
1,63,0.95
2,0,0.97
2,1,0.96
2,2,1.0
2,3,0.97
2,4,0.91
2,5,0.9
2,6,0.97
2,7,0.97
2,8,0.95
2,9,0.93
2,10,0.93
2,11,0.96
2,12,0.95
2,13,0.94
2,14,0.96
2,15,0.96
2,16,0.94
2,17,0.96
2,18,0.96
2,19,0.96
2,20,0.92
2,21,0.96
2,22,0.96
2,23,0.97
2,24,0.96
2,25,0.95
2,26,0.98
2,27,0.95
2,28,0.95
2,29,0.93
2,30,0.95
2,31,0.96
2,32,0.95
2,33,0.95
2,34,0.96
2,35,0.97
2,36,0.97
2,37,0.97
2,38,0.92
2,39,0.96
2,40,0.94
2,41,0.96
2,42,0.96
2,43,0.93
2,44,0.97
2,45,0.97
2,46,0.94
2,47,0.97
2,48,0.93
2,49,0.96
2,50,0.96
2,51,0.93
2,52,0.78
2,53,0.96
2,54,0.94
2,55,0.94
2,56,0.9
2,57,0.91
2,58,0.91
2,59,0.96
2,60,0.92
2,61,0.97
2,62,0.97
2,63,0.96
3,0,0.97
3,1,0.97
3,2,0.97
3,3,1.0
3,4,0.93
3,5,0.92
3,6,0.97
3,7,0.95
3,8,0.96
3,9,0.94
3,10,0.95
3,11,0.95
3,12,0.96
