key,accuracy,auc,size,threshold
baseline,0.5563847429519071,0.5465981315093962,1206,"0.504,0.617"
delta,0.6194029850746269,0.6588423278851734,1206,"0.386,0.624"
features,0.6849087893864013,0.7327431389212038,1206,"0.317,0.68"
nn,0.6658374792703151,0.728917601049479,1206,"0.327,0.657"
