multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
1.0,0.0,0.0,0.0,0.0003
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,0.1856,1.0
1.0,0.0,0.8407,1.0,0.9989
1.0,0.0,0.0,0.0016,1.0
